#{"t_start": 1686076100.8880024, "env_id": null}
r,l,t
-79.338005,31,0.265483
-69.13834,39,0.318853
-68.36832,43,0.3501
-40.473324,48,0.386554
-66.43235,48,0.386554
-79.05844,25,0.450053
-58.148354,56,0.450053
-61.20339,57,0.465675
-70.594795,63,0.512539
-47.836723,70,0.561308
-55.84579,70,0.561308
-3.3582957,72,0.581443
-68.10941,75,0.611663
-3.5134935,77,0.621728
-79.91035,29,0.621728
-46.30667,78,0.631783
-77.02873,38,0.659914
-34.704144,104,0.833012
-80.66802,58,0.853124
-74.690186,40,0.883301
-17.259966,120,0.963752
-65.64551,49,0.9718
-40.69188,72,25.797461
-65.77066,81,25.807544
-43.33382,67,25.857844
-49.835632,74,25.918209
-20.478432,76,25.958429
-1.3646487,119,25.968568
-83.5221,90,26.018868
-93.51641,45,26.028934
-21.17029,100,26.059121
7.5941057,115,26.069187
-80.96723,28,26.079245
-53.77689,66,26.079245
-66.15909,40,26.119508
-24.164394,66,26.189972
-36.928635,84,26.210089
-25.776196,82,26.240261
-65.58008,64,26.290573
-76.99167,34,26.330851
-6.685184,152,26.37427
-20.130478,135,26.401435
-60.80535,58,26.431653
-48.40273,77,26.532248
-51.1127,65,26.542303
-43.26211,56,26.56241
-54.550114,62,26.582531
-52.582935,68,26.622788
-55.5823,90,26.673074
-55.324112,66,26.721324
-54.231842,66,26.733424
-88.84905,84,26.743466
-59.562885,53,50.830473
-35.873463,92,50.840531
-58.009525,63,50.872865
-50.442787,57,50.931311
-81.02183,45,50.963524
-27.388975,88,51.013826
-80.881096,29,51.033936
-81.83475,27,51.043999
-44.44998,78,51.122466
-60.18407,61,51.134546
-40.264015,86,51.134546
-45.646385,69,51.164696
-68.414734,47,51.285469
-82.53442,71,51.305595
-70.51731,37,51.325728
-62.05033,59,51.325728
-41.60351,67,51.34585
-29.07671,90,51.35591
-77.968994,32,51.384066
-20.966143,94,51.436396
-45.62934,79,51.466573
-62.56646,55,51.476636
-63.185253,53,51.536994
-79.64293,29,51.577223
-65.48733,84,51.66775
-21.720186,65,51.66775
-70.76854,44,51.68788
-67.0929,50,51.708009
-60.59088,54,51.766351
-66.52987,47,51.808626
-36.8051,110,51.838815
-37.492153,65,76.982895
-63.885414,141,76.992948
-21.724293,98,76.992948
-28.605122,62,77.033193
-59.371872,49,77.051282
-30.029072,86,77.061345
-45.685555,87,77.103602
-33.228436,63,77.123724
-41.50345,72,77.123724
-62.511066,50,77.153877
-56.894928,43,77.234356
-75.32701,38,77.284652
-31.348768,69,77.304774
-55.16209,53,77.345044
-25.159027,63,77.355094
-50.536324,54,77.415482
-42.220837,85,77.465819
-62.460148,55,77.485927
-60.574753,61,77.516122
-34.651978,95,77.526199
-47.708878,63,77.55638
-60.541477,56,77.576493
-27.21772,59,77.586572
-67.10835,47,77.616788
-66.94532,73,77.707349
-69.89956,47,77.725476
-63.494904,54,77.725476
-75.37481,37,77.78785
-39.6395,81,77.805945
-54.97839,54,77.84824
-67.07129,45,77.888465
-72.323975,119,77.938754
-57.51705,60,100.744733
-76.43552,44,100.795003
-62.015137,59,100.815134
-57.727715,64,100.825187
-49.331417,71,100.865442
-73.30666,84,100.875492
7.9507775,101,100.885534
-67.55361,47,100.915719
-28.276909,89,101.014349
-65.91381,122,101.01637
-56.169594,58,101.036497
-25.588493,83,101.117008
-34.98549,83,101.177374
-72.184395,42,101.187427
-77.29295,61,101.217628
-67.834625,43,101.247794
-62.998825,55,101.257859
-12.631486,103,101.277969
-77.100464,64,101.378597
7.802731,78,101.406736
-13.2684,87,101.539643
-41.47539,71,101.559766
-4.5473027,121,101.569814
-67.98721,42,101.589926
-12.705054,107,101.658347
-14.541191,129,127.61061
-67.48311,73,127.61061
-42.127563,87,127.630773
-66.40827,47,127.671029
-35.17376,93,127.6912
-58.10117,71,127.70126
-40.860973,76,127.719386
-43.28195,70,127.751652
-71.745155,42,127.842247
-60.28752,57,127.942793
-76.48489,34,127.97094
-68.84208,49,127.97094
-31.801815,105,128.003221
-62.90956,52,128.031349
20.998058,122,128.063563
-70.854935,77,128.093717
-0.106632955,98,128.113847
-36.972412,79,128.252702
-58.03731,93,128.3453
-70.484886,44,128.373597
-73.20995,41,128.385674
-44.47902,56,128.444022
-2.4439185,103,128.494301
-9.367464,135,128.56674
3.5578227,113,128.586865
-30.582724,90,157.512676
-10.833864,120,157.544882
-70.662735,58,157.554932
-66.97755,79,157.573025
7.8848476,94,157.573046
-60.288235,113,157.595193
-19.33774,129,157.595193
-84.10225,47,157.62536
-67.035545,51,157.643435
-67.40358,48,157.685724
-66.146286,45,157.705852
2.871898,109,157.826603
-56.81734,67,157.957582
-5.5270905,83,158.108567
-42.414703,69,158.108567
-48.78507,77,158.136763
-51.798492,66,158.168976
-34.148407,77,158.197148
-5.3426366,123,158.197148
-39.36483,79,158.21929
-44.41416,74,158.229365
-33.12811,90,158.329949
-49.0537,80,158.340004
-49.281216,70,158.400559
54.841854,199,158.428712
-9.431846,104,158.45085
-38.110516,91,158.460911
-69.854706,46,184.928712
-47.410572,62,185.02139
-44.43025,79,185.170269
33.79522,159,185.182348
-42.32239,93,185.202477
-56.594578,66,185.262825
-27.058542,94,185.311128
-28.653463,107,185.333301
-34.982243,100,185.353415
9.296648,137,185.411774
-37.156948,87,185.474159
-52.446648,72,185.574752
-49.518726,105,185.594862
-19.85874,118,185.615015
-15.496714,105,185.615015
0.26501286,155,185.685449
-53.04028,74,185.786101
-86.89176,49,185.796157
-37.166466,93,212.236557
-45.30527,84,212.264765
-76.692535,95,212.274822
-33.023487,82,212.327165
-38.85657,81,212.345284
4.578291,138,212.357354
-61.674595,57,212.387756
5.7582974,173,212.405873
-22.772972,74,212.428017
-58.084145,65,212.506536
-25.82456,108,212.548808
-40.894073,88,212.790354
-64.59058,53,212.860817
-57.913094,61,212.890984
-16.506704,128,213.03191
4.366183,142,213.172796
-13.584211,121,246.906461
-49.501335,126,246.95672
-59.87655,60,246.9869
-28.826714,149,247.005017
-9.340948,137,247.165954
8.567291,172,247.198154
14.615229,167,247.286717
-32.61527,99,247.306828
51.81896,159,247.318915
-54.228832,68,247.349109
0.81926316,147,247.369211
21.405441,144,247.399382
-44.52069,53,247.399382
-68.53471,49,247.419537
-13.30806,114,247.610689
-36.8658,146,247.640893
-62.726154,47,247.69117
62.626385,211,247.741472
135.33282,204,247.771645
-25.547169,89,247.771645
-57.76898,61,247.821999
-39.453327,89,247.932661
-16.632603,103,275.062314
-42.14569,85,275.072359
8.861543,135,275.152874
29.932798,119,275.29373
-10.484401,145,275.565431
-12.568035,125,275.59564
-30.75764,100,275.734535
48.961605,173,275.756665
59.522022,154,275.857284
-22.33188,90,275.975988
-13.973908,113,305.864257
55.85713,207,305.892437
67.45221,183,306.033341
71.44733,238,306.115789
69.71975,185,306.125843
70.12006,205,306.15403
24.23383,177,306.266723
-50.971287,70,306.387645
190.57336,250,306.558673
167.32826,250,306.558673
-60.13908,60,306.568733
7.2849827,171,306.749835
8.458287,158,306.800125
24.29116,161,306.810186
192.36017,250,306.810186
-2.659917,121,337.128328
-35.152737,65,337.249089
-55.75141,68,337.267172
58.732662,141,337.379875
-6.740962,131,337.450306
6.8554454,149,337.470422
201.5981,250,337.510649
53.571,191,337.538826
-73.52557,40,337.691721
3.4039245,152,337.74204
9.27269,230,337.782294
193.43391,250,337.822505
-69.26711,42,369.1276
-58.412937,96,369.218208
-37.310978,70,369.258444
-45.653553,166,369.308728
-54.658867,69,369.359059
-6.154994,137,369.580397
159.82986,250,369.681028
22.306484,226,369.699126
14.162968,166,369.821897
265.921,250,369.932639
268.79514,250,369.950759
167.0379,250,402.481463
-29.960455,105,402.501591
41.772175,216,402.551912
214.49806,250,402.600199
78.98937,250,402.612287
-17.746443,74,402.662557
-11.472405,137,402.813449
271.40204,250,403.075066
25.252117,146,403.115288
22.50223,141,403.17565
-46.2096,93,403.266234
-33.745716,92,403.306477
124.930595,250,433.403573
-32.279396,131,433.461939
170.31287,250,433.502153
58.43218,138,433.534323
194.93553,250,433.544899
-39.193752,83,433.715948
-29.319391,132,433.786393
-36.917435,92,433.97773
39.886494,181,434.017959
262.87265,250,434.108489
231.14536,250,434.229399
256.24487,250,434.239447
-33.909832,100,434.309907
224.57802,250,468.136874
-28.127829,106,468.175267
232.57007,250,468.580336
162.88896,245,468.648724
189.70683,250,468.771464
145.40857,250,497.702937
200.58235,250,497.763302
164.67911,250,497.813589
43.429195,190,497.83369
248.85008,250,497.853797
13.563149,134,497.924199
246.08226,250,498.093199
-32.212055,58,498.145521
120.68587,206,498.195858
157.21211,250,498.316612
45.216457,213,498.32668
-30.312496,124,498.375182
157.26389,250,498.425491
230.20123,250,498.538172
186.40642,250,530.105687
-30.368889,60,530.254611
24.211786,173,530.407741
