#{"t_start": 1675412577.997186, "env_id": null}
r,l,t
-84.312775,36,0.623446
-66.970665,37,0.663727
-86.009796,37,0.663727
-69.73531,37,0.663727
-60.546486,48,0.948144
-59.79944,48,0.948144
-53.955822,53,1.069295
-43.160034,60,1.271759
-34.075138,63,1.3655
-39.2971,66,1.447509
-36.906967,68,1.517444
-15.930924,69,1.538074
-32.496197,75,1.70068
-15.2257395,77,1.762156
-4.1611905,79,1.816502
-72.94324,45,1.903371
-65.6603,52,2.106343
-62.731304,44,2.20812
-17.705824,93,2.23911
-47.769306,76,2.805836
-66.87007,40,2.93536
-59.540318,62,3.15662
-16.52694,81,3.267398
-10.189032,78,3.484389
-42.871082,65,3.543375
-40.701996,61,3.802988
-7.991696,97,3.802988
-27.704899,82,4.10492
-26.58504,93,4.10492
-35.905136,97,4.275544
-15.792643,74,4.275544
-40.4433,113,5.087615
-59.9267,48,5.171095
32.639378,106,5.191277
-7.7897916,84,5.252
-54.169785,72,5.252
-12.239454,83,5.433424
-31.01744,45,5.504992
-49.758556,60,5.778753
-16.719185,88,5.915789
-11.700891,91,6.071965
115.14098,180,6.466475
-57.9188,49,6.497197
-3.9658513,102,6.629165
-14.456226,58,6.659857
-35.015198,55,6.740968
-39.260887,66,7.008884
-5.982261,110,7.242883
-14.681857,80,7.331669
-34.282936,71,7.413885
-26.566977,78,7.532413
294.5605,250,7.573746
-32.18461,71,7.707453
-34.684467,69,7.935875
-45.855453,59,8.069901
-54.427856,53,8.069901
-77.016335,26,8.150046
-68.42164,52,8.150046
-76.51275,26,8.261553
-53.663513,46,8.515235
15.249954,99,8.613355
108.474815,172,8.839001
-14.598026,88,8.889318
-16.40298,84,8.950611
191.67316,227,9.021177
0.41974235,60,9.021177
-64.45827,38,9.293846
-20.962101,86,9.381634
-75.100945,30,9.425613
-50.422897,54,9.542974
-67.889084,37,9.542974
-66.32306,26,9.659051
-63.63457,30,9.706548
-38.396267,61,9.736811
-64.460236,33,9.736811
-6.512861,72,9.906037
-78.1018,24,10.312948
-75.25957,31,10.587836
-61.45909,41,10.666727
-70.36918,33,10.789379
-4.622139,99,10.849371
-63.046036,43,10.877076
-46.56343,54,10.900205
24.029799,105,11.011902
50.054638,125,11.113417
-81.158325,36,11.272796
-44.916603,65,11.300979
-5.7293077,88,11.384108
-19.917458,89,11.809403
8.453214,97,11.938694
-29.114365,84,12.010698
-49.905354,55,12.061181
-54.37907,41,12.108007
-42.427876,59,12.283025
-38.067524,59,12.435252
-52.188957,42,12.495518
-42.385757,57,12.495518
16.08601,132,12.655989
-42.803894,45,12.690192
166.2257,192,12.912664
-35.456085,59,13.024797
-28.53226,49,13.679496
-34.792576,64,13.933604
-33.835136,47,13.993017
-77.89325,50,14.023189
-88.09585,23,14.700035
9.070952,122,14.78327
-44.35001,60,14.78327
21.485455,134,14.833891
-26.255991,75,14.833891
-15.33411,94,14.912868
-27.160378,93,14.934517
-70.378075,35,14.96465
-37.317772,68,15.065301
-71.59353,22,15.371345
-81.06504,20,15.373356
49.0093,159,15.542994
15.716848,96,15.584778
-84.829254,20,15.654609
-73.69866,27,15.725345
-23.193245,71,15.78527
2.4140873,103,15.78527
-82.828636,18,15.918258
25.30679,123,15.998264
-57.178707,47,16.024763
72.92729,142,16.061464
-66.81135,31,16.286528
-31.8471,80,16.336852
-62.90629,31,16.562218
-58.47438,37,17.059355
-41.965126,82,17.273328
13.308383,93,17.375406
-31.220303,66,17.435605
-23.059366,90,17.435605
16.297117,98,17.577463
-24.185383,74,17.719026
-37.250675,64,17.779918
-14.718358,85,17.952163
-71.53568,29,18.230305
-73.44771,36,18.475506
-17.595928,97,18.638779
34.97693,103,18.669345
-69.70015,34,18.711847
-40.039986,47,18.792868
-54.687824,43,18.827757
25.137213,109,18.85366
-44.769325,55,18.85366
20.48002,101,18.883871
-4.25256,84,18.965122
22.189186,96,18.987309
-39.353592,68,19.01545
-65.91315,50,19.19925
-68.65755,27,19.230839
-80.44967,22,19.292797
9.298997,107,19.35216
-75.153076,22,19.4027
-77.72024,25,19.555848
-62.6216,31,19.555848
-92.30108,23,19.58493
-68.916145,29,19.605086
-41.00835,62,19.698966
-31.2369,59,19.870233
-73.24835,39,19.931793
-76.60634,34,19.959221
-74.983154,28,19.982236
-45.286938,49,20.023405
-53.703438,42,20.023405
-66.887566,29,20.104278
-75.10788,26,20.128921
-74.021126,28,20.128921
-63.252724,44,20.218277
-61.40912,36,20.237685
-85.44205,22,20.237685
-77.96949,24,20.390526
-74.48907,21,20.5436
-71.072556,30,20.716305
-139.12392,43,20.809281
-66.85324,55,21.092327
-47.506535,45,21.234009
-56.04718,37,21.265323
-62.97655,41,21.346856
-44.382713,50,21.500208
-61.782997,48,22.029873
-30.253689,67,22.090775
-57.669956,37,22.282976
-2.62622,99,22.303079
-49.49577,56,22.333511
-36.204285,72,22.363625
14.008309,81,22.363625
-2.7009578,90,22.454325
-51.316704,47,22.647278
-75.154236,23,22.687648
8.350115,99,22.7708
-40.201023,61,22.940989
42.908527,106,23.042259
-77.523476,27,23.074647
12.17534,112,23.113703
9.491915,97,23.196115
-27.232767,77,23.224255
