#{"t_start": 1675418861.5263524, "env_id": null}
r,l,t
-70.76123,32,0.86232
-64.80651,38,1.093727
-44.103638,41,1.215895
-46.037174,42,1.245211
-62.49166,45,1.346057
-57.137165,48,1.426814
-53.37759,48,1.426814
-60.393612,52,1.545721
-37.84297,67,2.046141
-25.711157,69,2.109048
-13.248141,76,2.408127
-17.722734,78,2.496284
-71.839325,31,2.528103
-73.69668,29,2.60111
-28.591223,52,2.704025
-72.49573,38,2.790221
-15.642791,90,2.942039
-63.57368,53,2.982738
30.883816,94,3.102809
-13.039119,95,3.146231
-75.05299,28,3.215251
-40.761497,56,3.256629
5.868308,102,3.44066
-57.018433,58,3.491182
-66.90806,35,3.984969
-33.066113,78,4.10745
-24.67878,49,4.365358
-65.19097,39,4.524394
-64.00192,55,4.673019
-55.353275,50,4.75192
-62.80087,42,4.75192
-31.495857,59,4.784549
-66.46137,38,4.876157
-55.70551,52,4.936535
-29.549349,65,5.165451
-49.62749,52,5.165451
-52.15549,54,5.165451
-43.114254,85,5.27217
-77.225235,27,5.565625
-47.624035,44,5.81802
-33.91095,74,5.910245
-13.415709,69,5.910245
-48.718403,53,5.910245
-58.277912,45,6.020147
-64.81799,35,6.020155
-69.31225,68,6.26448
-41.55143,52,6.39003
-43.899174,54,6.459573
-55.092125,45,6.687159
-62.751762,56,6.718799
-47.405514,50,6.740375
-71.81104,30,6.82992
-69.519936,53,6.82992
-57.58258,46,6.989386
-67.2757,41,7.100484
-58.416924,38,7.102493
-4.766104,78,7.262272
-56.76544,47,7.394937
-62.403805,44,7.394937
-69.08271,35,7.582157
-66.92534,35,7.800066
-60.231247,44,7.800066
-66.70812,30,7.800066
-75.747574,28,7.892672
7.919738,86,7.892672
-50.627365,39,7.972737
-73.68782,30,8.185917
0.31331056,81,8.536994
-26.64259,75,8.648571
-33.71323,50,8.675674
-66.58762,33,8.832723
-52.267365,68,8.869177
-49.99214,54,9.107164
-41.749855,67,9.236084
-68.444565,36,9.34845
-3.9184196,81,9.409184
-71.426796,34,9.654284
-54.49549,62,9.785978
-45.88605,58,9.849343
-37.62728,69,10.020477
-20.952314,69,10.112195
-26.248922,75,10.321444
-85.49133,31,10.384611
-37.08861,58,10.570473
0.24321793,98,10.570473
-52.86633,56,10.727607
0.76527137,98,10.773679
-35.839687,63,10.932663
-73.17355,43,11.082602
-39.56819,59,11.184114
-31.377401,79,11.315831
-45.920837,62,11.551102
-49.61582,46,11.628639
-50.0039,56,11.735413
-62.49027,41,11.766455
-60.712322,35,11.801183
-74.69348,40,11.801183
-21.473211,81,11.866914
-57.765198,31,12.033861
-69.977196,31,12.390051
-46.64028,48,12.390051
-28.858917,75,12.428382
-66.44494,55,12.461278
-5.2561088,74,12.661261
-50.22625,57,12.731659
-76.074646,28,12.731659
-41.344604,50,12.832688
-78.90651,24,12.832688
-44.8584,53,13.035003
-45.782227,59,13.482706
-20.04415,65,13.876143
-19.646296,77,14.332942
-4.981042,82,14.36397
-25.021624,74,14.753095
-57.60169,56,14.789011
-36.046436,76,14.814892
-42.223564,67,14.954333
-19.10493,70,14.954333
-58.926647,82,15.057681
-11.162521,108,15.126311
-63.847157,80,15.290288
-27.170502,88,15.290288
-73.18714,29,15.290288
-11.876429,58,15.340693
-20.333218,99,15.831778
-62.83493,42,16.121738
27.933273,146,16.504846
-35.904823,116,16.548588
-44.249825,55,16.618278
-37.019173,70,16.648509
-45.813778,57,16.648509
-44.4372,90,16.760142
-53.162506,50,16.964098
-25.758673,62,16.964098
-32.99405,66,17.193849
