#{"t_start": 1685137524.9279196, "env_id": null}
r,l,t
-81.61596,37,0.819507
-67.37324,42,0.971343
-65.20757,47,1.129182
-57.014618,56,1.428777
-49.212166,58,1.491682
-57.513435,60,1.552674
-47.32648,67,1.77931
-39.969032,68,1.819777
-36.81224,80,2.203181
-41.446606,82,2.270549
-35.094124,83,2.298547
-21.535892,92,2.556713
-6.586657,94,2.621552
-68.59006,39,2.710868
-65.50064,59,2.836276
-23.786875,102,2.87124
-68.06847,72,3.07746
-62.247387,37,3.401794
-64.54176,37,3.42929
-74.73103,31,3.517779
-46.1997,77,3.543773
17.589575,127,3.632598
-14.6098175,131,3.755341
-56.53481,63,3.755341
-67.38548,41,4.118576
-62.230316,84,4.157532
-6.4122863,89,4.18801
-48.488876,65,4.18801
-56.962322,49,4.228514
-63.663994,52,4.228514
-79.10918,37,4.228514
-81.80837,32,4.382961
-38.919563,85,4.41593
-74.72871,29,4.526279
-65.65311,35,4.585736
-43.16262,60,4.66871
-55.123493,40,4.751707
-49.302982,46,4.814212
-81.2382,23,4.814212
-81.03608,23,4.872757
-68.579155,37,4.872757
-73.54148,24,4.899734
-173.65027,40,4.962641
-72.70911,27,5.02258
-80.74561,22,5.02258
-80.77466,22,5.049131
-74.255714,29,5.079162
-74.19477,38,5.280398
-67.2963,37,5.32103
-78.05904,27,5.32103
-74.85561,23,5.347959
-74.94043,27,5.377939
-74.444305,28,5.637351
-82.75636,29,5.666283
-67.76357,29,5.74372
-72.088394,31,5.780149
-82.49878,24,5.780149
-70.05532,31,5.780149
-64.56035,36,5.815934
-77.10462,28,5.844275
-69.97162,28,5.844275
-83.640785,22,5.959153
-67.69318,36,6.015548
-78.107,27,6.126706
-74.986694,31,6.213563
-59.898792,45,6.357233
-67.801125,43,6.596386
-78.28246,28,6.596386
-53.59672,49,6.689003
-80.59238,42,6.871062
-69.54777,39,6.896531
-83.84532,36,6.986056
-65.17553,40,6.986056
-63.061935,33,7.06109
-58.449432,47,7.095059
-80.0155,27,7.122998
-66.996216,41,7.17895
-49.060783,50,7.210467
-27.562567,65,7.640992
-47.115707,71,7.671423
-78.99996,27,7.671423
-34.452106,65,7.699374
-82.796104,27,7.76722
-69.139854,30,7.846156
-78.139114,27,7.846156
-78.214035,22,7.846156
-37.957607,59,7.910661
-75.26563,46,7.938143
-71.72496,30,7.969612
-64.692,38,7.97061
-62.67336,47,8.056607
-56.315594,53,8.136045
-74.69657,24,8.378291
-83.29566,27,8.434691
-80.22308,28,8.491831
-71.82505,28,8.520769
-84.55696,22,8.548227
-80.4281,28,8.672481
-55.733833,53,8.730962
-78.280876,30,8.730962
-48.400074,56,8.761951
-81.75678,31,9.047589
-62.307163,39,9.114496
-83.66538,24,9.218401
-66.7329,48,9.360317
-59.55162,51,9.420186
-39.63565,64,9.610802
-50.177094,53,9.913476
-38.962315,68,10.018883
-62.67848,36,10.087337
-33.82904,62,10.501659
-19.705486,95,10.587421
-25.949505,84,10.871264
-67.451836,30,10.903183
-15.811899,83,10.965181
-16.85119,86,11.169139
-38.08381,66,11.282941
-40.359512,60,11.369668
-29.47799,79,11.398682
-22.994251,69,11.911808
5.913328,120,11.96928
5.5896187,114,12.029673
4.9819922,114,12.056136
-68.346214,31,12.160754
-14.296286,103,12.188684
-40.561287,75,12.247916
-42.585068,76,12.708091
-49.901226,48,12.769061
-70.84317,33,12.982369
-27.75913,83,13.020815
-64.407074,35,13.097628
-36.85098,74,13.136132
36.22543,130,13.233628
-75.08668,32,13.233628
-63.549435,43,13.262082
-65.64538,42,13.497665
-16.259647,88,13.540084
-29.299994,98,13.831343
-68.148605,33,13.865845
-37.201935,66,13.962784
-26.589651,89,14.087839
-35.62994,65,14.220131
-81.49121,24,14.274692
-66.09502,33,14.310184
-64.30954,33,14.34466
-29.194954,108,14.466377
-56.484055,52,14.689555
-76.96281,31,14.844845
-25.393028,55,14.919267
-73.67956,38,15.043683
-57.141766,50,15.140723
-80.32156,28,15.169209
-68.24885,38,15.326955
-55.41034,68,15.326955
-76.94024,31,15.357645
-23.12823,69,15.489645
-27.29707,88,15.590534
-38.77969,79,15.619476
-76.32438,31,15.720617
-84.239426,48,15.873811
-22.228941,62,15.968624
-72.090866,43,16.249937
-50.020805,64,16.278914
-73.16093,31,16.314009
-69.05782,32,16.34349
-57.150063,58,16.34349
-64.99834,44,16.462472
-76.48591,33,16.711184
-58.133907,41,16.744227
-46.120377,55,16.880138
-44.245426,49,17.040847
-48.208908,71,17.099582
-67.10365,46,17.314673
-78.55833,29,17.630648
-46.72212,66,17.630648
-60.31969,44,17.630648
-72.810074,39,17.630648
-26.113697,76,17.694342
-42.71419,61,17.72933
-54.305332,47,17.756297
-69.386925,29,17.787325
-73.10142,35,17.787325
-50.651814,52,17.822019
-49.206165,52,17.854446
-48.55086,51,17.884366
-13.741845,88,17.884366
-75.89507,28,17.994657
-70.66975,32,18.068944
-72.312515,24,18.10189
-80.85201,23,18.433437
-77.13212,26,18.433437
-79.64338,23,18.52316
-73.01981,31,18.586126
-73.54616,24,18.622538
-62.38642,34,18.682498
-78.02825,19,18.682498
-65.51844,34,18.682498
-69.1683,34,18.741922
-67.00529,31,18.741922
-64.17484,32,18.772881
-67.67243,30,18.81093
-64.45294,36,18.887487
-69.729034,37,19.014047
-69.462135,31,19.045684
-78.405304,21,19.096678
-63.991665,35,19.096678
-79.63223,22,19.273358
-76.372894,22,19.354572
-77.20732,20,19.354572
-75.199356,28,19.398456
-89.436935,20,19.427431
-82.67976,27,19.608477
-82.81624,21,19.638559
-75.924255,29,19.638559
-68.60019,32,19.672059
-83.46132,19,19.673026
-74.809814,36,19.739553
-65.15734,44,19.78896
-62.573677,36,20.148282
-74.45697,26,20.176732
-61.92328,39,20.494457
-59.78394,52,20.553393
-57.834824,42,20.586264
-74.97402,31,20.610747
-62.46691,38,20.722349
-38.160145,73,20.840334
-69.87936,44,20.890253
-58.908077,48,21.033737
-39.3026,83,21.284775
-61.524315,57,21.399125
-57.465897,62,21.426622
-40.122818,76,21.460719
-51.26629,75,21.543086
-63.552155,50,21.575519
-40.578697,75,21.740493
-68.6971,40,21.863412
-55.69252,51,21.952793
-62.39378,39,22.013679
-52.47981,50,22.013679
-71.49334,50,22.039161
-71.53755,54,22.091116
-14.452993,68,22.128988
-62.798615,44,22.292905
-78.86502,25,22.292905
-71.920135,34,22.40015
-80.99071,25,22.457093
-74.2283,35,22.457093
-73.369095,34,22.510103
-74.67186,41,22.567453
-75.37535,31,22.735482
-95.45303,21,22.878229
-93.059685,36,22.971689
-55.99533,78,23.061023
-65.73605,53,23.515062
-63.492023,51,23.547148
-43.348705,82,23.630021
-83.971855,22,23.691916
-77.86365,31,23.861731
-66.07726,65,23.898242
-81.089935,46,23.898242
-40.48126,70,24.12258
-50.506042,63,24.26579
-165.89964,66,24.353608
-77.55156,30,24.497148
-76.91854,30,24.742945
-83.99616,34,24.888362
-44.157898,106,25.055594
-65.73425,58,25.210413
-62.794983,81,25.240892
-13.271471,104,25.294783
-39.122406,99,25.379449
-34.67224,96,25.528619
-56.57372,65,25.591142
-53.27365,70,25.591142
-11.902524,111,25.618133
-83.25517,24,25.768078
-64.46518,46,25.846473
-77.890465,68,25.887567
-73.30308,55,25.887567
-65.4276,69,26.15735
-85.23516,24,26.292129
-67.46878,41,26.403975
-92.21463,50,26.667601
-87.96145,50,26.718098
-99.67658,23,26.784339
-58.427174,51,27.045018
-69.08544,46,27.162248
-72.21954,45,27.162248
-38.031574,106,27.416075
-54.104675,69,27.503502
-82.38721,26,27.537433
-37.885357,83,27.771559
-77.9028,28,27.975245
-72.409775,76,28.065762
-73.47524,39,28.176414
-74.475845,31,28.313192
-65.52337,37,28.590958
-75.27795,32,28.719625
-4.5108805,135,28.829996
0.04168861,145,29.018212
-40.63484,91,29.166358
-93.984024,43,29.41848
-75.083694,31,29.72399
-30.780146,138,29.855411
4.536416,106,30.557413
-36.670666,97,31.431494
-20.98836,183,31.494936
-45.30664,63,31.494936
-83.01908,105,31.551242
-25.252459,77,31.692618
27.752367,174,31.749698
-85.324295,48,32.095141
-15.55424,144,32.204604
-15.622315,123,32.381838
-45.486855,85,32.448878
-56.432022,50,33.310903
-74.96639,36,33.614004
-50.95458,76,33.803075
-30.596443,70,34.293962
211.06685,250,34.538888
-72.19936,42,34.538888
-22.510836,100,34.575911
212.57185,250,34.615804
7.7438774,151,34.615804
-78.67881,33,34.789181
48.575317,204,35.516632
-72.45482,43,35.87818
75.98018,235,36.165718
-58.401173,63,36.424237
229.3607,250,36.691181
27.157848,171,36.718151
-30.380287,86,37.276901
-25.432514,98,37.4551
-60.42456,47,37.52281
34.159477,183,37.834741
76.6898,190,37.876761
2.2533562,125,37.932187
-3.4340196,119,38.016771
-31.912994,71,38.465506
1.5774429,135,38.465506
133.06416,228,38.556374
51.973473,176,38.718888
-22.38192,100,38.754837
104.658646,248,38.883077
-27.459528,71,39.331021
-5.9220777,93,39.360955
-68.09152,50,39.454109
-69.865585,38,39.958284
-46.35652,56,40.06612
87.44769,204,41.317322
12.625659,100,41.377337
-21.71526,82,41.647106
14.320726,114,41.709469
89.44157,180,41.847772
-5.817498,85,41.847772
53.64091,142,41.902737
90.14987,160,42.023005
67.68825,156,42.283844
73.31702,154,42.312783
-76.78915,35,42.401675
79.416466,176,42.550584
-6.2142296,106,42.97576
6.8026457,107,43.117495
-41.473953,63,43.143956
-72.49472,32,43.200347
-35.617393,67,43.583769
83.2255,191,44.183302
121.54779,194,44.293331
72.55072,181,44.557711
18.443506,123,45.762626
28.51751,118,46.186066
49.290546,165,46.949914
92.25408,206,48.52289
131.79657,205,48.564901
90.85368,168,48.867453
114.688446,201,48.937801
154.99554,223,48.978743
87.142555,177,49.075751
79.644684,163,49.142091
148.01707,221,49.631494
107.58018,178,50.329337
87.48905,181,50.658165
193.11874,240,50.969853
283.46225,250,51.084797
74.40214,179,51.650535
1.2157921,109,51.860232
-10.973511,102,51.975601
271.60693,250,52.329609
14.034185,135,53.101755
49.274796,151,53.540264
-6.8366985,96,53.80701
18.222845,116,54.05528
343.6013,250,54.123967
88.67629,188,54.577953
-31.137747,77,54.642104
282.15952,250,54.888819
278.87335,250,56.421056
279.51123,250,56.674209
60.184032,177,57.357014
150.73196,225,57.460144
274.0528,250,57.524247
61.914345,159,58.439348
155.22772,241,58.844042
130.90494,234,59.413009
238.7916,250,60.06282
8.437501,118,60.482847
263.9928,250,61.807834
226.27281,250,62.092167
227.24084,250,62.392253
244.06349,250,62.468682
286.09637,250,62.931272
249.00528,250,63.011271
281.8102,250,63.236243
236.03114,250,64.495062
265.02823,250,65.280009
288.59503,250,65.371655
214.26659,250,65.432268
150.14752,231,65.662056
272.17203,250,66.568437
255.38107,250,67.103624
248.69092,250,67.695158
260.98123,250,68.093347
288.26816,250,69.194635
209.60422,250,69.449004
269.75854,250,69.713651
315.35797,250,69.769075
222.95113,250,70.161232
300.55072,250,70.22232
234.4989,250,70.418398
23.367863,156,71.528324
238.55545,250,71.597165
230.33333,250,72.374757
192.14664,247,72.439659
228.11986,250,72.477082
280.22565,250,72.755882
117.045944,200,73.340631
301.4925,250,73.648097
94.66466,204,73.837643
-29.216373,78,74.654841
68.625435,167,74.858645
-49.166218,80,74.989333
85.779465,210,75.354597
110.173965,204,75.511907
113.35392,228,75.637224
6.158271,117,75.693219
-19.91796,94,76.014342
94.66074,233,76.287943
118.49297,210,76.345326
-54.202953,50,76.438313
89.69152,184,76.777029
103.267685,239,77.04623
-43.00732,60,77.462082
117.6288,207,77.605854
-26.374203,81,78.195099
15.885303,124,78.413815
-55.8681,47,79.10245
-13.145467,106,79.678144
245.42403,250,79.927594
135.95119,227,80.697813
31.17892,145,80.959373
160.52046,246,81.057564
2.3718321,119,81.144946
-4.2767534,106,81.415986
251.07161,250,82.369765
9.210023,143,82.656886
115.88022,244,82.711929
12.025435,109,83.039453
236.26672,250,83.039453
130.72256,226,83.210166
-20.53863,87,83.210166
106.62412,206,83.272058
333.2976,250,83.560256
-1.8899437,88,83.588685
-13.303216,82,83.794288
-66.97395,43,83.953731
-6.7448874,99,84.006092
106.23078,175,84.239302
268.90186,250,84.336958
-49.46731,55,84.823452
-55.91611,56,85.210705
-12.374358,110,85.574246
-30.006865,75,85.718949
-11.445056,108,85.867964
-12.515922,81,86.613085
254.2742,250,86.880441
233.95584,250,88.124759
-9.16562,131,89.296407
130.41951,221,89.574942
144.04665,209,90.150966
272.65308,250,90.187916
213.42085,250,90.187916
305.31924,250,90.331602
197.89641,250,90.909465
253.15138,250,91.055799
210.52766,250,91.11817
58.18422,152,91.205096
134.28035,232,91.402802
-12.773902,87,91.769594
226.80687,250,92.300199
257.91403,250,92.840781
124.41786,246,92.873382
122.317444,225,93.101083
-29.83564,80,93.29315
-22.775534,67,93.414068
63.14129,154,94.139452
123.33951,209,94.279015
-7.557768,84,94.377895
-10.218186,83,94.989911
245.35141,250,97.707542
243.32951,250,97.741487
222.75851,250,97.741487
257.4849,250,97.889901
229.25124,250,98.588765
212.59319,250,98.646657
218.85408,250,98.743134
224.76395,250,100.386428
258.7046,250,100.419387
260.55106,250,100.601085
193.6938,250,100.785876
246.85406,250,100.908277
213.70107,250,101.56786
227.96269,250,101.683259
281.7607,250,101.785189
49.130173,150,102.094351
262.01346,250,102.289583
125.148636,213,103.862117
252.00342,250,104.939336
281.9151,250,105.162625
266.41156,250,105.853444
279.69525,250,105.920889
303.55127,250,106.007716
212.6019,250,107.651397
305.1463,250,107.687138
276.22968,250,107.855965
276.74228,250,108.024328
279.27097,250,108.132896
2.3162084,90,108.510922
266.6622,250,108.832049
259.2779,250,108.983473
264.25092,250,109.084793
286.6387,250,109.459701
242.08171,250,109.695498
-17.479462,74,110.022749
64.6491,136,110.141538
123.170906,210,110.214802
-55.427998,52,110.567819
-1.2948664,87,110.626733
304.39536,250,112.57826
295.39975,250,112.756149
289.49405,250,113.550596
75.63904,153,113.906029
92.551506,177,114.515015
260.40448,250,115.515787
239.46411,250,116.002979
228.00192,250,116.145396
276.37253,250,116.567246
245.09792,250,117.496944
253.48616,250,117.738789
235.4207,250,118.099739
260.8258,250,118.241938
-17.86872,80,118.282866
293.57535,250,118.326152
77.45637,147,118.467757
261.68027,250,118.6926
249.27321,250,118.753055
93.45588,190,118.838275
-22.570122,70,118.929752
85.64807,194,119.135496
-18.600891,95,119.28435
43.5903,164,119.354455
-44.250843,52,119.833492
71.74509,162,119.903441
23.694603,126,120.088171
-65.89971,40,120.116886
-39.839283,53,120.255851
-61.11678,38,120.400137
-44.43255,47,120.717649
-7.356849,124,122.424195
239.00423,250,125.165892
227.45724,250,125.403048
264.97614,250,125.747538
298.38065,250,125.905266
278.69443,250,125.940264
292.6522,250,126.060516
283.98288,250,126.450735
245.44861,250,126.777358
-66.518745,36,127.102211
227.61319,250,127.550166
260.60107,250,127.604928
220.31346,250,127.799832
276.11298,250,127.835751
324.90765,250,127.995482
319.3775,250,128.15499
268.50226,250,128.486301
-3.4009469,99,129.756396
266.82504,250,130.108229
276.9597,250,132.691649
290.21387,250,132.901841
275.73013,250,133.180962
321.63928,250,133.342067
271.81674,250,133.498383
294.11475,250,133.833628
317.5909,250,134.37942
278.01288,250,134.778442
295.96527,250,134.843052
297.9265,250,135.016823
231.44933,250,135.049254
297.10892,250,135.200593
287.68793,250,135.33608
320.94183,250,135.65553
309.92676,250,136.932676
306.79736,250,137.267499
281.425,250,139.774491
310.57352,250,139.968755
321.93164,250,140.27116
290.7623,250,140.424105
318.61392,250,140.584506
297.76678,250,140.972991
308.84567,250,141.641189
273.52664,250,142.069174
277.93338,250,142.131047
284.15872,250,142.307821
297.8206,250,142.345823
286.226,250,142.509088
281.84232,250,142.661765
274.1673,250,143.022362
-36.092518,61,144.437508
278.3801,250,144.437508
280.10712,250,144.79584
282.24527,250,147.408275
252.47682,250,147.604518
259.91257,250,147.891891
292.13724,250,148.033094
288.16498,250,148.187759
232.53654,250,148.535992
295.12402,250,149.139837
276.69333,250,149.564827
325.6724,250,149.628735
256.62955,250,149.794899
252.4048,250,149.831357
295.69986,250,150.12581
315.72675,250,150.438772
333.50684,250,151.686696
313.61346,250,151.686696
294.89426,250,152.0244
250.35553,250,154.539528
323.4303,250,154.741658
318.34702,250,155.021155
317.93872,250,155.182971
281.70642,250,155.330551
312.81146,250,155.674684
322.6822,250,156.226738
332.2044,250,156.627308
338.115,250,156.69614
324.4309,250,156.89057
332.31235,250,156.92049
303.91296,250,157.254727
262.75534,250,157.635035
273.13657,250,159.06813
328.19934,250,159.06813
320.08478,250,159.465686
323.88605,250,162.060917
285.72482,250,162.256726
310.6179,250,162.562487
329.23172,250,162.702647
296.65756,250,162.848851
307.44006,250,163.200852
286.8805,250,163.775096
308.0601,250,164.183642
330.35233,250,164.244498
292.95688,250,164.428552
321.8578,250,164.458029
307.50354,250,164.742108
316.28592,250,165.058501
331.71393,250,166.331876
301.79193,250,166.331876
324.49643,250,166.672007
305.12305,250,169.189625
314.56454,250,169.388178
292.2653,250,169.667608
312.4262,250,169.817919
330.4265,250,169.966749
309.12943,250,170.314816
306.7437,250,170.898703
319.50848,250,171.281971
298.83783,250,171.341213
337.04276,250,171.504844
293.45737,250,171.53885
268.61972,250,171.830601
269.0815,250,172.142609
291.7995,250,173.625094
305.56335,250,173.625094
279.3575,250,174.005189
282.71097,250,177.315424
331.2336,250,177.56175
303.2043,250,177.906172
331.27274,250,178.071406
322.00482,250,178.264684
279.01984,250,178.643788
284.879,250,179.256143
274.15656,250,179.67154
280.30423,250,179.735778
313.2929,250,179.914716
330.4028,250,179.954799
252.5066,250,180.256859
304.9741,250,180.579041
308.30655,250,181.883498
316.67728,250,181.883498
301.50424,250,182.225924
280.5524,250,184.762032
287.1704,250,184.964591
312.44714,250,185.261993
304.19662,250,185.404007
266.70883,250,185.543707
275.29578,250,185.88266
259.90933,250,186.449426
275.88776,250,186.85239
324.69327,250,186.912227
282.2221,250,187.092854
310.51453,250,187.130752
313.10788,250,187.417552
245.32803,250,187.723114
331.83136,250,189.098952
267.46716,250,189.098952
312.49634,250,189.576013
311.9544,250,192.662081
294.68314,250,192.860606
277.58408,250,193.156309
325.03134,250,193.285064
312.35522,250,193.431788
338.62112,250,193.80107
338.32156,250,194.3856
308.2283,250,194.78422
300.1125,250,194.843308
323.6315,250,195.022841
299.02448,250,195.050796
244.89636,250,195.319472
275.11737,250,195.638028
295.78864,250,196.934187
296.3262,250,196.934187
-40.74848,71,197.07432
289.36166,250,197.283688
59.241703,176,197.759979
87.0506,169,198.657763
125.3702,219,199.171246
257.98322,250,200.345723
236.28705,250,200.47892
257.30896,250,200.615577
-41.376606,64,200.986442
278.20618,250,201.517919
270.83533,250,201.91835
265.02057,250,201.990184
273.08536,250,202.167296
275.37854,250,202.475011
287.5898,250,202.794596
318.6835,250,204.058995
318.67023,250,204.058995
340.41382,250,204.200583
344.88644,250,204.395236
45.932816,154,204.91115
