#{"t_start": 1685795013.793341, "env_id": null}
r,l,t
-79.33662,29,0.500449
-70.83168,39,0.771538
-71.055664,41,0.823488
-69.333595,41,0.823488
-69.63644,41,0.823488
-64.5045,46,0.957699
-60.99433,50,1.092138
-57.435265,51,1.128199
-57.943848,55,1.250456
-47.02046,57,1.323085
-51.91587,59,1.388997
-72.19546,64,1.555728
-21.40846,74,1.834498
-40.05982,75,1.847588
-23.723337,76,1.891514
-70.05054,40,1.972515
-77.59934,30,2.004879
-69.9422,40,2.03145
-67.49071,42,2.099249
-21.390202,83,2.099249
-55.79426,54,2.099249
-70.69826,37,2.442976
-76.60534,41,2.50306
-54.388367,56,2.617903
-30.207216,71,2.880323
-53.799885,46,3.112638
-74.96263,41,3.137045
-38.317566,69,3.222482
-57.04715,51,3.282016
-61.737846,52,3.516445
-77.05124,71,3.516445
-46.988937,57,3.540351
-64.60014,59,3.654687
-38.99102,63,3.804207
-74.42167,47,3.897908
-42.19652,67,3.934897
-47.438515,59,4.069834
-69.5528,42,4.257144
-29.615385,68,4.368524
-76.527626,32,4.530834
-41.239662,58,4.795129
-10.127057,132,4.822206
-39.45338,63,4.854108
-52.85424,55,5.018959
-69.01456,45,5.153983
-59.862972,42,5.227847
-35.54131,68,5.398422
-62.02421,49,5.622524
-81.04485,34,5.749332
-40.907375,73,5.830837
0.14042604,81,6.132712
-70.41631,39,6.475781
-54.81196,55,6.548814
29.967415,134,6.58055
-64.5867,49,6.58055
-8.744511,85,6.722494
-59.71853,53,7.065039
-42.5427,85,7.171253
-34.78359,89,7.305497
-35.391132,73,7.743596
82.169014,217,7.86104
109.383255,157,7.86104
-39.778694,131,8.137326
-43.59649,63,8.294181
-42.51295,57,8.294181
-12.176262,117,8.419111
83.32497,187,8.462181
-21.821674,75,8.733789
6.5177317,79,8.733877
-24.251936,92,8.77112
-6.887583,79,8.877154
-54.10954,64,9.092028
-5.485942,115,9.161416
-77.6409,48,9.234358
-39.575375,77,9.341442
-66.18257,45,9.685721
-58.068226,62,9.73869
-44.61298,39,9.995249
-48.56916,52,10.240267
-44.930748,83,10.327207
-49.601887,67,10.434241
-45.288673,75,10.536138
-70.763626,74,10.641216
-27.337038,116,10.725903
-52.585163,55,10.820151
-27.870132,72,10.873768
-46.59096,64,10.99864
-21.191046,88,11.487358
-68.51163,47,11.508304
-75.92544,32,11.557593
-4.493609,111,11.627129
-36.905334,86,11.82782
-41.7647,79,11.828818
-43.116787,67,11.895027
-45.4521,72,11.998929
-75.779335,33,12.146899
-49.96832,46,12.333535
-67.74279,43,12.358804
-62.87909,52,12.430594
-79.77095,25,12.458913
-43.743916,71,12.637734
-75.399315,32,12.637734
-54.37468,56,12.787968
-50.782604,72,12.787968
-77.39144,30,12.858229
-67.56548,32,12.93117
-71.96346,69,12.93117
-75.30991,32,13.235922
-56.6807,53,13.300725
-67.81982,46,13.448903
-68.03967,34,13.482702
-51.693195,65,13.722563
-82.477264,32,13.722563
-73.766495,35,13.975242
-52.289463,61,14.075801
-66.46276,45,14.395937
-48.33162,60,14.427878
-41.7575,63,14.455832
-51.909237,60,14.455832
-52.52446,56,14.481914
-51.981407,52,14.533815
-52.445007,54,14.533815
-98.179695,40,14.720254
-23.334854,71,15.362234
-51.298157,67,15.656258
-68.811615,44,15.656258
-96.49501,78,15.733898
-41.475784,84,15.758833
-53.285366,62,15.784277
-74.042625,47,15.812085
-62.90346,49,15.812085
-66.35222,52,15.812085
-12.025575,100,15.900076
-11.0898,78,15.95456
-47.919136,56,15.95456
-60.528286,52,16.158418
-52.720207,59,16.158418
-77.6246,30,16.197687
-30.326511,79,16.197687
-85.59489,19,16.531206
-73.92565,34,16.825189
-70.88353,39,16.911311
-51.336838,47,17.043821
-167.86841,43,17.103042
-21.6511,93,17.103042
-55.192513,45,17.156497
-53.522495,53,17.330828
-57.448105,50,17.47693
-50.12751,61,17.47693
-38.05666,68,17.902309
-69.77494,41,18.078947
-64.91578,45,18.105348
-26.205906,80,18.105348
-53.322166,68,18.144907
-68.14731,43,18.324074
-43.41717,77,18.437515
-27.182001,78,18.459558
-53.00174,67,18.459558
-33.733562,57,18.786381
-52.690784,55,19.022712
-19.96165,101,19.135455
-81.24829,24,19.201823
-54.72588,60,19.201823
-61.36613,46,19.26304
-77.41878,32,19.304135
