#{"t_start": 1685783260.3586643, "env_id": null}
r,l,t
-78.207184,29,0.420593
-61.2191,55,1.034111
-49.58189,64,1.245553
-37.894054,70,1.387487
-14.762876,84,1.728357
-26.872076,86,1.778665
-64.84845,58,1.798766
-7.9698033,87,1.806788
-17.362658,90,1.879332
13.269049,91,1.90948
-14.398415,98,2.090641
-43.027485,100,2.130844
0.38258868,103,2.221564
6.6638703,104,2.259711
-58.268906,41,2.281822
-46.225266,107,2.33219
-31.50263,108,2.363362
-130.99426,109,2.390481
-77.17514,27,2.443359
-58.276165,57,2.462942
-83.96094,21,2.684486
-82.49757,35,2.684486
-70.34319,33,2.73336
-47.31635,55,2.775784
-67.81231,38,2.775784
-79.53669,24,2.844383
-89.868675,18,2.844383
-86.50645,24,2.867575
-70.11146,42,2.886712
-74.78988,31,2.886712
-57.970272,45,3.892342
-46.96519,69,4.126249
-54.827785,56,4.157386
-30.524815,67,4.5166
-28.194754,88,5.063728
-73.85823,37,5.093046
5.1228743,130,5.181369
-73.30871,29,5.251819
-8.193161,105,5.304912
-16.438986,100,5.384364
-34.71691,106,5.48481
7.7154107,129,5.514939
-5.574968,68,5.605903
-7.3369365,113,5.656205
-83.115524,25,5.706446
-79.91797,24,5.919458
-75.06659,34,5.970839
-42.29883,75,6.040478
25.456993,145,6.100874
21.375679,137,6.171162
-60.546616,40,6.201289
43.56412,143,6.279625
-82.96103,26,6.279625
-87.28082,24,6.341899
25.789244,158,6.341899
-75.89493,32,6.492887
56.523163,166,6.533074
-69.747345,31,6.78283
-81.33849,24,6.835319
-43.317585,68,7.018427
-34.18631,69,7.185922
-66.29057,58,7.452622
-77.79265,28,7.553024
-56.863483,52,7.581249
-36.256065,62,7.752298
-14.866526,81,8.546641
-70.87787,36,8.573752
-27.530416,61,8.696428
-8.445262,98,8.929087
-29.36558,64,9.169643
-78.381676,26,9.197765
-14.369001,91,9.270194
-11.238265,121,9.332515
-0.26766443,94,10.216895
-38.861473,64,10.268842
-55.04354,57,10.490391
-59.68783,44,10.569532
20.336332,118,10.789129
45.76428,148,11.304304
78.422226,187,11.455215
-45.290707,49,11.718628
-50.389,55,11.869792
109.68315,211,12.171949
198.05188,250,12.333143
125.1564,250,12.364287
-0.09392683,115,12.453878
111.25306,218,12.554627
4.96073,92,13.15689
-16.968956,96,13.189232
-47.560513,49,13.189232
-50.027466,44,13.351596
246.52942,250,13.378981
-52.116962,64,13.451396
-32.92833,82,13.540067
45.27937,184,13.77553
-51.691933,52,13.82482
7.1760135,129,14.288491
-19.383148,114,14.461213
82.67586,193,14.490441
115.08765,190,14.490441
-17.155579,91,14.689682
-66.44004,60,14.691702
-39.63117,86,14.76213
-55.919125,51,14.812695
