#{"t_start": 1685787811.4424458, "env_id": null}
r,l,t
-73.49252,36,0.539805
-75.61113,42,0.683382
-68.50886,43,0.724535
-64.59351,44,0.743639
-65.44339,46,0.794237
-66.0617,46,0.794237
-59.44811,57,1.096881
-60.15763,59,1.154182
-52.81529,61,1.215007
-69.92768,64,1.287077
-41.695187,69,1.407801
-47.585346,71,1.468391
-30.714743,81,1.707816
-33.332096,91,1.99189
-80.25157,51,2.052397
-66.548615,47,2.052397
-21.616785,101,2.274968
-70.29136,41,2.303123
-66.200294,46,2.332252
-17.459969,105,2.385158
-54.2577,61,2.435915
-87.910065,39,2.523492
-66.75537,43,2.575753
-23.897562,86,2.83666
-76.65165,29,3.050312
-9.948457,88,3.10072
-33.16318,72,3.199356
-54.318447,45,3.24988
-72.9335,37,3.29456
-74.35238,38,3.29456
-77.66118,30,3.352831
-19.47334,101,3.402731
-71.56557,34,3.402731
-20.934275,86,3.422842
-59.089394,55,3.503226
-141.69804,70,3.573678
-78.354416,48,3.675073
-55.275562,51,3.704293
-76.23795,29,3.825196
-38.53894,72,3.883405
-81.421165,23,3.97621
-53.29601,51,4.127318
-67.01119,33,4.185706
-64.961105,37,4.246201
-71.273506,40,4.268481
-90.56409,22,4.398367
-58.82184,52,4.528062
-52.43443,58,4.528062
-58.871357,52,4.630701
-69.608345,40,4.751414
-61.920704,47,4.805842
-71.87632,37,4.853114
-80.21982,27,4.853114
-74.62971,57,4.902424
-47.011734,49,4.962868
-69.23666,40,5.04139
-29.444426,64,5.071624
-53.830444,62,5.124059
-68.83211,34,5.156041
-75.86437,37,5.57792
-63.791714,47,5.607028
-79.94786,27,5.719042
-61.720066,35,5.738376
-66.01226,48,5.776565
-66.779,37,5.907075
-66.2088,46,6.029833
-39.53811,69,6.059051
-39.96275,72,6.06005
-50.653698,56,6.231978
-67.83456,45,6.282494
-13.474754,70,6.332808
-63.317596,50,6.383173
-69.79051,32,6.413312
-84.335815,21,6.574722
-44.002865,61,6.615151
-37.028843,71,6.706935
-20.639395,78,6.736098
-79.413994,42,6.787395
-66.805,35,6.787395
-34.523056,47,6.811473
-55.579662,46,6.927618
-62.162373,48,6.957844
-82.158745,25,6.957844
-84.212166,37,6.957844
-78.62764,39,7.048379
-71.45501,33,7.069482
-75.343475,24,7.19909
-65.8287,42,7.350608
-61.16845,47,7.561675
-47.978813,35,7.599838
-82.63457,36,7.703645
-55.187824,54,7.772987
-69.53108,39,7.772987
-67.6388,49,7.854412
-70.405045,39,8.059592
-66.90015,43,8.059592
-56.91654,50,8.217259
-51.055973,59,8.459461
-51.532745,81,8.798753
-64.871666,48,8.820873
-72.991394,36,9.113484
-67.44687,43,9.142521
-79.731895,27,9.142521
-44.326717,59,9.19381
-7.2763658,86,9.222962
20.254354,94,9.344285
-46.831043,62,9.435723
-42.97081,70,9.556867
-30.034206,91,9.665005
-74.003624,40,9.819792
9.5932665,125,10.010407
-58.21939,48,10.061883
-29.760283,90,10.089144
-12.722013,83,10.182952
29.896584,122,10.312597
-69.3527,56,10.553972
47.5432,120,10.632669
-69.2844,37,10.765666
-80.96374,23,10.765666
-49.610325,54,10.934762
-71.33091,37,11.015641
-51.11288,64,11.07585
-40.63268,67,11.07585
-47.037956,80,11.277142
-36.18458,84,11.29927
-55.56279,48,11.591169
-3.9076138,98,11.732072
-1.3788954,82,11.864364
-63.996235,52,12.029212
-77.381325,37,12.029675
-88.13779,20,12.20505
-63.343735,52,12.609319
-63.257385,50,12.80156
-29.388432,99,12.840974
-42.111614,52,12.910256
-48.130802,82,13.194618
-63.425137,71,13.234167
-57.722744,42,13.314864
-26.298103,77,13.355076
-28.676285,61,13.631382
48.925335,162,13.757807
-71.97798,64,13.818238
-26.559383,103,13.818238
-64.240555,44,13.939205
8.428549,140,13.989511
29.51843,119,14.100194
-25.770975,81,14.55196
-75.03783,29,14.575102
10.296081,94,14.716075
-62.207424,51,14.716075
-55.529545,53,14.987129
-50.38132,79,14.987129
-40.333122,78,15.038952
-43.821396,89,15.270615
-52.49089,58,15.299947
-2.8851993,79,15.300945
-56.43204,55,15.350353
-65.01988,81,15.388492
-37.011257,78,15.388492
-60.731197,67,15.713994
-69.161575,40,16.078081
-65.7085,45,16.158513
-65.54863,47,16.61174
-82.591156,24,16.780715
-47.173054,62,16.996758
-58.85032,54,17.147614
-13.476801,105,17.286644
-13.426679,90,17.357845
15.2373905,132,17.528753
-56.337296,38,17.617482
15.482423,118,17.800762
0.8193505,126,18.002573
-4.69506,109,18.163714
-54.34782,55,18.425776
-4.4755626,123,18.496487
-45.39751,66,18.496487
-78.36673,31,18.598337
-30.952255,132,18.718727
-61.314945,60,18.818321
4.937811,128,19.410418
34.47945,158,19.452867
-69.20237,47,19.624377
-59.49439,89,19.624377
72.899506,207,19.926992
-29.816702,99,20.089481
185.15227,250,20.260681
-68.92897,43,20.582598
19.009426,143,20.823921
-55.363686,58,20.904419
-34.23673,86,21.025542
-24.82901,92,21.076919
-81.911,21,21.104165
-27.476114,117,21.488921
-87.61824,17,21.488921
-56.608578,60,21.609633
-8.388444,136,21.629753
34.49152,158,21.669862
-73.317894,24,21.718158
-74.366356,34,21.761409
-85.467094,20,22.173149
-37.19328,87,22.444611
85.08283,169,22.897787
-33.343716,67,23.189826
-40.13383,64,23.219477
46.555073,190,23.360233
-47.69774,67,23.460773
9.227649,140,23.492075
-65.69654,43,23.541245
-1.1395867,155,23.605859
-25.444155,64,23.791274
5.4358516,117,23.993499
97.4045,241,24.143339
23.888332,142,24.407067
13.170896,127,24.707499
-8.951736,120,24.730615
-31.860115,77,25.153438
17.038465,155,25.547307
18.09436,89,25.587508
-31.565071,92,25.789258
-60.10448,48,25.908941
252.67587,250,25.959433
-41.010963,63,25.994468
-46.885574,77,26.070335
-4.105802,123,26.332507
-49.007874,40,26.612732
-48.503597,75,26.643146
-47.53,42,26.987741
15.144096,125,27.139389
122.26422,179,28.076117
79.0261,184,28.647397
14.479525,123,28.911832
-12.6967745,67,28.945719
41.091915,116,29.244284
68.356476,151,29.274427
100.27816,213,29.274427
2.4250875,110,29.453958
197.90775,250,29.575041
-19.631433,55,30.220912
194.26538,250,30.25426
-7.4038506,127,30.25426
-56.769627,84,30.510932
90.87264,166,30.69194
-44.821915,65,30.724179
-34.202023,67,30.804826
-41.016636,63,30.962451
-30.242933,80,31.427301
45.255898,177,31.520585
133.12581,169,31.852992
11.031185,102,31.97394
-62.411655,40,32.549385
179.46794,250,32.578561
245.79817,250,32.76784
-12.409634,80,33.001253
-8.159417,111,33.072099
-29.664227,98,33.344742
11.864231,124,33.957569
-57.023453,55,34.027661
160.25816,188,34.40072
45.163532,163,34.509598
-83.85679,21,35.063797
-68.89801,45,35.157223
13.988005,129,35.447794
-2.848054,114,35.660459
146.43411,199,35.830389
90.485825,153,36.012557
48.498074,200,36.092598
6.917181,122,36.162281
-24.224033,103,36.25876
227.15738,250,36.364907
-30.86184,67,36.397118
31.569374,120,36.436541
-7.8697762,118,36.475762
-63.806572,42,36.795062
-12.467435,95,36.87322
200.25119,250,37.228672
-51.70338,57,37.927067
-18.315397,96,38.19524
-32.88711,71,38.510282
34.61318,107,38.640942
221.22166,250,38.682111
-34.56964,84,38.863168
-5.2627907,97,39.007992
-82.105194,25,39.425796
-7.869367,117,40.089961
10.388588,130,40.493261
-156.59363,58,40.544652
-39.709938,57,40.656253
54.470272,163,41.317731
59.957195,167,41.54029
34.066177,176,42.312041
4.0811176,131,42.595619
-39.101913,70,42.80581
124.82893,184,42.82592
-62.34139,48,42.99573
-14.008354,91,43.199212
108.61541,248,43.280789
2.6035728,73,43.482573
-69.75637,37,43.602324
144.70782,224,43.602324
93.62729,193,43.953265
90.625336,184,43.985451
238.881,250,44.117457
118.20097,207,44.157308
63.7704,160,44.208222
61.828785,164,45.039171
-25.323515,79,45.184174
-50.24169,55,45.222352
-0.5702855,98,45.920048
-43.15344,66,46.070747
-24.655748,103,46.252351
