#{"t_start": 1686257925.9909945, "env_id": null}
r,l,t
-70.42901,39,0.853585
-57.83236,54,2.129861
-48.293037,58,2.446859
-74.443436,58,2.446859
-71.98285,65,2.966478
-41.274914,71,3.435301
-84.821594,33,3.515196
-31.766357,74,3.664708
-14.9959545,88,4.741213
-56.02947,50,5.968152
-69.16764,42,6.729944
-43.291424,68,8.149489
-58.35868,76,8.230288
-73.096565,36,8.672926
-36.956062,73,8.975632
-4.978003,90,9.275573
-37.172924,78,9.57846
-44.06242,70,10.031524
-79.941505,27,11.462477
-55.799633,48,11.980688
13.650894,72,12.416023
-63.91678,65,14.126634
-76.38579,32,14.825971
-79.38002,28,14.919619
-21.467419,88,15.610432
-68.32935,41,17.51826
-15.997292,98,17.838141
-23.568222,93,17.914801
-28.510866,82,18.409506
-82.08764,24,19.439413
-43.93206,59,19.602482
-39.35854,73,20.768409
-77.15008,37,20.768409
-80.58655,27,21.532625
-38.451576,77,21.681302
80.95717,163,22.33802
-61.058296,52,22.486849
-54.905273,63,24.534079
-86.339645,36,25.185732
21.756538,95,25.41503
-60.935917,52,26.562123
-42.83172,72,27.175897
-21.222599,72,27.337068
-19.86729,99,28.535083
-63.78192,67,29.948484
-48.526363,65,30.73898
-55.517376,56,31.271218
15.110748,138,31.886046
-51.332058,57,31.973044
-20.890167,84,32.045861
-64.320984,45,32.379522
-37.377956,81,34.050946
-39.428616,53,34.273616
-59.208126,47,34.51604
-78.84086,30,34.747394
-66.4126,45,34.820451
-56.216976,45,35.449958
-48.265408,63,37.06502
-44.97608,67,37.29279
-71.895004,40,37.742563
-76.781006,50,38.405753
-54.33091,49,38.891216
-38.73988,60,38.967333
-63.100616,52,39.048613
-61.87959,50,39.604593
-73.99052,32,39.761265
-58.22307,57,42.026445
-72.96431,35,42.57767
-73.7656,54,42.73877
-63.368275,64,43.006294
-43.316925,63,44.223979
-46.363987,67,44.445225
-70.645226,39,45.260356
8.53137,78,45.949933
-68.491,45,46.280838
-33.44502,91,46.280838
-84.1055,30,47.603977
-36.533646,75,49.154107
-66.99539,41,49.313512
-50.924168,68,49.70653
-39.812317,52,50.488208
-43.879738,62,51.306457
-40.040802,45,51.306457
4.365915,88,51.537239
-69.06643,43,52.721959
-60.54474,52,53.266593
-46.283287,62,54.649093
-26.297651,148,54.731565
-65.30485,45,55.155761
-68.45003,59,56.01538
-24.561123,77,56.653488
-25.761839,76,57.368597
-56.324665,61,57.599293
-53.498444,55,57.681612
-58.003407,52,58.867913
-55.119938,53,59.435708
-59.07534,52,60.223411
-26.641146,82,61.314214
-66.02292,46,61.388576
-51.01207,67,62.011661
-53.98709,70,62.988564
-63.76727,49,63.314666
-66.878395,42,64.710403
-55.75355,61,65.024777
-10.497325,90,65.98483
-38.53748,108,66.218154
-22.18754,95,68.738569
-74.12091,35,68.904278
-0.40216887,81,69.278861
-52.79644,63,69.904173
-34.989048,70,70.136779
-16.075096,90,70.299301
-34.426884,74,71.871102
16.581158,144,73.63672
-58.160248,51,73.63672
-28.238218,60,73.829969
-52.37211,48,74.396503
-156.67282,58,75.020827
-44.83126,77,75.549509
-38.681427,65,77.597355
-60.066048,51,78.120623
-37.964233,51,78.120623
-18.329659,90,78.198187
-59.780914,54,78.972846
-32.57369,67,79.553737
-62.237385,52,79.862078
-75.73795,38,81.191897
-38.610424,79,81.494703
-65.07467,46,81.745824
-76.942955,31,82.279902
-35.47735,81,83.992062
-28.155655,58,84.068581
-54.14793,57,85.62747
-34.975834,54,85.718114
-27.291395,97,85.718114
-48.17893,62,86.553532
-47.08628,72,87.883951
-53.565105,61,88.724267
-15.781277,68,89.340165
-64.50689,50,89.503875
-89.15573,43,89.907874
23.455486,149,90.583323
-47.23571,67,90.902271
-45.59483,67,90.902271
-59.32457,59,92.451266
-40.04555,65,93.758401
-67.99539,42,94.172279
-26.511524,66,94.478437
-40.086143,69,94.859186
-56.010174,59,95.180012
-77.375595,30,96.11585
-32.2702,87,96.658568
-57.490154,59,97.058259
-36.526207,80,97.146963
-69.87795,41,98.064668
-58.788273,52,99.229178
-54.914978,48,100.356399
-57.16269,56,100.429914
-63.284527,48,100.83248
-34.659298,85,101.085994
-87.38293,28,101.402471
-66.866005,41,103.627627
-17.367128,83,104.501958
-42.74589,47,104.501958
-24.035017,97,104.581955
-60.219883,51,105.356345
43.858322,148,105.669586
-34.38504,81,106.66979
-26.982742,75,106.904289
-49.247593,64,108.613991
-81.201225,58,109.009891
-53.70099,60,110.112334
-42.428513,44,110.474892
-26.504585,75,110.474892
-35.058083,75,110.550703
-42.14702,73,111.473868
-52.347363,59,113.711348
-41.626144,69,114.111032
-25.03062,52,114.513734
-5.706724,67,115.338614
-49.63227,65,115.576034
-46.066048,69,115.818659
-23.079235,58,115.967974
-2.3120081,120,116.138
-75.59221,32,117.811564
-40.79523,50,118.380607
-28.953585,67,119.313974
-56.24248,52,120.135455
-52.72043,62,120.36717
-44.884308,61,120.551196
-6.177189,93,120.936388
-12.676236,79,122.113123
-48.537544,58,122.928668
-51.423603,48,123.971722
-19.501297,80,124.133238
-38.969048,65,124.465783
-29.35188,57,124.9282
-37.47221,69,126.027513
-47.98551,68,126.332645
-49.632225,62,127.033635
-56.052307,44,128.351265
-17.389067,85,129.575112
-36.171337,80,130.32587
24.528706,85,130.578765
-41.907154,65,131.08239
-50.705696,63,131.253499
-43.599506,48,132.169917
25.75594,109,133.141915
-12.756238,66,135.150888
-61.47268,46,135.233564
55.61081,102,135.421297
-35.160088,74,137.472031
61.93437,114,140.0266
54.573044,114,140.260003
