#{"t_start": 1686254058.3821626, "env_id": null}
r,l,t
-85.675385,30,0.684084
-73.261856,36,0.968735
-67.24439,41,1.200625
-44.24682,44,1.35139
-66.3344,46,1.441948
-40.261303,52,1.735433
-51.820217,54,1.829462
-70.0535,59,2.071266
-87.662285,60,2.12572
-71.12197,62,2.223236
-48.30035,64,2.331949
-52.7294,66,2.424692
-47.681705,66,2.424692
-62.007854,51,3.148614
-76.52986,43,3.384153
-20.9767,84,3.384153
-30.545525,86,3.527086
-66.010254,44,3.666358
-90.63023,30,3.782546
-25.785416,98,4.223349
-69.0873,42,4.827179
-67.73709,48,5.041085
-27.208916,76,5.041085
-61.92739,51,5.091137
-66.25245,66,5.354324
-59.658382,40,5.763794
-78.95232,39,5.804198
-75.47692,47,5.858649
-36.949463,77,6.006382
-63.849148,50,6.166051
-38.35926,69,6.218837
-59.112057,54,6.369956
-8.477354,98,7.328984
-61.07269,45,7.328984
-4.285076,112,7.389342
-46.007607,43,7.530639
-71.67241,49,7.530639
-43.695156,72,7.571972
-13.775616,67,7.733093
-41.46948,55,7.892359
-55.637135,57,8.743005
-70.83156,88,9.287941
-61.355957,42,9.452114
-68.86158,43,9.50101
-24.028088,77,9.702072
-37.073727,71,9.756204
-55.538822,47,9.902212
-45.096985,75,10.146882
-28.351114,82,10.359316
-48.256542,97,10.641731
-21.214638,94,10.742551
-39.370564,78,11.430401
-69.38521,40,11.430401
-76.37128,32,11.733331
-30.149658,86,11.884869
-23.50853,93,12.047013
9.797759,83,12.047013
-53.58719,67,12.116202
-55.513885,53,12.178092
-33.159718,48,12.178092
-63.272366,46,13.294979
-73.43526,35,13.446874
-44.152214,78,13.446874
-10.29407,113,13.638535
-34.098267,75,13.692697
-44.906757,70,14.134126
-74.20031,47,14.395022
-55.630985,55,14.4975
-61.484264,45,14.597402
-1.6068834,95,14.96044
-63.222443,50,14.96044
-23.456146,80,14.96044
-79.103645,29,15.155916
-23.524786,61,15.472366
-44.192936,67,15.576413
-61.24863,29,16.417792
-53.768402,59,16.485384
-57.882465,47,16.563777
-37.182327,85,16.70186
-49.943584,65,16.946881
0.5985837,88,17.094103
-42.517754,63,17.177872
-72.50166,36,17.252843
-69.508224,41,17.31325
-37.450993,77,17.592883
-43.85791,74,18.930856
-68.76565,42,19.424707
-15.648271,85,19.851937
-71.29297,38,19.911488
-60.538414,49,19.983359
-70.16339,42,20.131019
-65.35306,45,20.205016
-24.353815,75,20.327293
-29.043095,98,20.460768
-36.067986,87,20.460768
-35.8049,76,20.530983
-56.86731,65,21.186865
-42.56515,73,21.428394
-40.722183,71,21.984055
-76.591736,29,22.14676
-26.066202,77,22.229247
-60.423492,53,22.581317
-42.00014,42,22.965328
-65.3884,48,23.138869
-33.533653,87,23.430466
-69.37942,48,23.666274
-41.957314,61,24.289254
-34.436848,74,24.291281
-84.14487,21,24.415193
-46.391045,64,24.594046
-73.8045,68,24.846939
-41.004208,78,24.907601
-71.27068,39,25.334329
-65.73788,45,25.334329
-42.566635,86,25.511716
-48.25197,67,26.169533
-37.292873,86,26.56142
-43.71153,72,26.56142
-68.210464,43,26.834722
-66.19078,43,26.934798
-17.16214,94,27.196429
-29.109268,83,27.196429
-77.842896,67,27.377732
-68.14872,44,27.763341
0.36797312,72,27.813647
-58.846462,57,28.053429
-64.99771,56,28.516434
-26.015612,76,28.516434
-38.247616,68,28.558746
-73.09064,41,28.658169
-48.588196,64,28.762025
-33.869976,83,29.086757
-46.702343,55,29.349097
-50.73804,55,30.026752
-32.235947,67,30.389792
-33.040344,69,30.389792
-31.29723,86,30.629776
-67.91718,40,30.629776
-48.833134,65,30.682544
-63.484585,71,30.832155
-73.58476,61,30.88255
-48.411106,58,31.033947
-63.829315,48,31.217786
-47.942184,70,31.369675
-65.527176,45,31.420053
-36.301834,58,31.470324
-79.154106,27,31.984808
-73.693886,35,32.083353
-13.157119,71,32.227196
