#{"t_start": 1679394681.6662738, "env_id": null}
r,l,t
-59.291847,53,0.106014
-70.827644,35,0.16299
-55.462082,80,0.28331
-72.16345,36,0.347925
-87.98431,34,0.402744
-65.279884,40,0.979003
-76.85459,42,2.312502
-63.374496,47,3.62404
-14.404777,117,6.83691
-43.208717,80,9.168024
-33.970097,83,12.362315
-49.37598,52,14.234608
-51.83571,42,15.483872
-70.593834,33,16.378867
-9.293321,112,19.606557
-63.943398,41,20.801043
-72.23683,43,21.884628
-72.88111,35,22.823992
-57.802902,41,23.928919
-22.566765,85,26.254207
12.726795,126,29.488314
-1.2962748,132,33.226058
30.710812,128,36.759358
-6.931243,109,40.018887
24.210207,143,44.493136
-59.93264,45,45.852393
63.729416,124,49.712237
-28.765818,58,51.350962
-69.380165,46,52.736647
-48.790474,52,54.180961
-39.119648,63,55.82789
-76.54109,25,56.445436
31.142076,146,60.172436
-35.39836,50,61.401429
-73.47225,30,62.143424
-69.222176,33,63.015266
-35.418083,67,64.929512
-47.42814,48,66.339573
-43.82996,75,68.607414
23.823317,131,72.975834
-35.64971,112,76.177482
57.702316,219,82.277961
-42.376053,68,84.160142
-11.262342,90,86.620671
-43.586647,73,88.55212
-50.440117,49,89.828436
-90.41362,31,90.65838
-77.15846,30,91.44059
1.2089028,82,93.656315
-49.86336,30,94.476976
-65.52093,44,95.610308
-58.05489,90,98.105783
8.9254465,111,101.578408
-58.633495,48,102.994794
-71.30615,34,103.931038
-88.35525,28,104.762063
-85.01111,38,105.769503
-62.880512,44,106.984328
-58.497707,44,108.216409
-75.26519,42,109.33781
-68.930824,46,110.534361
-53.948902,48,112.011067
-57.885315,50,113.371382
-87.170876,53,114.838051
-30.847717,61,116.611366
-59.362534,63,118.289218
-60.72777,48,119.61678
-47.99319,83,121.938981
-64.084526,56,123.481425
10.27791,133,127.792847
-14.932471,125,131.577618
-18.0809,87,134.347405
-76.285736,50,135.723778
-52.047237,43,136.906185
-75.78615,29,137.782646
-50.477203,48,139.225994
-75.704506,26,139.950999
-53.555595,104,142.713873
-77.50689,32,143.56654
-37.80242,58,145.190382
-58.249184,47,146.486759
-50.118565,45,147.735593
-94.31036,27,148.523977
-33.36197,108,151.510587
-43.11957,52,152.978504
-98.69251,38,153.988957
-43.525833,54,155.561639
-62.204945,67,157.466952
-46.507248,63,159.568922
-51.256474,35,160.606714
-49.877357,48,162.118166
-32.81039,74,164.208329
-33.509975,76,166.255431
1.4888949,123,169.677831
-35.54985,68,171.540221
-32.663853,69,173.406801
-57.14867,36,174.399393
-42.408237,64,176.123265
-30.010965,66,178.114583
