#{"t_start": 1674728486.4032807, "env_id": null}
r,l,t
-87.79617,67,1.356979
-62.638863,71,1.453836
-69.76185,73,1.503952
-97.43111,24,2.027084
-0.05526952,207,4.298773
29.501469,209,4.340974
4.9649334,210,4.369099
39.231705,211,4.391205
25.440613,211,4.391205
-40.571568,115,4.421154
-39.445736,143,4.472665
58.569347,217,4.552179
-6.8456416,219,4.593375
76.05721,222,4.67387
45.589043,223,4.703009
9.0883465,224,4.733172
-34.613132,157,4.733172
60.60656,224,4.733172
2.1245608,225,4.771706
52.18016,226,4.804878
-89.65886,38,5.39828
-88.70288,24,5.420078
-84.189285,52,5.599616
-87.258064,49,5.681241
-79.441895,58,5.78103
-79.954865,44,5.799085
-81.77247,55,5.90185
-80.56662,58,5.921938
-82.538795,67,5.950177
-77.7168,52,5.950177
34.74318,223,9.488754
49.82369,187,9.530907
50.210186,163,9.58088
60.469696,185,10.014452
72.99239,250,10.034575
71.1179,246,10.175457
54.947433,245,10.175457
79.02165,192,10.175457
79.30684,204,10.254038
205.24042,250,10.296465
198.34888,250,10.296465
68.18822,222,10.435092
109.98184,247,10.749848
-93.410385,26,10.830463
197.73932,250,11.091246
193.43695,250,11.225388
164.5058,250,11.334051
196.90324,250,14.461461
188.93019,250,14.511376
189.2193,250,14.559482
179.61176,250,15.08602
202.88853,250,15.10619
212.7757,250,15.26542
220.86458,250,15.26542
219.93764,250,15.26542
192.75323,250,15.378647
221.07698,250,15.429267
199.88657,250,15.5905
205.49077,250,15.952485
233.97221,250,16.062981
200.81598,250,16.34705
232.38031,250,16.477612
229.72223,250,16.576213
296.57736,250,20.370455
205.57722,250,20.427002
305.389,250,20.483893
303.557,250,20.938162
207.21895,250,20.970966
326.7126,250,21.164933
272.6296,250,21.164933
316.5754,250,21.164933
-91.53258,33,21.220291
301.89038,250,21.285942
302.88724,250,21.342732
202.57552,250,21.531386
294.89328,250,21.932883
316.68753,250,22.030525
309.41928,250,22.308297
328.45322,250,22.459878
310.85315,250,22.588975
262.86316,250,26.176131
295.5573,250,26.33886
312.17926,250,27.007911
