#{"t_start": 1674729533.4147918, "env_id": null}
r,l,t
348.23334,250,6.251459
351.34546,250,6.251459
386.9125,250,6.251459
404.59814,250,6.251459
321.95367,250,6.251459
375.6076,250,6.251459
344.93546,250,6.251459
325.1344,250,6.251459
399.27148,250,6.251459
382.84244,250,6.252455
375.3938,250,6.252455
351.72906,250,6.252455
368.05017,250,6.252455
360.39658,250,6.252455
371.83783,250,6.252455
370.68027,250,6.252455
390.65262,250,12.248083
397.41476,250,12.248083
400.9822,250,12.248083
404.8868,250,12.248083
419.85303,250,12.248083
386.9207,250,12.248083
409.55527,250,12.248083
423.18027,250,12.248083
405.19385,250,12.248083
393.03748,250,12.248083
388.98425,250,12.248083
408.89386,250,12.248083
409.66388,250,12.249079
345.51468,250,12.249079
395.00635,250,12.249079
391.83725,250,12.249079
-95.51484,23,12.778955
-60.45623,74,13.972827
-57.803062,76,14.016017
-48.517586,83,14.189973
-35.139366,86,14.256413
-84.584335,32,14.735206
396.926,250,18.78688
328.97345,250,18.78688
368.01053,250,18.78688
399.23553,250,18.78688
348.05734,250,18.78688
322.97415,250,18.78688
382.42477,250,18.78688
349.54932,250,18.78688
342.69608,250,18.78688
381.8507,250,18.78688
360.94995,250,18.78688
390.38293,250,19.354751
400.69925,250,20.657423
379.40576,250,20.846698
361.0096,250,20.9318
371.38293,250,21.429832
419.64508,250,25.055295
377.69736,250,25.055295
399.1242,250,25.055295
392.16357,250,25.055295
366.5055,250,25.055295
401.94183,250,25.055295
344.9848,250,25.055295
366.39462,250,25.055295
383.61145,250,25.055295
406.07635,250,25.055295
357.57166,250,25.056181
384.1507,250,25.634728
429.5724,250,26.960902
368.74954,250,27.150589
412.4904,250,27.225779
385.19092,250,27.717735
402.52902,250,31.410563
428.9475,250,31.411651
391.19574,250,31.411728
417.1162,250,31.411728
418.07648,250,31.411728
421.3647,250,31.411728
381.3438,250,31.411728
410.16785,250,31.411728
411.23395,250,31.411728
403.76974,250,31.411728
421.10913,250,31.411728
380.53333,250,31.985883
410.8144,250,33.413591
413.39124,250,33.616829
401.21265,250,33.699679
406.81992,250,34.268515
361.52747,250,38.110475
396.9185,250,38.110475
389.40146,250,38.110475
402.90292,250,38.110475
362.12216,250,38.110475
401.64368,250,38.110475
364.16556,250,38.110475
401.699,250,38.110475
390.4454,250,38.110475
359.4462,250,38.110475
386.57843,250,38.110475
410.78104,250,38.660805
380.222,250,39.979656
433.06238,250,40.138484
390.76987,250,40.211812
419.131,250,40.714921
412.50745,250,44.287435
389.97238,250,44.287435
419.6839,250,44.288433
384.02737,250,44.288433
402.0738,250,44.288433
386.67645,250,44.288433
375.43222,250,44.288433
403.6979,250,44.288433
415.38434,250,44.288433
406.39478,250,44.288433
396.1462,250,44.288433
414.72342,250,44.878703
422.27298,250,46.177937
392.9427,250,46.359827
374.50467,250,46.433837
388.66605,250,46.930427
390.1492,250,50.515315
394.77505,250,50.515315
387.34204,250,50.515315
363.87604,250,50.515315
399.81104,250,50.515315
400.57837,250,50.515315
391.64163,250,50.515315
381.2846,250,50.515315
393.4503,250,50.515315
402.88034,250,50.515315
379.8955,250,50.515315
367.1921,250,51.116538
376.34958,250,52.433375
373.79428,250,52.602264
406.61426,250,52.675369
392.81335,250,53.168703
393.24982,250,57.097662
397.74265,250,57.097746
408.41397,250,57.097746
384.1888,250,57.097746
415.6147,250,57.097746
381.52716,250,57.097746
415.4761,250,57.097746
419.85806,250,57.097746
383.2966,250,57.097746
389.1123,250,57.097746
406.93524,250,57.097746
414.27704,250,57.699796
415.0611,250,59.271223
399.3766,250,59.477146
413.66656,250,59.556226
414.77097,250,60.086229
397.20056,250,63.920672
342.46915,250,63.920672
397.18045,250,63.920672
391.44635,250,63.920672
409.4085,250,63.920672
424.73004,250,63.920672
422.76556,250,63.920672
407.98563,250,63.920672
402.1441,250,63.920672
420.54214,250,63.920672
415.55963,250,63.920672
366.9622,250,64.645138
410.9639,250,66.229379
421.95898,250,66.439373
413.94968,250,66.538122
370.6073,250,67.101374
405.26166,250,70.817493
397.7001,250,70.817493
423.45078,250,70.817493
400.94696,250,70.817493
383.76016,250,70.817493
391.2765,250,70.817493
391.78232,250,70.817493
407.64297,250,70.817493
405.663,250,70.817493
430.69202,250,70.817493
358.82407,250,70.817493
397.39508,250,71.403148
395.58658,250,72.711503
407.98944,250,72.88609
422.99414,250,72.968889
376.76505,250,73.476558
412.6976,250,77.326379
380.69348,250,77.326379
410.84088,250,77.326379
396.23203,250,77.326379
394.5219,250,77.326379
384.92722,250,77.326379
397.71518,250,77.326379
390.66687,250,77.326379
408.06805,250,77.326379
379.16022,250,77.326379
411.92685,250,77.326379
394.14838,250,78.048861
419.80804,250,79.641233
384.48615,250,79.826925
337.6379,250,79.915782
409.72958,250,80.44037
-96.77059,32,80.737049
363.50482,250,84.214308
388.9485,250,84.214308
388.60922,250,84.214308
390.32007,250,84.214308
413.07944,250,84.214308
393.8014,250,84.215307
356.49966,250,84.215307
397.1107,250,84.215307
390.05038,250,84.215307
421.73047,250,84.215307
402.3483,250,84.215307
413.2644,250,84.810701
413.9874,250,86.147991
392.78494,250,86.338185
398.54483,250,86.915153
359.24933,250,87.227227
395.3547,250,90.579659
379.56625,250,90.579659
407.21906,250,90.579659
390.42966,250,90.579659
411.4501,250,90.579659
408.8862,250,90.579659
415.26004,250,90.579659
383.2528,250,90.579659
412.49197,250,90.579659
383.32,250,90.579659
386.20065,250,90.580657
352.20572,250,91.156528
396.99878,250,92.497808
393.5014,250,92.671165
408.9518,250,93.251172
405.35513,250,93.555554
405.85056,250,96.887029
418.90237,250,96.887029
404.3971,250,96.887029
407.21048,250,96.887029
398.95636,250,96.887029
410.84515,250,96.888018
393.1506,250,96.888018
394.951,250,96.888018
395.6861,250,96.888018
390.1029,250,96.888018
396.53888,250,96.888018
398.37903,250,97.465683
397.8628,250,98.794725
375.87204,250,98.982658
415.1249,250,99.552173
390.51593,250,99.856699
409.24045,250,103.166991
404.77893,250,103.166991
377.55032,250,103.166991
417.42157,250,103.166991
384.53326,250,103.166991
404.95346,250,103.166991
419.32706,250,103.166991
401.95148,250,103.166991
430.03445,250,103.167988
383.48853,250,103.167988
386.4841,250,103.168075
405.05832,250,103.75723
372.41458,250,105.108479
398.53772,250,105.308635
412.26575,250,105.97658
389.58643,250,106.296911
415.64038,250,109.751424
418.4602,250,109.751424
438.93912,250,109.751424
431.99344,250,109.751424
410.32877,250,109.751424
408.91562,250,109.751424
441.74207,250,109.751424
400.35446,250,109.751424
415.55298,250,109.751424
435.30002,250,109.751424
437.62476,250,109.751424
406.24057,250,110.347333
444.7479,250,111.684627
424.10333,250,111.86243
425.93616,250,112.485232
406.7845,250,112.805879
412.25656,250,116.27669
431.4431,250,116.27669
437.0003,250,116.27669
409.68973,250,116.27669
424.30313,250,116.27669
427.16443,250,116.27669
411.0938,250,116.27669
408.3085,250,116.27669
440.7921,250,116.27669
437.56308,250,116.27669
393.63812,250,116.277688
411.6636,250,116.828547
439.2968,250,118.200371
410.4035,250,118.393409
402.4951,250,118.975183
422.16397,250,119.29077
418.38467,250,122.613198
413.10455,250,122.613198
432.8659,250,122.613198
437.21744,250,122.614196
