#{"t_start": 1675203652.1790538, "env_id": null}
r,l,t
-61.527256,44,0.665542
-46.58144,58,0.959155
-32.227722,64,1.072587
-27.995377,66,1.111784
-54.826977,71,1.212036
-30.261778,74,1.283107
-60.65124,74,1.283107
-33.99686,76,1.323453
8.304671,80,1.425662
-30.545372,83,1.486023
-36.075714,84,1.506101
-0.064268544,85,1.526266
-5.2362022,89,1.60835
-11.502195,89,1.60835
-8.341558,104,1.945118
-67.49069,43,2.003893
-11.531841,109,2.045102
-51.33151,42,2.18705
-27.346157,72,2.18705
-53.495903,56,2.31859
-63.15719,47,2.338701
-43.322372,67,2.379432
-69.25325,35,2.655901
-63.51797,57,2.787372
-58.587784,67,2.888823
-46.39941,79,3.122843
-0.15542494,93,3.173598
-42.879986,84,3.274558
-24.470701,91,3.314698
-10.802914,108,3.549314
-58.560425,55,4.046911
-24.17477,85,4.127558
-60.414227,54,4.249274
-29.264881,71,4.26939
-57.648712,50,4.350204
-2.020266,112,4.614235
41.90878,132,4.716147
4.5148153,124,4.746305
24.562935,120,4.816974
21.004324,138,4.898024
-26.880646,84,4.918136
-31.737982,80,4.938726
15.821607,162,4.999282
11.823245,114,5.029918
24.01789,141,5.121324
-68.21602,40,5.478219
-46.94443,66,5.64212
-57.481262,66,5.744017
-72.88686,71,5.764165
-90.26477,37,5.803271
-40.374615,108,5.803271
-54.67604,52,5.844015
-51.82228,53,6.016517
2.8741145,121,6.584866
-26.041014,83,6.686848
-65.712456,45,6.759712
-19.46844,97,6.781915
-22.358011,88,6.781915
39.124725,127,6.810046
-20.327208,88,6.850771
-80.79531,53,6.870857
-63.11121,50,6.911145
-4.534022,100,6.943626
-28.436527,72,7.004876
-35.756985,64,7.1269
-43.826492,70,7.1269
-66.311134,53,7.146523
-28.174885,99,7.212665
-41.12239,66,7.212665
-84.275955,20,7.212665
-70.35893,38,7.421623
-79.05802,27,7.462317
-48.962036,76,8.541997
-66.10729,86,8.715164
-19.914724,98,8.820397
-41.536438,107,9.092868
-42.009502,98,9.173727
-25.034187,122,9.357574
19.021685,127,9.377664
-41.04781,102,9.574049
-8.407858,124,9.601163
-69.51503,41,9.695002
9.738915,123,9.713162
-83.751274,23,9.845397
-44.596603,69,9.980703
-73.79498,44,10.019403
-10.690635,141,10.170897
-60.41067,47,10.170897
12.925165,149,10.34576
19.123909,149,10.34576
-81.35748,39,10.417182
-1.3568741,157,10.447328
-43.849308,105,10.939665
-34.646446,79,11.033363
20.136158,178,11.155907
36.548122,210,11.225323
-59.38744,69,11.438316
-96.26066,77,11.481237
-64.18703,66,11.712064
-19.199215,99,11.762399
-42.77614,105,11.91417
-79.56884,30,12.09669
-57.26438,126,12.238393
-55.9904,64,12.351911
-27.08332,97,12.45187
-42.59489,78,12.846892
25.844202,138,12.898144
-38.367756,106,13.14352
-40.66235,134,13.14352
-42.02029,75,13.324314
-40.434856,78,13.344415
-40.043236,140,13.366498
34.632004,159,13.495954
-0.80867344,114,13.527631
-59.473606,97,14.117715
-83.38268,49,14.157886
-46.579926,61,14.188051
-27.729635,97,14.248921
-25.290974,87,14.269485
-45.277992,71,14.330288
1.610964,102,14.471514
81.29813,211,14.572677
-20.29127,134,14.705024
-41.486618,64,14.705024
-28.410988,80,14.806106
33.89368,163,14.836237
-34.72842,72,14.857331
-33.9323,75,15.089343
-71.048454,27,15.375296
-30.566753,80,15.993536
-58.168137,56,15.993536
-51.448685,65,16.063603
-53.181026,63,16.164745
34.961,142,16.286255
-34.133125,82,16.406906
-80.36321,23,16.467217
20.04364,142,16.467217
-19.631231,95,16.548267
-50.422947,74,16.588946
19.319971,115,16.641553
-76.466866,29,16.671239
14.658942,120,16.671239
-54.182476,62,16.671239
2.6790066,106,16.701939
4.9345026,119,16.763589
29.299864,124,16.794355
6.7427006,132,16.929661
-55.998436,36,16.977076
-51.29431,44,16.977076
-27.57182,85,18.468263
-44.165386,70,18.642314
-61.572636,85,18.763061
-20.119757,169,20.666
32.202072,152,20.755958
-12.749133,161,20.807879
10.837491,176,20.829638
31.772856,211,21.364346
9.418166,207,21.741545
31.758581,224,22.073223
18.984133,236,22.307989
40.891888,243,22.397943
156.11375,250,22.490445
204.82953,250,22.579735
132.48894,250,22.59981
223.8464,250,22.856182
-13.281779,112,23.202461
27.825731,152,23.900235
208.3137,250,24.134025
207.58733,250,24.298899
259.1864,250,24.409432
28.736801,157,24.724748
5.733222,133,24.911512
-7.9185586,126,25.071642
35.550163,167,25.850818
247.2088,250,26.074158
233.1098,250,26.16223
-33.028698,90,26.395545
214.3455,250,27.144966
234.04887,250,27.833742
185.38036,250,27.924752
265.69492,250,27.954978
-38.45656,75,27.954978
172.51254,250,28.21106
285.55203,250,28.607968
274.7564,250,29.347592
254.43497,250,29.571893
211.55612,250,29.724713
303.53748,250,30.128852
303.50644,250,30.300378
268.9879,250,30.463075
262.7089,250,31.235425
231.39032,250,31.464941
254.21915,250,31.525911
272.02182,250,32.427648
272.25613,250,33.154627
248.28717,250,33.234972
235.80615,250,33.265129
269.46747,250,33.265129
305.27747,250,33.528779
245.92683,250,33.862717
204.98161,250,34.563722
253.06517,250,34.786363
