#{"t_start": 1670871953.6285548, "env_id": null}
r,l,t
-1028.0044,27,0.089732
-1099.0,33,0.109859
-1206.1436,77,0.244211
-1209.7882,81,0.259294
-1264.1343,92,0.294914
-1048.9016,21,0.315978
-1315.0,105,0.341145
-1134.7559,45,0.846929
-1480.0,160,1.033431
-1262.6472,163,1.12319
-1408.672,173,1.385489
-1382.412,178,1.47525
-1366.489,181,1.563858
-1497.0027,188,1.66278
-1053.4589,44,1.830681
-492.58444,200,1.937576
-449.5078,200,1.937576
-279.32944,200,1.937576
-534.15894,200,1.937576
-1153.6497,55,2.382198
-1393.623,193,2.393168
-1066.0,22,2.472164
-1101.5242,48,2.642859
-429.1248,200,2.729628
-1057.0,19,2.827367
-1243.0,81,3.16247
-1014.00323,6,3.267189
-1220.1226,95,3.580683
-430.82275,200,3.670589
-1072.2932,48,3.671587
-1054.0,18,3.959311
-254.43097,200,3.966331
-1066.0,22,4.147174
-296.571,200,4.22817
-1331.8287,132,5.398574
-587.13574,200,5.502296
-1206.1196,144,5.935892
-469.63623,200,6.136703
-492.19492,200,6.286572
-117.73034,200,6.402562
-442.08466,200,6.402562
-538.54504,200,6.402562
-1297.083,139,6.749821
-1086.9792,29,6.831601
-436.1269,200,6.837584
-148.21729,200,7.289377
-595.7949,200,7.759632
-1244.87,118,8.071352
-371.44345,200,8.584781
-445.059,200,8.593757
-1211.5529,96,8.711444
-488.8137,200,8.815165
-1063.223,29,8.911908
-514.1394,200,8.918887
-1058.9847,20,9.132316
-1357.5046,139,9.246013
-1024.8712,20,9.246013
-1049.4364,25,9.874027
-482.11578,200,10.349549
-1167.2295,73,10.708922
-1169.2872,78,10.790703
-1186.2231,65,10.875477
-1172.065,77,11.184651
-429.97122,200,11.192628
-424.6167,200,11.296354
-318.5295,200,11.296354
-394.57993,200,11.652895
-414.58307,200,11.732842
-295.02094,200,11.741817
-1279.6625,134,11.906617
-1313.4491,165,11.906617
-1022.55365,12,11.922655
-1031.2723,12,11.999531
-407.85617,200,12.203299
-1214.6886,75,12.456055
-380.81003,200,13.577543
-1238.5352,120,13.577543
-1379.5087,175,13.783301
-1222.5065,89,13.870266
-1243.0939,145,14.045048
-1274.5327,130,14.212845
-1272.3463,173,14.303766
-1271.153,118,15.006314
-1257.6276,130,15.082111
-1392.6273,177,15.093082
-1395.1292,182,15.361365
-1152.128,70,15.361365
-1176.479,82,15.367349
-1301.8964,167,15.455114
-1250.7733,159,15.467081
-1316.3481,165,15.560073
-1129.5184,90,15.566056
-432.99008,200,15.645074
-1392.304,169,15.734059
-1149.1946,98,16.008767
-1129.576,85,16.08473
-1178.9124,98,16.438473
-1145.8856,58,16.697963
-1146.9338,75,16.711959
-1247.1288,125,16.788719
-1130.2759,71,16.954278
-1094.0913,70,17.141776
-1178.6503,105,17.369168
-1169.674,103,17.375152
-1135.8391,97,17.469898
-1167.898,91,17.54496
-1169.1393,99,17.555929
-1159.7231,80,17.736677
-1133.9879,64,17.811674
-1289.2594,113,17.907596
-1181.242,103,17.986617
-1209.1395,122,18.170459
-1141.742,104,18.355297
-1089.1321,79,18.51324
-1158.8589,77,18.787507
-1177.4869,107,18.983018
-1131.0465,114,19.24229
-1160.339,83,19.333047
-1166.3434,73,19.404856
-1163.4883,127,19.680619
-1164.9498,88,19.765592
-1013.5508,5,19.864487
-1292.7665,115,19.864487
-1241.0527,123,20.122205
-1130.0221,85,20.122205
-1233.2877,116,20.138196
-1275.0366,123,20.310097
-1105.7336,50,20.325057
-1015.0885,9,20.39495
-1209.721,108,20.39495
-1313.427,116,20.494857
-1190.1298,68,20.494857
-1036.8538,16,20.738288
-1079.5262,36,20.928779
-1194.149,118,21.021532
-1122.5879,63,21.110294
-1132.8766,51,21.218006
-1204.764,108,21.218006
-1131.6362,86,21.218006
-1097.8116,43,21.287818
-1017.2502,12,21.454373
-1169.2186,76,21.543135
-1101.3112,60,21.710085
-1109.5842,95,21.984941
-1322.6613,179,22.501235
-1147.7306,62,22.501235
-1156.1505,144,22.586082
-1229.9866,97,22.866332
-1241.9327,110,22.947117
-1270.3564,124,23.035879
-1172.7183,79,23.043861
-1125.2623,76,23.165533
-1224.9742,122,23.239335
-1183.564,78,23.325107
-1212.1539,115,23.418856
-1260.5867,115,23.749694
-1262.777,134,24.200376
-219.06593,200,25.400794
-1174.6177,86,25.676536
