#{"t_start": 1693841168.8513176, "env_id": null}
r,l,t
-67.55457,32,1.035724
-52.25602,33,1.042706
-59.524807,39,1.080603
-58.4947,41,1.096561
-56.156013,41,1.096561
-50.402287,45,1.1195
-64.10736,45,1.1195
-46.906403,47,1.13255
-29.201937,48,1.140527
-46.375664,34,1.336038
-56.270092,37,1.354506
-60.21983,38,1.361486
-56.30909,41,1.379438
-56.223743,42,1.38642
-47.31331,49,1.432257
-41.185764,52,1.450208
-44.863888,52,1.450208
-18.336088,53,1.46018
-33.676235,62,1.512042
-52.729626,67,1.549941
-21.498945,70,1.570212
-29.599054,70,1.571209
-24.314568,72,1.58318
15.179275,72,1.58318
-19.813637,73,1.591156
-62.60795,36,1.817551
-53.739937,46,1.879386
-50.103428,47,1.887365
-51.17213,47,1.888361
-43.911407,51,1.9123
-39.60327,53,1.926261
-63.505608,31,2.119394
-59.980694,39,2.164274
-53.861275,45,2.203214
-53.02716,46,2.210196
-48.35916,47,2.218176
-45.53667,49,2.232139
-44.608315,51,2.245105
-42.59425,54,2.264569
-40.338043,54,2.264569
-22.160093,63,2.325484
-20.5261,63,2.325484
-65.97932,33,2.531953
-44.521725,36,2.55035
-62.437256,37,2.55833
-57.971897,40,2.577278
-66.52286,42,2.59124
-63.321762,36,2.810522
-55.478046,39,2.829469
-50.478348,46,2.877863
-49.395634,46,2.877863
-39.307472,54,2.924741
-21.39364,54,2.924741
-44.684723,61,2.974605
-39.897697,61,2.974605
-37.9528,62,2.983581
-78.23519,24,3.135208
-68.86122,29,3.163158
-58.49691,30,3.169147
-48.81011,33,3.193083
-56.547024,39,3.229026
-50.642403,40,3.237005
-59.271606,40,3.237005
-43.45385,46,3.272909
-38.326057,50,3.302891
-54.78818,44,3.571268
-53.363976,44,3.837728
-50.711452,47,3.861226
-28.551214,55,3.910606
-42.69752,55,3.910606
-29.891382,55,3.910606
-73.12612,27,4.078671
-59.452408,39,4.146009
-52.55747,45,4.188029
-25.338968,49,4.211482
-44.79193,53,4.23542
-66.468185,38,4.460472
-52.227654,44,4.496375
-47.750565,49,4.530285
-43.785072,53,4.554221
-41.274944,54,4.562199
-41.144817,57,4.580151
-47.38809,58,4.58817
-36.718872,59,4.59615
-75.28482,38,4.822594
-34.057407,47,4.879442
-55.425144,53,4.915345
-44.498287,54,4.922328
-21.216938,55,4.933297
-22.708805,55,4.933297
-39.00965,58,4.954242
-30.570152,59,4.962222
