#{"t_start": 1686507271.0661116, "env_id": null}
r,l,t
-79.00228,26,0.879094
-71.142265,36,1.11406
-72.95146,37,1.143016
-56.568535,51,1.508987
-52.12753,71,2.022828
-34.898148,77,2.168441
-48.195427,77,2.168441
-28.942144,82,2.277696
-38.556503,83,2.30562
-36.739094,83,2.30562
-29.242277,84,2.330554
-33.46915,87,2.407348
-36.430473,89,2.458989
-4.436599,90,2.501644
-55.679855,54,2.533092
-15.715632,92,2.560487
-15.647636,93,2.601378
-43.956768,70,2.696423
-83.22115,19,2.831064
-84.40301,18,2.831064
-47.482815,67,2.856995
-81.271645,27,2.883923
-84.051056,19,2.940771
-90.875404,17,2.963709
-73.70092,26,2.988642
-61.302475,58,3.014573
-70.62751,26,3.014573
-84.61651,20,3.014573
-84.90951,19,3.036543
-61.321743,36,3.101371
-81.36866,22,3.133621
-73.31787,44,3.159554
-86.3813,22,3.401582
-80.275475,28,3.525244
-71.23142,38,3.547965
-75.74118,35,3.548962
-61.1614,36,3.858791
-73.825615,40,3.913647
-63.996216,42,3.991437
-71.64226,47,4.048798
-70.643745,42,4.076722
-72.496574,47,4.351506
-72.54962,47,4.373448
-78.3153,38,4.395388
-54.21998,56,4.450756
-63.54995,58,4.492644
-49.574467,63,4.612349
-35.30303,71,4.641388
-72.10993,44,4.709892
-70.921936,46,4.753914
-69.37959,48,4.783693
-78.00459,29,4.783693
-80.95856,29,4.827577
-75.60922,36,4.827577
-70.1073,41,4.987188
-81.31948,25,5.108863
-47.763126,79,5.108863
-66.514854,42,5.150749
-78.02304,33,5.19563
-75.796906,38,5.297358
-76.58804,35,5.297358
-61.06198,45,5.464438
-77.34058,34,5.582125
-74.41036,35,5.633986
-72.91424,39,5.669112
-67.62564,42,5.669112
-76.707436,24,5.720973
-65.125534,41,5.797769
-64.46219,42,5.867098
-59.886723,50,5.903003
-89.92183,24,5.923946
-58.147873,46,5.969825
-77.39322,30,5.969825
-72.231316,44,6.08352
-64.14291,46,6.260433
-85.183,23,6.285368
-73.37802,40,6.312814
-32.722122,51,6.432765
-64.823975,43,6.523097
-81.92881,32,6.579083
-81.14007,26,6.605014
-68.87622,38,6.605014
-75.3422,42,6.63294
-73.745636,33,6.683804
-75.41828,30,6.710732
-85.64349,25,6.710732
-164.99896,45,6.757109
-74.79763,37,6.822901
-66.73682,37,6.850795
-52.54749,47,6.850795
-72.53446,26,6.953645
-70.96105,26,6.987698
-68.650085,27,7.160033
-83.32021,18,7.220345
-69.19105,37,7.245195
-75.069756,23,7.245195
-75.08478,24,7.274623
-78.24689,22,7.302931
-76.23015,25,7.337839
-81.3653,21,7.363694
-78.87309,25,7.411567
-69.18437,30,7.411567
-60.792824,36,7.521555
-77.07967,25,7.548482
-70.38071,28,7.596278
-81.2135,23,7.616224
-72.239525,30,7.672947
-78.75635,26,7.672947
-82.55417,22,7.745362
-87.70774,19,7.798687
-81.97077,21,7.895445
-72.54945,28,8.007317
-72.08529,26,8.007317
-67.27326,30,8.007317
-82.21947,24,8.030973
-76.64798,24,8.030973
-61.117554,34,8.127813
-62.107765,35,8.151748
-82.56137,22,8.151748
-82.54958,24,8.228189
-74.72543,27,8.228189
-75.601425,24,8.318781
-85.502625,18,8.400943
-74.698326,31,8.514041
-61.173496,37,8.514041
-88.90241,19,8.572387
-80.64833,23,8.640201
-80.560974,23,8.640201
-81.99084,24,8.665536
-63.98324,32,8.666533
-66.55996,36,8.707881
-80.65385,23,8.780071
-86.89618,22,8.780071
-81.42312,22,9.032759
-84.987625,21,9.122206
-69.05239,41,9.214745
-68.94633,36,9.294735
-72.385635,39,9.294735
-70.05874,40,9.400237
-77.04924,37,9.749583
-74.99438,38,9.803279
-18.342321,60,10.048434
-60.065914,60,10.297855
-86.685875,51,10.631978
-40.553474,72,10.821302
-56.907948,67,11.792926
-15.325426,106,12.017599
-46.567867,99,12.050413
-55.627968,73,12.281842
-14.907335,100,12.386296
-3.5184817,120,12.609355
-34.51985,122,12.886961
-21.184147,92,13.014547
-80.33402,32,13.126549
-33.43878,87,13.359714
93.71513,177,13.557774
-24.268068,136,13.625714
0.15551186,184,13.819265
-58.672264,76,13.923879
-53.04596,78,13.945821
-75.78532,46,13.961449
40.254623,190,13.993194
-83.49817,31,14.077049
-65.92446,55,14.377933
-57.600338,59,14.377933
-77.064415,36,14.424694
-31.393835,87,14.476433
105.96557,214,14.556057
-75.60144,30,14.571678
34.81777,154,14.693767
-85.06383,52,14.693767
-63.695904,37,14.769726
5.3924346,93,14.777647
-76.65889,25,14.924991
-68.63064,46,15.010819
-56.482765,55,15.077746
-91.16037,26,15.194969
-67.993385,33,15.194969
10.546668,146,15.194969
-66.02673,40,15.257464
-76.58668,27,15.311772
-61.823273,39,15.327405
79.38796,235,15.327405
-51.76242,50,15.344182
-52.795193,77,15.414372
-82.33622,28,15.466888
-83.30252,22,15.618392
-62.868088,54,15.810551
-27.53253,77,15.87949
-57.545692,45,15.891064
-75.036095,32,15.961722
-70.157,38,15.992962
-49.901756,53,16.113265
-77.08634,34,16.131912
-47.64271,49,16.154088
-66.588554,48,16.284138
-58.980392,50,16.393734
-72.86693,31,16.425431
-25.920225,94,16.526815
-49.955265,47,16.547996
-71.280174,36,16.597521
-41.37029,69,16.678703
-74.70168,31,16.727261
-31.904009,73,16.747362
-45.02959,53,17.042968
-78.69437,26,17.043013
-60.769093,46,17.05313
-60.11561,47,17.213434
-51.690784,45,17.275719
-69.86863,38,17.343292
-23.395832,73,17.376506
-56.77589,37,17.431716
-39.120064,81,17.456862
-56.750057,51,17.537687
-37.943676,72,17.537687
-62.02311,42,17.557909
-77.82603,29,17.60845
-43.926235,62,17.867269
-60.751408,40,17.951383
-3.460521,146,18.021708
-79.240685,28,18.072016
76.49244,212,18.132406
-48.277924,59,18.150605
-64.23593,50,18.213034
-63.480244,48,18.294925
-54.80053,43,18.354374
-50.45355,56,18.534066
-81.62858,29,18.536083
-68.07728,48,18.536083
-15.217675,88,18.72719
-41.027287,84,19.080481
-13.424347,140,19.172801
-50.40276,73,19.341336
-73.854256,41,19.384065
-12.467021,96,19.453439
-22.88725,106,19.453439
-37.132454,72,19.56564
-100.74475,73,19.664493
-63.959133,58,19.75328
-51.549942,71,19.775478
-45.572968,73,20.048684
-34.42405,97,20.138191
-32.794254,97,20.219087
-67.42034,46,20.290262
-78.25107,43,20.340204
-44.807327,58,20.633135
-2.5216851,92,20.633135
-81.77683,25,20.633135
-58.521076,45,20.674408
-42.026203,67,20.753873
-36.16758,78,20.784104
-63.91236,52,20.804252
-77.26445,25,20.854235
-43.32013,67,20.937736
-61.21607,45,20.984364
-50.80762,65,21.006485
-20.047976,92,21.006485
-70.93553,40,21.046741
-12.299618,131,21.076956
-52.12043,48,21.318773
-78.85923,27,21.450128
0.5517333,170,21.560395
-78.998055,26,21.648937
-79.575645,32,21.648937
-73.70632,31,21.74246
-40.39609,50,21.74246
-37.450203,49,21.762542
-38.81315,51,21.762542
-61.256382,37,21.839969
-49.560394,54,21.970779
-55.00311,52,21.970779
-67.43497,30,21.990909
-61.34623,44,21.990909
-41.732742,58,22.264902
-65.966705,29,22.293148
-64.638145,40,22.333575
-64.74749,31,22.627346
-44.525166,87,22.69802
-61.985584,35,22.718142
-49.059376,50,22.82979
-24.254295,103,22.899476
-51.260414,52,22.899476
-55.075794,54,22.91955
-60.18202,62,23.227106
-63.201866,41,23.277484
-56.74085,45,23.298428
-81.599945,45,23.329346
-39.80845,79,23.334686
-38.14969,63,23.401242
-45.177094,74,23.416874
-38.476833,84,23.518019
-75.52426,26,23.518019
-56.270176,43,23.60065
-12.291017,77,23.669454
-74.61568,26,23.741914
-70.16869,25,23.782343
-42.183178,50,23.803765
-70.02239,29,23.843914
-53.26838,45,23.862904
-51.51922,57,23.922335
-75.65121,27,23.934509
-66.67909,32,24.00494
-34.66347,56,24.00494
-72.09393,27,24.025156
-58.027576,42,24.318753
9.076462,116,25.515426
15.421482,117,25.555564
-50.384254,116,26.173188
-27.765692,126,26.204473
-26.19507,124,26.325168
-63.058113,127,26.410427
-53.96834,133,26.410427
-36.663376,137,26.410427
-36.478085,112,26.410427
6.1508546,150,26.596851
-43.28339,153,26.627049
9.226694,161,26.627049
-23.531199,158,26.64721
-21.263681,146,26.687459
-66.866974,63,26.705548
-58.176132,62,26.727761
12.662418,158,26.786361
63.22869,201,26.806364
-73.536026,38,27.071465
-76.055786,41,27.203345
-65.55414,56,27.292882
-79.61457,28,27.333364
-63.453968,50,27.373628
-66.32177,44,27.525369
-73.26801,42,27.525369
-56.407455,62,27.605886
-62.89389,53,27.624516
-66.37225,60,27.776492
-60.130917,61,27.796614
-9.214548,73,27.816814
-46.39899,62,27.836925
-56.71424,65,28.018379
32.498783,99,28.078711
-69.14091,40,28.137785
-67.13306,50,28.159877
-50.60022,59,28.201246
-57.90481,48,28.270719
-70.06919,36,28.309303
-15.123805,89,28.433581
-57.510143,49,28.619656
-42.51905,57,28.69081
-69.72043,46,28.787163
-85.27813,38,28.856802
-48.665142,73,29.043326
-60.059452,72,29.305118
8.40585,111,29.614393
-42.962376,70,29.674586
-0.75548357,119,30.308005
-31.60527,100,30.463384
-19.77252,110,30.494301
-11.133141,102,30.83996
0.3279329,113,30.840374
-45.783596,77,30.929049
-11.275395,111,30.97218
-50.76276,95,31.274657
-49.57272,64,31.437222
23.623306,152,31.496065
-42.866352,71,31.544934
-66.69347,44,31.810241
30.213396,134,31.941024
-74.915504,41,32.046267
-45.48593,109,32.087199
35.245766,170,32.304137
22.337328,143,32.342037
-45.159275,77,32.500776
-68.711914,44,32.590572
-48.77852,69,32.71384
-78.31797,30,32.747669
-51.276024,71,32.774931
-61.842308,53,32.822762
29.678307,167,32.910529
-45.03685,59,32.935461
-36.996456,78,33.017291
-18.788883,92,33.073724
-66.1353,46,33.407831
-57.274734,58,33.450716
-6.5214915,86,33.577232
-54.986862,58,33.709428
-63.66031,43,33.898967
-65.97379,36,33.898967
-60.085854,48,33.920932
-49.56786,43,34.033589
-62.291862,53,34.253088
-76.58973,44,34.352971
-56.112225,50,34.378949
-55.424385,53,34.431599
-55.35506,63,34.540828
-27.70231,80,34.618068
-74.14593,36,34.88092
-53.764763,57,35.023656
-67.40566,39,35.365189
-29.138166,108,35.44353
-68.4575,36,35.44353
-46.124817,74,35.537182
-42.337624,41,35.577051
-49.405907,65,35.577051
-65.73443,47,36.025518
-45.45419,40,36.101818
-79.03326,25,36.285141
-60.095997,42,36.320697
-8.898745,86,36.421704
-69.04815,42,36.73484
-41.54463,73,36.768543
-53.657433,42,36.857903
-46.37132,67,37.512078
-72.4605,39,37.64298
-71.25372,44,37.818531
-63.665413,52,37.8802
-21.504864,130,37.981442
-59.612633,41,38.272599
-61.764812,52,39.344536
206.57954,250,39.906891
162.81189,250,40.268193
49.748047,127,40.516563
163.22902,250,40.646253
238.55621,250,40.966771
-16.628029,80,41.036464
160.14621,250,41.722858
213.80527,250,41.806505
213.07161,250,42.181267
-61.056034,52,42.204102
