#{"t_start": 1686205956.8874233, "env_id": null}
r,l,t
-91.1871,40,0.351077
-63.559402,45,0.391291
-67.35894,48,0.422227
-39.229855,54,0.46134
-49.317436,54,0.46134
-62.2964,54,0.46134
-62.57839,58,0.492527
-55.344395,60,0.516327
-54.339558,66,0.560088
-42.991486,70,0.590269
-50.276997,72,0.602329
-80.53162,73,0.615849
-75.82087,34,0.623834
-40.046913,75,0.642364
-44.374474,76,0.652718
-44.599922,80,0.682776
-70.22132,37,0.692814
-24.97899,84,0.712907
-69.71973,40,0.792025
-73.12018,42,0.834573
-62.605545,48,0.894552
-70.40828,60,0.945117
-68.71329,43,0.976295
-53.977146,53,0.985328
-65.59382,52,1.025681
-60.57383,55,1.035729
-78.12559,33,1.055804
-36.025974,81,25.228249
-84.957466,23,25.24632
-39.962112,60,25.270592
-68.889435,41,25.278635
-53.259228,94,25.288661
-60.082573,68,25.350125
-79.10439,32,25.350125
-50.66552,74,25.350125
-51.476852,68,25.370216
-44.58643,83,25.399366
-66.494415,42,25.439787
-69.21959,43,25.479772
-73.039505,40,25.542956
-49.72886,50,25.542956
-51.485416,40,25.561649
-30.85349,105,25.58084
-71.84982,42,25.601447
-64.76879,40,25.601447
-88.357574,36,25.631098
-56.10005,63,25.671378
-71.55608,56,25.799637
-31.740799,99,25.811714
-63.69759,56,25.821753
-76.76981,35,25.831798
-81.58707,28,25.902419
-72.129745,42,25.910602
-94.301834,65,25.923845
-70.46562,42,25.95159
-87.3356,46,25.96163
-35.923244,86,25.983828
-17.543356,66,25.983828
-42.489716,84,26.034133
-45.872543,53,26.044165
-62.891968,53,26.074313
-76.23239,34,26.092498
-49.71592,72,26.146855
-79.87952,31,26.165452
-92.62139,42,26.186537
-31.13728,93,50.841277
-73.6727,38,50.879263
-72.37223,40,50.879263
-81.66243,27,50.889303
-72.194916,29,51.002615
-68.386444,67,51.03085
-50.344513,81,51.061021
-40.450874,65,51.07908
-40.585384,81,51.07908
-35.657852,73,51.111241
-44.431652,49,51.131336
-30.526554,82,51.231999
-37.610054,72,51.260134
-38.266785,78,51.270168
-61.732044,80,51.282256
-56.36657,57,51.342967
-50.334072,73,51.358929
-57.40774,58,51.360936
-66.46588,48,51.411273
-64.39598,47,51.434441
-93.019394,31,51.494936
-33.440483,86,51.544276
-42.88304,72,51.705615
-132.23695,105,51.745809
1.4244705,75,51.745809
-64.12555,50,51.777192
-40.10382,65,51.816648
18.536499,90,51.827576
-84.091484,59,51.846563
1.0001329,94,51.856618
-50.718803,63,77.0646
-35.0709,74,77.075668
-7.9092474,105,77.114993
-48.87678,84,77.136091
-62.093353,58,77.156054
-68.58351,34,77.165111
-83.302124,25,77.245619
-67.78748,44,77.299538
-65.211136,51,77.336484
-77.19702,29,77.336484
-71.13342,41,77.346514
-87.90986,53,77.407146
