#{"t_start": 1685052753.3584433, "env_id": null}
r,l,t
-74.549324,32,0.605595
-70.926476,34,0.674559
-81.173935,36,0.736431
-7.7169094,100,2.611608
-26.525238,64,2.611608
-43.031685,100,2.611608
3.0289595,103,2.690951
10.34972,106,2.78276
3.976269,107,2.815594
4.585709,110,2.93537
-6.38133,79,2.975133
-24.275743,113,3.03731
32.504204,129,3.502155
42.225754,130,3.542037
-54.139046,51,4.530758
17.788082,131,4.571186
-31.868954,67,4.824182
-48.354324,48,4.952549
113.46794,180,5.02312
-36.867146,52,5.045907
3.0890958,87,5.217825
-26.334066,77,5.248113
-19.124592,87,5.388901
-70.15607,23,5.89478
197.54314,211,5.921962
-69.58207,41,6.247595
156.0638,226,6.35924
-31.423628,62,6.35924
-44.66991,53,6.388905
39.14784,128,6.425862
-45.22211,56,6.601732
-31.050732,57,6.682462
-41.13256,51,6.874041
264.35117,250,7.055375
-65.52024,36,7.297668
-78.66609,29,7.438938
31.377174,164,7.763922
-62.7937,46,8.388164
28.239592,145,8.783853
-33.438805,72,8.963343
16.567352,112,9.144375
-40.655926,67,9.37817
172.96832,234,9.579485
66.743225,154,9.72371
293.01434,250,9.952583
-17.747345,86,10.873029
-61.35445,44,10.995047
36.862175,154,11.145664
160.81366,194,12.054292
5.0953574,118,13.173595
30.2902,141,13.245442
273.65146,250,13.377054
196.54465,249,13.831176
258.99393,250,13.860395
257.38486,250,13.901834
89.46567,140,14.344859
31.841593,109,14.382117
255.53099,250,14.950191
-66.91844,59,15.210272
276.23264,250,15.465329
-40.445984,60,15.850192
-71.4972,31,16.374005
-21.067848,95,16.404742
256.31396,250,16.526499
284.6877,250,16.912698
-73.51514,39,17.035588
8.020755,104,17.120173
293.49307,250,17.152285
4.456892,96,17.345163
10.903548,111,17.374346
79.73566,172,17.606349
-69.09354,41,17.667154
11.401552,102,18.331711
8.217918,128,18.359557
251.44124,250,18.876286
246.3679,250,19.037469
-38.620075,63,19.067255
-3.553308,80,19.36992
-7.032765,80,19.498754
-83.51039,19,19.632106
24.25442,112,19.946447
1.2694681,113,20.52192
269.98923,250,20.886113
143.28717,211,21.300558
-8.537104,88,21.895865
55.917088,122,21.895865
-32.8959,81,21.955282
-51.319614,35,22.298897
-45.83197,64,22.390713
-47.440807,61,22.631045
59.904835,139,22.921661
-51.19024,39,23.035307
95.83251,229,23.217179
-79.556366,40,23.479399
110.72001,156,23.560401
88.604774,144,23.651509
-17.82897,72,24.053586
311.11496,250,24.69256
280.03857,250,24.732962
-67.9664,45,24.791483
22.092552,103,24.904532
248.58542,250,24.935069
151.3636,249,24.964896
-53.26127,72,25.026217
8.068758,101,25.359235
-1.6516763,82,25.625325
302.14142,250,25.681868
-35.10481,74,25.820625
119.27119,221,26.368642
-45.519257,52,26.489963
-24.555117,66,26.660297
-19.179592,69,27.043608
-55.897587,34,27.36742
65.20756,136,27.540303
-42.492638,74,27.983886
39.181076,102,28.728912
86.39886,147,29.154178
18.98519,132,29.669256
106.757996,188,29.770123
32.556705,101,29.840153
271.91034,250,30.230704
13.851801,97,30.477276
285.22488,250,30.648974
-37.117188,67,30.939348
105.044754,190,31.242346
-71.97926,32,31.485894
1.3505113,82,31.75131
114.193085,171,31.837959
162.6812,225,31.874246
227.4617,250,32.497443
349.50598,250,32.607045
-45.789825,79,32.658366
8.563339,108,33.131785
-43.03467,48,33.271011
-73.93339,27,33.374305
-22.336807,87,33.536326
77.08894,128,33.605702
-22.275986,74,34.031357
295.62692,250,34.823816
60.877853,144,35.061241
291.6963,250,35.359532
-37.514565,49,35.590769
355.96384,250,35.789177
20.087862,102,36.499491
-65.3717,39,36.499491
46.87335,151,36.984018
81.05287,195,37.073462
132.5893,149,37.107928
246.5406,250,37.327432
-2.2659953,96,37.835302
9.329611,87,38.083659
-24.98609,61,38.767829
-1.2517276,107,38.887022
94.07178,181,38.921609
339.4335,250,38.921609
275.09067,250,39.185868
272.15698,250,40.570325
358.3105,250,40.706793
