#{"t_start": 1685043107.6852808, "env_id": null}
r,l,t
-85.11436,32,0.566324
-62.52623,40,0.756521
-59.37357,45,0.888093
-66.59289,46,0.91849
-62.667713,50,1.030719
-61.750626,51,1.058433
-57.46307,54,1.141713
-58.7437,55,1.161992
-50.25509,56,1.19115
-50.970963,57,1.229558
-41.80075,58,1.251874
-50.42766,61,1.342704
-53.279804,63,1.393163
-78.866325,28,1.512448
-39.31754,72,1.636633
-77.4248,46,1.807599
-33.617126,79,1.837184
-36.160973,81,1.888849
-70.953865,38,1.938185
-61.1356,37,2.169931
-72.10811,37,2.258663
-71.968994,39,2.258663
-67.29564,53,2.472074
-62.434467,48,2.643521
-53.88464,64,2.663669
-39.627747,58,2.714279
-77.63618,40,2.714279
-54.84141,53,2.977326
-84.57172,46,3.065947
-32.08523,67,3.065947
-58.615513,50,3.199533
-71.94571,39,3.261183
-43.54843,52,3.379878
-77.19414,41,3.402539
-17.843428,89,3.510178
-41.509216,77,3.510178
-73.10239,34,3.582338
-75.10423,31,3.582338
-57.223324,49,3.612505
-80.788895,27,3.725527
-55.015526,47,3.774973
-64.77648,74,3.906103
-67.9885,34,3.99671
-70.60567,48,3.99671
-77.82429,30,4.169567
-81.78017,24,4.249426
-67.302986,41,4.309811
-61.639038,34,4.430906
-58.33396,40,4.672848
-69.51708,36,4.703114
-42.991707,60,4.703114
-75.33574,31,4.763603
-70.310394,39,4.844548
-56.45745,50,4.875857
-41.672935,61,4.935345
-46.219025,60,5.046478
-65.17962,42,5.158529
-16.242659,88,5.158529
-78.52813,29,5.246058
-71.178,38,5.379641
-79.88941,27,5.461442
-31.99663,45,5.508468
-50.38735,73,5.591124
-60.085335,33,5.683082
-53.014557,56,5.73243
-38.47854,66,5.823189
-64.29549,36,5.843379
-67.705284,34,5.873604
-78.43913,28,5.934319
-59.433918,48,6.026148
-75.0117,36,6.125993
-64.781715,47,6.308409
-21.397038,65,6.449376
-67.73288,41,6.561028
-50.15881,63,6.590233
-79.73592,51,6.610378
-63.689144,48,6.670754
-79.001785,46,6.761836
-55.698914,40,6.812273
-58.853336,56,7.196378
-48.864883,55,7.307693
-53.85807,53,7.307693
-55.88657,46,7.39669
-44.91537,68,7.46624
-66.522026,38,7.536913
-43.10802,63,7.598089
-71.863754,37,7.619102
-49.160027,63,7.669456
-75.14726,36,7.700565
-57.424587,53,7.812963
-68.25729,39,7.879103
-44.485634,43,8.05672
-81.875725,28,8.236349
-74.83399,36,8.398671
-78.00048,31,8.467125
-45.267212,64,8.497344
-30.457666,86,8.497344
-49.427177,67,8.567787
-68.4692,49,8.689016
-70.06548,33,8.689016
-64.46071,46,8.71943
-59.177494,42,8.750226
-68.22255,32,8.820177
-66.75074,38,8.889362
-55.544113,49,9.102897
-50.240353,60,9.39671
-76.00356,26,9.45812
-77.15222,33,9.545847
-79.3247,27,9.545847
-71.09512,38,9.545847
-88.12875,36,9.578015
-79.42838,30,9.578015
-80.195816,27,9.679359
-64.16351,33,9.710616
-78.02456,21,9.750235
-51.83712,44,9.820795
-21.91336,64,9.820795
-50.90195,59,9.861165
-58.232933,54,10.131719
-59.961548,52,10.396082
-79.84047,28,10.426302
-43.96678,71,10.426302
-58.70897,37,10.605949
-67.99218,40,10.639353
-79.546005,26,10.678582
-74.129456,34,10.784041
-73.989296,34,10.810222
-72.08357,35,10.941587
-68.222855,43,10.941587
-61.13514,36,10.972258
-57.007633,45,11.09324
-61.945007,51,11.15364
-48.641876,56,11.284917
-61.779675,37,11.547047
-46.484608,64,11.547047
-67.68739,49,11.607265
-59.644638,35,11.708051
-74.285484,32,11.889535
