#{"t_start": 1685044271.1186907, "env_id": null}
r,l,t
59.61058,146,4.045678
-30.848831,103,7.04481
283.47452,250,7.104935
285.2921,250,7.104935
217.4898,250,7.104935
356.1229,250,7.104935
266.3888,250,7.104935
312.28867,250,7.104935
229.76149,250,7.104935
315.88556,250,7.104935
311.5886,250,7.104935
283.72913,250,7.104935
229.44836,250,7.105643
323.33356,250,7.105643
257.94446,250,7.105643
311.7134,250,7.105643
353.6509,250,7.105643
-47.07326,59,9.328805
132.47548,215,15.974771
166.62776,238,16.730392
282.40353,250,17.089284
295.49097,250,17.139292
353.0024,250,17.139292
314.85062,250,17.139292
313.27826,250,17.139292
278.59534,250,17.139292
289.76218,250,17.139292
313.94016,250,17.149807
275.63235,250,17.149807
327.7147,250,17.150804
293.0587,250,17.150804
346.22824,250,17.151396
313.35254,250,17.151396
331.5374,250,19.52817
102.916954,199,24.003088
384.77145,250,24.477682
349.32748,250,25.128193
381.86264,250,25.447788
332.87744,250,25.488017
425.5446,250,25.488017
372.6368,250,25.488017
361.38095,250,25.488017
395.35913,250,25.488017
338.2556,250,25.488017
308.1612,250,25.488017
333.99063,250,25.488017
333.31558,250,25.488017
310.72076,250,25.488017
341.94498,250,25.488017
410.16025,250,27.375003
122.175545,187,32.429545
134.49417,193,32.854342
338.03174,250,33.09253
187.1777,215,33.713832
311.05142,250,33.777917
196.66545,217,33.902644
314.90103,250,34.797282
332.25494,250,35.366252
264.86334,250,35.366252
335.78665,250,35.366252
281.46588,250,35.366252
299.86734,250,35.366252
334.33453,250,35.366252
372.1885,250,35.366252
291.46466,250,35.366252
0.056765094,84,36.498628
335.68808,250,37.8061
15.052637,105,39.433706
-38.243454,82,40.536182
59.812355,154,40.902695
-47.128788,57,41.120726
81.94947,188,41.569649
72.50123,182,41.750396
337.65952,250,41.899995
288.3496,250,42.242994
301.24326,250,42.678788
316.96646,250,42.708589
344.57184,250,42.779119
255.24905,250,43.759105
276.1259,250,43.759105
300.10916,250,43.759105
291.5616,250,43.759105
354.17908,250,43.759105
349.13763,250,44.545804
155.25711,219,47.985718
74.36764,125,48.069315
281.69147,250,48.577241
29.113201,144,48.679898
311.3448,250,49.237839
380.94873,250,49.704203
245.20302,250,49.957
286.84244,250,50.108708
86.75071,164,50.229678
392.27597,250,50.502794
373.34598,250,50.987281
300.37155,250,51.01651
309.7046,250,51.087169
-48.401215,52,51.430943
158.45131,229,51.4591
204.11519,230,51.497957
21.651217,110,51.589913
-53.37682,47,52.056346
316.3167,250,52.18122
51.127777,139,55.457701
332.74872,250,56.020258
159.25183,245,56.354103
311.707,250,56.572217
285.27875,250,57.169015
218.41931,250,57.892377
254.88432,250,58.175435
304.72168,250,58.35119
186.9943,250,59.34107
203.45006,250,59.380972
327.97885,250,59.811011
324.142,250,59.846389
265.73422,250,59.868605
232.07904,250,59.955356
117.96669,242,60.146796
266.3331,250,60.706214
-35.795193,47,61.835842
245.0172,250,64.532123
312.31927,250,65.244992
328.55765,250,65.611316
322.58035,250,65.849125
387.4248,250,66.41221
90.24887,140,66.562482
340.85104,250,67.01422
296.83203,250,67.146075
326.57455,250,67.267437
276.9594,250,68.063254
279.633,250,68.114875
365.0241,250,68.720935
291.3376,250,68.77016
336.85147,250,68.91832
249.16191,250,69.147937
355.94943,250,69.677492
354.00076,250,73.325697
414.21063,250,73.899717
451.28052,250,74.232506
323.01703,250,74.484437
323.21375,250,75.018544
401.53665,250,75.191263
323.9847,250,75.674048
368.85287,250,75.825331
360.7215,250,75.944628
177.15324,194,76.035342
292.83203,250,76.625322
332.5437,250,76.666862
361.52637,250,77.132334
300.34808,250,77.174892
328.41162,250,77.3212
300.18085,250,77.499482
33.396957,135,80.228544
358.99484,250,81.613908
304.71555,250,82.245187
246.19255,250,82.599436
299.6004,250,82.8632
330.37842,250,83.573211
382.814,250,83.783819
236.3443,250,84.545976
150.4292,213,84.787088
370.97528,250,84.787088
387.7954,250,84.960174
335.38934,250,85.96303
366.48587,250,86.0177
303.1624,250,86.553589
325.74667,250,86.663414
291.27414,250,86.837144
329.64987,250,89.694088
130.68648,243,91.125459
62.55203,136,91.159377
131.45253,226,91.208256
346.6329,250,92.343313
315.98062,250,92.68311
-35.676556,56,93.411921
418.26514,250,93.718357
303.48117,250,94.046812
304.97586,250,95.226583
427.15146,250,95.533373
374.18185,250,95.533373
343.27942,250,95.689293
365.44574,250,96.823376
298.60278,250,97.489479
254.64561,250,97.672276
348.93283,250,97.813769
-26.131603,103,99.942949
362.88382,250,100.822953
366.872,250,101.973525
329.8363,250,102.041716
250.13347,250,103.141534
353.17078,250,103.389961
376.3821,250,103.773149
401.12634,250,103.970198
388.57028,250,104.136406
326.1722,250,104.788107
403.96667,250,104.927796
430.3091,250,105.040032
282.06683,250,105.712409
304.00183,250,106.172764
279.0685,250,106.323988
366.97232,250,106.498574
400.0169,250,108.442881
315.80515,250,109.305671
380.1429,250,110.51964
374.38544,250,110.603999
392.08582,250,111.979062
268.7205,250,112.247441
334.99744,250,112.66521
289.43695,250,112.880049
384.46533,250,113.080256
417.81696,250,113.797702
268.2356,250,113.955126
386.0923,250,114.063672
452.1883,250,114.770659
385.2905,250,115.229118
391.9146,250,115.349631
364.4251,250,115.505605
375.12067,250,117.317824
386.11133,250,118.068913
410.35138,250,119.067067
411.88364,250,119.150127
300.09265,250,120.390651
374.31454,250,120.659366
409.8492,250,121.050399
370.6732,250,121.234848
353.69766,250,121.388482
366.21548,250,122.068654
357.0183,250,122.203615
321.8363,250,122.290514
403.99786,250,122.945803
355.99072,250,123.409788
362.34827,250,123.54213
379.15616,250,123.710441
273.94446,250,125.632205
364.94275,250,126.506028
387.42694,250,127.997026
425.8242,250,128.118303
360.0273,250,130.269889
-64.8987,38,130.337261
286.4789,250,130.674398
359.57935,250,131.165968
323.64038,250,131.420134
420.2185,250,131.622052
-160.60326,39,131.950779
411.11945,250,132.344354
370.25342,250,132.536514
300.0803,250,132.647543
256.50894,250,133.418272
357.64346,250,133.904624
312.02054,250,134.036142
403.76093,250,134.196777
68.153755,123,135.978493
384.45,250,136.27172
375.5551,250,137.048363
169.55719,203,138.010787
454.12408,250,138.793237
144.86847,226,140.177337
293.07593,250,140.603638
271.65326,250,141.717882
225.2992,250,142.152262
280.92438,250,142.554261
305.08032,250,142.679695
215.83153,250,142.787854
268.14093,250,143.612368
345.25827,250,144.192783
384.34436,250,144.362967
420.23456,250,144.557993
406.87946,250,146.034881
407.13394,250,146.339254
393.51273,250,147.084804
361.2041,250,147.819925
433.04883,250,148.249743
336.71494,250,149.291174
329.48642,250,149.673831
346.07974,250,150.423842
422.6185,250,150.790916
400.38635,250,151.122184
346.89044,250,151.253015
262.67868,250,151.362202
348.509,250,151.961134
365.8368,250,152.361545
437.88156,250,152.473248
356.7346,250,152.616897
250.20839,250,154.142123
318.66666,250,154.464236
307.6773,250,155.194679
385.7699,250,155.943209
278.3784,250,156.351818
263.6704,250,157.517107
266.35812,250,158.002824
386.0068,250,158.842094
269.5218,250,159.213827
357.49924,250,159.640242
399.73117,250,159.784091
339.67896,250,159.893011
388.80814,250,160.616468
358.5781,250,161.086286
342.5186,250,161.21822
347.345,250,161.423465
329.46762,250,163.06781
299.2208,250,163.411075
309.54465,250,164.224291
317.3472,250,165.409107
420.5407,250,165.973041
194.57059,250,167.116821
237.23402,250,167.564328
432.88474,250,168.330603
131.64975,250,168.622985
424.07428,250,168.968518
377.1903,250,169.104418
400.4915,250,169.202505
382.5037,250,169.804069
399.61084,250,170.439528
376.64017,250,170.657463
450.20926,250,170.91975
366.99094,250,173.021927
281.58298,250,173.623377
344.35904,250,175.135522
249.70412,250,176.1994
265.60367,250,176.602682
391.87424,250,178.022513
422.93314,250,178.791867
448.39322,250,179.85353
179.2788,250,180.324762
315.80545,250,181.008208
342.68808,250,181.194273
429.89737,250,181.358436
271.29333,250,182.138822
389.11786,250,182.564584
416.60165,250,182.725623
325.0427,250,182.926677
323.8438,250,184.606398
351.85443,250,184.919163
400.112,250,185.626795
397.0739,250,186.402228
398.12488,250,186.831234
376.86417,250,188.044142
358.2344,250,188.577071
446.4422,250,189.715182
385.7622,250,190.127114
388.81122,250,190.635906
354.77167,250,190.784476
399.56857,250,190.921027
337.57938,250,192.048355
342.5167,250,192.999985
263.9817,250,193.190902
335.7161,250,193.418431
-58.73932,47,195.724201
378.7441,250,195.724201
393.34134,250,196.028271
319.5566,250,196.812585
216.5864,250,197.474868
366.28296,250,197.99163
393.88913,250,199.221134
354.7775,250,199.675677
345.63373,250,200.69233
285.77014,250,201.041393
345.0228,250,201.428153
356.10645,250,201.58011
376.14423,250,201.667054
273.20358,250,202.334094
334.58545,250,202.86055
346.75656,250,203.029989
-46.834095,48,203.290096
262.91727,250,205.018849
316.41068,250,205.018849
350.05746,250,205.491103
349.61963,250,206.618042
240.65605,250,207.409515
254.35614,250,207.84027
386.06128,250,208.779245
332.1874,250,209.124285
97.9469,201,209.82868
319.7528,250,209.867539
-47.180485,70,210.003208
104.40008,235,210.039121
368.0537,250,210.154194
301.93503,250,210.799999
235.35938,250,211.970951
455.03784,250,212.088292
256.06512,250,212.295176
-25.691702,89,213.076937
-62.742302,40,213.670943
405.00452,250,213.848037
249.99295,250,213.848037
5.55244,93,213.897511
407.4248,250,214.138937
22.30076,128,214.175424
392.99966,250,214.846255
357.33932,250,215.573879
408.1093,250,217.013151
406.39572,250,217.395323
351.70248,250,218.033198
311.2455,250,218.185982
233.74931,250,218.3448
397.8766,250,219.929574
269.26932,250,220.064338
373.14624,250,220.939624
337.97992,250,221.576466
266.26025,250,221.789023
370.96555,250,221.789023
368.04453,250,221.865929
390.54233,250,222.122624
358.24402,250,222.154265
305.42596,250,222.929226
391.73126,250,223.844157
374.78577,250,225.443656
336.18713,250,225.841941
312.66824,250,226.538042
353.62384,250,226.696792
312.51547,250,226.856743
