#{"t_start": 1685045609.2179854, "env_id": null}
r,l,t
3.747964,96,2.561313
2.9796863,106,2.883104
65.542145,129,3.646731
91.95531,169,5.090448
-66.74721,42,5.1492
376.0622,250,8.051751
259.95865,250,8.051751
372.0551,250,8.051751
348.08923,250,8.051751
273.74094,250,8.051751
297.10242,250,8.051751
263.69797,250,8.051751
213.0995,250,8.051751
292.79205,250,8.051751
215.51707,250,8.051751
293.36047,250,8.051751
232.06213,250,8.051751
148.13486,182,8.92393
-61.61981,41,9.386797
99.22465,190,9.563783
-6.2356524,86,11.777045
79.84905,123,12.063732
311.438,250,14.069345
368.7875,250,14.157361
121.9897,171,14.157361
-89.70806,28,15.492463
352.88846,250,17.345389
345.4486,250,17.345389
202.8289,250,17.345389
240.67815,250,17.345389
308.4898,250,17.345389
199.49236,250,17.345389
294.3391,250,17.345389
297.31833,250,17.345389
301.0985,250,17.345389
-69.411316,33,18.392521
300.7263,250,18.630446
-59.602,45,18.757236
325.31,250,18.796473
-66.669235,45,20.184497
150.67523,250,21.114408
-45.89165,75,21.344427
174.8633,250,21.472378
435.1356,250,23.001213
275.53445,250,23.084793
156.7227,250,24.445434
235.9851,250,27.42352
268.65445,250,27.42452
288.30252,250,27.42452
250.02945,250,27.42452
267.5684,250,27.42452
304.99265,250,27.42452
369.5917,250,27.42452
277.36884,250,28.943182
241.7312,250,29.456787
-42.423447,58,29.836889
82.70058,189,29.890101
97.00729,230,30.11804
-69.00922,36,30.995287
-12.300951,97,31.067755
65.638535,179,31.092938
186.49075,250,31.576985
7.986501,120,31.742279
241.23444,250,31.846284
-2.6902995,92,33.323812
191.5048,250,33.82145
282.9248,250,34.837417
-57.466038,79,36.643588
224.92743,250,36.644586
267.32132,250,36.644586
351.6718,250,36.644586
263.3174,250,36.644586
204.26257,250,37.865911
154.00285,237,38.296293
280.77573,250,38.32115
-57.323593,51,38.483675
-75.49364,41,39.531539
339.3522,250,39.8056
208.56761,250,39.862142
401.735,250,39.905572
-38.53622,67,39.973724
275.7687,250,40.429279
251.39555,250,40.69063
240.13326,250,40.790598
-81.05096,29,40.829498
11.549684,84,41.647301
243.6697,250,43.004223
81.54843,168,43.308319
149.13821,250,44.289929
215.44566,250,45.922778
290.00092,250,45.922778
254.13762,250,45.922778
71.31606,168,46.068328
339.10294,250,47.616735
128.9996,218,48.793487
250.77809,250,49.217242
256.6524,250,49.259005
335.98758,250,49.326474
223.7841,250,49.943742
213.45876,250,50.018728
119.847015,250,50.061322
286.85782,250,50.403045
-68.88246,52,50.933047
305.06366,250,51.247638
193.7781,250,51.70039
277.45926,250,52.970578
-20.63336,91,53.54952
322.27856,250,54.870059
227.71619,250,54.870059
325.5788,250,54.870059
312.03864,250,54.98917
-21.812033,74,55.54852
264.73358,250,56.280109
-9.310492,108,57.108776
328.00125,250,57.435565
314.09857,250,57.880468
248.05249,250,57.97579
58.977966,191,58.278466
304.50488,250,58.630284
296.13474,250,58.75095
332.3368,250,59.074187
232.66743,250,59.517575
291.19794,250,59.748847
292.77267,250,62.530521
290.93152,250,62.530521
279.4132,250,62.530521
270.92392,250,62.662328
257.75705,250,63.208053
357.57034,250,63.863519
202.825,250,64.620646
489.9808,250,64.901847
274.62827,250,65.335766
147.496,250,65.433824
140.70143,250,65.687346
223.151,250,66.030356
305.55685,250,66.148224
282.77322,250,66.463544
24.94962,145,66.757613
226.54855,250,66.907112
260.75912,250,67.16855
-58.13697,50,67.203918
-57.176304,51,67.638883
-34.45059,136,68.002187
-72.61465,34,68.374434
-42.387505,68,69.040025
-20.647274,102,69.835752
-11.571787,85,70.035739
248.2568,250,70.258466
186.01883,250,70.258466
189.104,250,70.387859
359.52725,250,70.945084
91.112526,184,71.17691
20.308685,191,72.17434
-21.79803,70,72.327136
177.73355,250,72.398039
322.83606,250,72.690597
193.48483,250,73.242826
19.537058,124,73.738688
16.898409,114,74.602632
386.06613,250,74.763442
