#{"t_start": 1685127558.8524022, "env_id": null}
r,l,t
-79.94599,28,0.665923
-78.29494,30,0.741759
-73.71812,36,0.982148
-82.8916,43,1.257653
-55.331127,53,1.900548
-54.960434,55,2.041813
-59.321873,55,2.04281
-50.969933,58,2.209586
-36.621964,60,2.306661
-44.931988,69,2.719498
-44.203236,73,2.926686
-39.960823,75,3.0347
-16.34424,76,3.08916
-42.76686,77,3.137044
-32.373756,84,3.486106
-13.52204,86,3.59416
-48.470875,68,4.087576
-47.05179,69,4.237605
-50.35921,60,5.024149
-60.08556,72,5.024798
-77.6573,30,5.068087
-74.30898,34,5.167767
-65.90979,43,5.223314
-23.80425,85,5.33875
-65.76022,45,5.439463
-52.626076,63,5.506643
-53.4432,71,5.5719
-71.43527,29,5.61694
-63.750835,52,5.736132
-46.291203,55,5.808266
-75.4947,31,5.925668
-89.28679,21,6.3676
-43.459377,68,6.3676
-85.0737,24,6.511714
-33.84053,88,6.906962
-77.50544,28,6.906962
-83.61065,21,6.989755
-84.55231,19,7.108422
-74.30622,32,7.495266
-5.5348344,96,7.555647
-72.12422,31,7.655909
-72.134796,38,7.709982
-89.48662,22,7.790664
-84.902176,19,7.934772
-66.36333,44,7.934772
-67.07305,35,7.978153
-73.150955,33,7.978153
-65.62639,41,7.978153
-79.50578,25,8.021482
-61.57518,46,8.279342
-63.424397,26,8.279342
-68.782814,28,8.327663
-70.58102,35,8.374447
-78.42583,20,8.594933
-79.72711,23,8.594933
-84.10641,20,8.669914
-67.24868,35,8.751322
-79.977005,20,8.789903
-68.55382,42,9.346365
-73.24604,33,9.390792
-59.07575,41,9.428965
-64.15329,37,9.512189
-81.826096,22,9.512189
-75.138985,37,9.549087
-81.84461,36,9.549087
-76.98538,22,9.583801
-71.05837,32,9.6668
-76.93156,33,9.6668
-66.193954,34,9.79239
-79.2104,25,9.837135
-69.58081,28,9.921716
-64.92452,47,9.970205
-66.86891,36,10.096596
-83.03252,21,10.301691
-61.017494,50,10.388321
-94.32676,26,10.565868
-84.55069,19,10.565868
-81.14977,24,10.646418
-61.190483,32,10.646418
-83.67329,20,10.646418
-77.603294,27,10.685183
-80.95176,22,10.846529
-62.58233,39,11.18872
-76.34388,30,11.189718
-67.7166,41,11.24978
-50.792336,41,11.30264
-79.98511,23,11.30264
-74.34521,19,11.439856
-62.901157,42,11.496948
-93.74556,25,11.497945
-81.623276,21,11.634398
-66.16446,55,11.772943
-89.57151,16,11.97838
-147.51086,44,12.063335
-82.671745,21,12.204058
-68.73534,34,12.265345
-76.45977,36,12.34532
-76.1279,28,12.632983
-60.398724,42,12.676064
-80.54089,24,12.760115
-61.282383,41,12.809491
-76.5663,28,12.809491
-59.06028,36,12.975125
-67.05541,33,13.02997
-23.42109,57,13.214856
-79.85802,21,13.214856
-77.15241,27,13.214856
-73.003525,32,13.263066
-70.42322,44,13.305997
-57.9208,41,13.353932
-75.99755,29,13.408818
-72.72783,31,13.644844
-76.21805,28,13.963196
-85.982544,17,14.105849
-75.04467,30,14.270731
-83.2947,41,14.331745
-73.96107,34,14.497927
-74.83997,30,14.497927
-72.35671,33,14.851925
-61.74417,38,14.907796
-68.6568,38,15.174671
-78.541374,29,15.352536
-76.87487,27,15.393459
-86.87339,24,15.57257
-77.13616,27,15.573567
-181.09044,25,15.608981
-48.80243,50,15.608981
-55.67673,53,15.858207
-49.40464,58,15.941333
-76.76928,26,15.999168
-70.90311,39,16.038563
-81.23179,27,16.075839
-84.26984,19,16.400401
-72.64761,31,16.658726
-72.86987,34,16.818542
-64.277596,41,16.898257
-66.36764,37,17.127929
-69.0249,41,17.245954
-79.07167,35,17.285596
-63.940296,33,17.412921
-15.101014,107,17.540092
-64.030495,48,17.540092
-70.31905,38,17.540092
-81.22396,24,17.643036
-21.496761,98,17.793398
-57.56125,45,17.836791
-65.63788,38,18.026736
-59.138607,47,18.026736
26.51266,122,18.16532
-4.3630877,104,18.308833
-64.26179,37,18.531991
-80.20697,26,18.586985
-82.99585,21,18.641184
-74.67077,24,18.833384
-71.639755,41,18.891856
-80.97383,33,18.953569
-169.79637,38,19.059785
-71.465645,26,19.299798
-77.505,33,19.447777
-82.013336,21,19.680508
-76.24734,41,19.957518
-60.119972,37,20.118892
-78.25525,25,20.153295
-84.47897,20,20.199772
-46.76997,57,20.278891
-70.273605,35,20.515744
-71.26547,35,20.644743
-79.39002,29,20.688148
-82.673874,23,20.941553
-55.727818,53,21.159278
-30.74747,53,21.343977
-79.129944,28,21.438401
-49.944645,73,21.637446
-8.417788,75,22.003751
-4.805583,95,22.17734
-67.646904,46,22.304811
-59.95403,53,22.917696
-62.76751,41,22.97398
-31.769724,69,23.215902
-62.88901,41,23.279881
-46.85772,67,23.344547
41.802933,133,24.391513
-63.04484,50,24.597807
31.359968,132,24.808634
-31.153309,89,25.011507
-36.99922,68,25.054471
-77.77973,46,25.318489
-15.14269,101,25.318489
24.958712,127,25.40373
-23.346317,90,25.40373
-31.723791,62,25.734327
-47.611427,61,25.734327
-14.4035,112,25.734327
-74.522835,35,26.062914
11.459753,94,26.313056
-24.27014,69,26.357342
-45.73156,71,26.395877
-81.722565,26,26.395877
-79.73718,28,26.562546
11.4221325,112,26.562546
-74.98926,38,26.598764
-53.100266,66,28.263724
-41.97562,64,29.29682
-44.927383,61,29.378139
8.93403,118,29.65277
-15.457275,112,29.841311
-38.72173,82,30.202115
-86.440735,23,30.482595
16.238007,116,30.614304
-79.68882,26,30.66554
-16.475954,93,30.75335
-59.75459,51,30.761376
28.788252,126,30.801784
32.443848,114,30.971555
-4.7341757,119,31.188886
24.392847,121,31.29087
-62.545452,39,31.481152
-123.398224,106,31.57044
-67.595665,43,31.814763
-1.2583393,120,31.851842
-3.9602907,118,32.028835
-43.864056,43,32.113415
-70.73068,36,32.251795
-71.59162,35,32.300551
12.402703,137,32.360875
-69.712204,25,32.408966
-56.763744,47,32.57799
-80.083595,28,32.708656
-58.296165,50,32.827096
-67.93117,44,33.10056
-76.30918,29,33.549563
-74.671684,31,33.593323
-61.47302,41,33.740254
-36.43566,65,33.740254
-68.40014,47,33.817595
-24.979877,76,33.982287
-58.1021,36,34.034906
-32.73112,46,34.167257
-71.71241,37,34.205146
-40.85982,65,34.286003
-49.63534,50,34.436245
-24.593945,89,34.561703
-86.60874,20,34.561703
-45.250916,47,34.72532
-27.154243,63,34.72532
-79.9718,23,34.768224
-75.6893,26,34.814307
-84.55275,16,34.814307
-64.84378,38,35.090104
-76.84216,28,35.148834
-71.775925,50,35.149831
-79.144646,33,35.384954
-25.634369,91,35.57778
-77.92116,29,35.953344
-73.398994,36,35.991925
-65.82946,44,36.200144
-77.17107,30,36.320738
-90.83839,39,36.36799
-66.87494,45,36.36799
-45.088875,56,36.462656
-72.87749,42,36.462656
-85.33203,19,36.743682
-63.054993,53,36.869809
-21.075983,82,36.918765
-33.65085,68,37.031533
-73.38592,26,37.070718
-81.08102,18,37.119499
-34.435387,50,37.119499
-78.99323,24,37.191815
-129.04149,65,37.366752
-38.198647,65,37.760126
-65.70043,41,38.103444
-81.742325,26,38.145325
-66.15513,39,38.306242
-84.01135,25,38.358677
-73.405205,35,38.443212
-76.3014,31,38.443212
-39.28431,78,38.519093
-39.317,73,38.519093
-84.60734,21,38.605221
-79.330444,62,38.8834
-29.233128,70,39.159101
1.8936483,83,39.786537
-68.24383,36,39.959986
-64.22191,41,39.959986
-66.61313,40,39.959986
-38.736916,73,39.998576
-43.565407,81,40.12081
-74.80596,24,40.12081
-38.900623,76,40.158988
-50.468754,52,40.248637
-33.378223,55,40.332906
-44.936726,49,40.414856
-33.3639,90,40.528609
-61.538826,49,40.568011
-24.5995,53,40.568011
-73.70996,25,40.964807
-60.27406,61,40.964807
-85.88835,16,41.220014
-71.50672,25,41.266865
-48.106808,59,41.266865
-60.26697,38,41.492404
-54.551426,46,41.724512
-58.21284,38,41.724512
-72.39338,43,41.769546
-69.90155,28,41.769546
-77.190674,33,41.811532
-172.96478,31,41.857012
-48.306625,42,42.098724
-68.057495,27,42.135518
-41.762825,54,42.259411
-80.228264,25,42.340222
-60.46873,53,42.378603
-74.919464,28,42.420563
-64.43188,36,42.503192
-84.0554,26,42.632224
-188.91693,23,42.772383
-70.662575,40,42.941369
-41.879765,69,42.986323
-85.09791,24,43.071017
-65.1787,37,43.303238
-77.07352,24,43.679018
-55.50601,50,43.925082
-71.532974,37,43.979868
-49.910095,37,44.158278
-41.90265,50,44.337401
-69.347336,40,44.783285
-78.24584,30,45.052724
-33.231422,65,45.14207
-25.942678,78,45.14207
-58.697037,49,45.329898
-30.33024,71,45.583103
-47.81946,61,45.583103
-40.786594,56,45.583103
-28.511105,89,45.773835
-36.350086,74,45.774353
-68.60506,41,45.884221
-53.35892,45,46.024786
-11.984163,99,46.176774
-41.44577,78,46.975157
-57.91657,48,47.078017
-72.7937,35,47.250603
-46.774166,62,47.251603
-58.144863,45,47.288697
-84.62897,35,47.427059
-36.50652,70,47.427059
-74.33577,37,47.592411
-74.17062,36,47.797059
-170.14522,42,47.93107
-68.30629,51,47.93107
-44.961674,63,47.972588
-49.609158,63,48.053679
-48.59779,58,48.220737
-85.100136,27,48.220737
-75.229126,55,48.277128
-25.200708,64,48.277128
-79.3566,26,48.354017
-81.162285,19,48.588028
-83.748184,32,48.765835
-72.02914,38,48.852727
-31.499153,48,49.02299
-84.98592,21,49.156208
-48.456154,44,49.278075
-83.60281,22,49.278075
-60.84549,53,49.51666
-71.63479,41,49.68869
-58.509506,36,49.722591
-68.24998,41,49.759755
-70.56817,31,49.889816
-55.102318,56,49.926487
-77.37406,29,49.967891
-63.046715,43,50.014942
-88.92078,22,50.055151
-83.42909,26,50.096417
-61.726665,52,50.096417
-69.53171,31,50.129349
-59.122097,54,50.163438
-64.26678,54,50.472674
-73.39301,26,50.717986
-72.307755,42,50.978737
-80.46766,26,51.031618
-69.50877,49,51.311235
-76.17729,30,51.361794
-69.78932,29,51.361794
-46.523365,50,51.596863
-51.58913,50,51.784537
-58.914585,51,51.978068
-65.27434,49,52.056959
-60.050346,58,52.137808
-38.825775,61,52.416991
-45.905205,59,52.416991
-58.571774,41,52.416991
-75.06267,34,52.416991
-82.84527,29,52.493033
-65.25019,44,52.763973
-70.23461,30,52.763973
-58.783203,57,52.809839
-61.95024,37,52.809839
-49.598236,69,52.97274
-28.273024,78,53.265846
-85.77749,32,53.420425
-79.97461,27,53.583607
-82.83622,22,53.660872
-41.75937,59,53.660872
-80.15322,25,53.956112
-42.968983,52,54.005003
-58.463264,45,54.005003
-84.48221,20,54.28952
-67.44941,41,54.28952
-64.90753,42,54.339005
-72.22884,55,54.448456
-59.8967,45,55.249412
-61.837456,61,55.358351
-67.07722,33,55.419734
-70.40488,37,55.720208
