#{"t_start": 1685791511.0798254, "env_id": null}
r,l,t
-75.03843,34,0.531023
-60.4187,35,0.552169
-65.41131,41,0.693166
-67.131874,43,0.74255
-75.338104,44,0.762631
-45.109024,48,0.873358
-50.5018,57,1.104821
-46.574783,59,1.155565
-57.265503,60,1.176139
-36.135265,60,1.176139
-56.571785,62,1.235556
-46.39619,71,1.447608
-54.725437,75,1.556278
-42.54112,79,1.660234
-59.900154,53,1.87148
-68.774445,44,2.002376
-42.7369,103,2.270775
-79.75224,45,2.302955
-59.56145,49,2.431919
-62.602215,51,2.534616
-12.289884,84,2.68574
-17.305712,82,2.776572
-63.3422,46,2.836872
-54.795517,56,2.897303
-32.12127,84,2.9275
-35.99593,72,2.947683
-65.15781,42,2.947683
-56.826496,55,2.978983
-31.294403,88,3.00912
-51.323563,138,3.170862
-71.471756,39,3.299745
-13.884953,84,3.319886
-73.669044,35,3.319886
-57.90637,53,3.348023
-65.3356,43,3.37831
-73.58647,30,3.602231
-54.776016,32,3.602231
-80.28918,28,3.682642
-58.902367,40,3.713213
-82.346695,31,3.741336
-73.90551,34,3.763453
-50.585537,54,3.915401
-73.74861,44,4.035183
-85.03345,31,4.095479
-68.955605,40,4.194099
-69.23091,51,4.286741
-50.370197,54,4.306909
-65.57204,43,4.415576
-85.28575,44,4.438739
-83.244125,36,4.519369
-57.217384,52,4.689886
-53.557552,54,4.728395
-53.80887,51,4.90166
-70.81464,50,5.002139
-74.24353,35,5.080607
-67.20297,42,5.103748
-80.735916,26,5.173081
-78.39873,29,5.173081
-65.98714,42,5.376507
-51.006016,59,5.405204
-52.98827,53,5.435471
-20.684454,69,5.504221
-25.685768,72,5.527599
-68.44006,33,5.55683
-61.775234,53,5.625457
-35.97055,78,5.64759
-79.27899,22,5.940029
-46.9626,53,6.03066
-46.747173,48,6.200585
-64.43393,45,6.290068
-67.96603,35,6.424011
-77.22278,50,6.424011
-53.15566,46,6.652457
-58.840057,64,6.694679
-16.559607,96,6.825469
-73.90296,33,6.85604
-77.187325,30,6.946564
-34.90145,76,6.966672
-61.36542,83,6.966672
-53.520058,43,7.007911
-28.646246,65,7.027007
-81.08468,25,7.057131
-37.05893,69,7.378955
-8.6285,78,7.409268
-35.35953,80,7.560251
-53.234608,51,7.611712
-57.327423,49,7.692225
-63.252766,40,7.74167
-41.612457,84,7.802146
-74.24612,34,7.953496
-73.31777,42,8.08422
-27.901068,54,8.386128
-28.990475,55,8.437008
-82.89094,41,8.437008
-63.688095,36,8.538393
-43.706738,66,8.538393
-55.74357,60,8.597787
-70.11229,52,8.78964
-48.088238,42,8.828398
-39.173027,70,8.828398
-46.13285,64,9.332976
-18.93085,94,9.442557
-55.883656,50,9.533249
16.82154,109,9.661745
-74.72123,40,9.661745
-88.890785,41,9.684155
-28.89545,71,9.775903
-64.74409,42,9.829975
-5.28401,75,9.945953
-20.805866,74,10.077233
-81.06547,27,10.229424
-49.364567,48,10.229424
-81.82423,66,10.349905
-70.65385,36,10.581483
-44.51645,69,10.6198
-75.46416,34,10.763717
-53.943672,70,10.893531
-62.8049,53,10.893531
-69.83621,29,11.044384
-76.752754,28,11.136003
-67.126884,48,11.185391
-10.786922,88,11.185391
-51.56397,54,11.185391
-6.0900617,84,11.266142
-56.91691,57,11.295496
-68.218025,41,11.36718
-61.768898,58,11.548918
-46.28629,71,11.6294
-56.541473,61,11.761613
-62.790348,47,11.851621
-73.02649,39,12.062846
-67.83766,43,12.252238
-56.060806,63,12.386702
-39.534683,68,12.386702
-32.28361,58,12.386702
-62.482502,44,12.493942
-61.40653,37,12.493942
-52.81529,53,12.626794
-75.95956,31,12.626794
-43.72336,61,12.748203
-53.165676,57,12.748203
-73.03633,31,12.850517
-79.44927,19,12.876655
-19.496613,78,12.898853
-83.67103,23,12.977018
-85.1145,20,12.999146
-37.670826,54,12.999146
-84.19789,20,12.999146
-58.033092,50,13.029359
-32.73196,74,13.079614
-18.534332,81,13.27265
-77.458725,25,13.27265
-78.84223,26,13.299789
-63.68559,35,13.299789
-50.849426,52,13.576612
-60.2041,31,13.775455
-67.8838,41,13.927716
-57.69635,33,13.95807
-68.312256,29,14.058892
-64.72485,44,14.169568
-60.71709,49,14.302303
-76.336205,31,14.402251
-60.647945,46,14.483314
-82.30138,26,14.483314
-61.473366,47,14.542102
-74.99208,31,14.753741
-79.72797,27,14.874934
-13.6278305,61,14.874934
-70.57558,40,15.126516
22.825848,93,15.207437
-12.789288,88,15.237093
-74.925156,36,15.266367
-77.43514,30,15.288464
-20.126678,87,15.317631
-11.35341,88,15.365949
6.8953323,99,15.48949
-55.96672,41,15.48949
2.120897,105,15.51663
-67.26139,44,15.657959
-75.906906,29,15.657959
-44.137928,76,16.03421
-52.61052,58,16.164618
-77.6243,47,16.225417
-78.067604,50,16.71912
-62.343468,51,16.842702
-49.732067,49,16.842702
-65.50664,46,16.941746
-23.762857,76,16.982
-44.552418,75,17.408889
-51.017464,62,17.449179
-58.51119,43,17.556937
-26.206154,74,17.592886
-22.521233,78,17.630087
-58.843044,52,17.730714
-76.19583,68,17.849247
-42.831043,51,17.889431
-34.959377,74,18.030616
-69.376884,34,18.083063
-14.264899,90,18.325179
-68.98345,43,18.325179
-80.41597,24,18.354423
17.236534,104,18.477298
-53.475822,56,18.628361
-56.433193,61,18.657459
-39.58353,58,18.688719
-56.285915,48,18.890037
-66.07423,43,19.038058
-73.86696,54,19.130434
-55.67617,43,19.160812
-67.71808,39,19.282169
-71.16283,39,19.513898
-69.18875,38,19.513898
-48.166958,68,19.646054
-79.832,21,19.646054
-44.452232,70,19.675235
-55.33716,60,19.675235
-68.31733,41,19.706438
-67.62354,38,19.79597
-76.0902,64,19.916784
-64.581764,46,19.975125
-57.22062,49,20.077961
-83.95367,22,20.098169
-71.34877,36,20.128451
-63.511868,48,20.257385
-32.32303,73,20.398364
-74.06627,34,20.552415
-55.93335,57,20.782817
-71.457664,36,20.843195
-68.08014,47,20.863288
-45.790047,66,20.923608
-73.77716,33,20.953703
-58.623814,46,21.165281
-51.831837,58,21.165281
-32.605225,65,21.357619
-71.30364,27,21.629883
-54.79761,58,21.629883
-77.108025,31,21.679301
-49.382885,49,21.679301
-33.43076,88,21.810234
-32.36222,58,22.063117
-64.26992,48,22.092329
-12.44612,88,22.092329
-45.324955,95,22.173074
-41.61934,83,22.224389
-24.327227,83,22.394191
-55.769707,59,22.483102
-52.08182,62,22.767572
-75.450485,31,22.897935
-59.46559,54,23.030186
-57.81052,54,23.030186
-41.605324,83,23.331542
-1.1666176,76,23.36201
-8.412811,102,23.462867
-55.98368,57,23.593714
-47.0823,74,23.997946
-37.830482,81,24.258583
-34.28629,70,24.572893
-23.351843,93,24.82273
4.406968,121,24.82273
-39.47144,121,24.984418
-14.444035,108,25.384424
-22.005873,94,25.595975
64.8154,147,25.628125
-5.7878957,100,25.782034
3.8014014,132,25.835254
-17.240587,65,25.869749
-28.216572,84,25.972489
-5.997108,111,26.004731
22.980232,102,26.23362
-2.461806,99,26.264027
-30.535994,71,26.385739
-43.9257,108,26.385739
-49.99732,72,26.758729
-38.728657,64,26.78769
-90.415054,38,26.78769
-44.57312,39,27.067642
-58.481422,48,27.16038
-43.95877,66,27.775166
-53.68232,48,27.976876
-59.728153,48,27.996972
-54.042515,64,28.047573
-38.129078,70,28.067757
-37.452538,73,28.169497
-69.18195,45,28.209296
-1.0048229,116,28.238937
-25.482155,92,28.310457
7.284831,126,28.369874
-16.266472,94,28.398029
-56.30645,51,28.470348
-47.075375,67,28.490437
-29.491253,117,28.601802
3.9447389,115,28.722775
-71.29637,39,29.497114
-56.972298,58,29.499131
-47.000122,60,29.630323
-35.85301,79,29.811848
-58.8966,64,29.842014
-48.65775,71,30.235666
-50.453636,103,30.607469
-45.04056,76,30.668073
-69.37484,89,30.748502
-41.913845,100,30.798939
47.01519,174,30.87997
0.3919385,118,31.118863
-3.7490041,113,31.141499
-28.97737,100,31.191386
-7.2361364,112,31.221721
-25.700397,69,31.292288
23.65429,120,31.473981
-17.114033,77,31.494077
-50.355396,80,31.918612
-58.97134,76,32.19967
-27.759295,99,32.371046
-12.9564495,117,32.643248
-41.674408,81,32.855575
-59.74764,66,32.905142
-25.866808,89,32.936396
-34.714478,81,32.98572
-54.93774,58,32.98572
-20.455051,94,33.116461
-50.237156,65,33.137662
-26.548822,79,33.166871
-42.064625,79,33.308344
-76.46414,59,33.420168
-64.13133,102,33.449328
-68.41184,49,33.64206
