#{"t_start": 1685784358.665668, "env_id": null}
r,l,t
-76.27157,28,0.425762
-73.86817,35,0.650959
-82.67908,35,0.650959
-73.215,36,0.686578
-72.20644,37,0.726591
-73.020935,38,0.764184
-64.45318,51,1.109998
-74.64444,51,1.109998
-58.045284,52,1.141239
-36.143543,56,1.239648
-56.317944,62,1.393676
-71.27779,27,1.432768
-38.323303,63,1.432768
-77.17461,29,1.448403
-44.451134,65,1.491206
-47.91929,67,1.539232
-73.31481,35,1.658905
-3.9646313,75,1.721396
-60.30848,42,1.781459
-42.018036,77,1.781459
-69.23769,40,1.81467
-78.47006,24,1.876192
-82.15009,20,1.948909
-49.827286,55,1.959419
-63.369045,36,2.042806
-69.889656,36,2.075065
-81.17504,26,2.123987
-76.13435,27,2.123987
-61.410744,40,2.147917
-71.09715,29,2.147917
-79.66284,24,2.147917
-87.92629,18,2.198707
-64.53878,32,2.307736
-85.311295,21,2.340055
-70.527214,26,2.340055
-82.28261,19,2.359701
-68.28027,25,2.439633
-78.270195,24,2.439633
-85.14883,17,2.481932
-84.486275,22,2.695156
-70.28509,29,2.695156
-84.612724,18,2.823982
-65.950554,31,2.88235
-63.624252,39,2.976862
-75.5548,33,3.085565
-79.55955,28,3.085565
-70.133125,26,3.201652
-58.795403,54,4.33253
-31.292248,82,4.371762
-25.76606,87,4.493298
-30.710337,80,4.513415
-29.348318,80,4.611999
-24.818277,92,4.646055
-26.822138,86,4.646055
-45.459206,55,4.694538
-30.495625,85,4.744892
-38.362537,76,4.775068
-85.19913,19,4.873355
-33.340626,71,5.027073
-28.641996,73,5.087808
-9.454926,110,5.148042
-69.95694,27,5.500499
-61.20289,48,5.960664
2.7021666,111,5.960664
0.46631575,110,6.010559
-81.34152,23,6.086022
-56.21309,52,6.086022
-58.898933,43,6.086022
-71.09256,38,6.195172
-74.4125,40,6.195172
-53.610664,70,6.250277
-51.409447,59,6.279419
-28.23973,84,6.773879
-48.188656,67,6.832366
-73.378044,36,7.124211
-33.587097,91,7.206673
-36.850506,90,7.206673
-66.49293,53,7.51884
-74.85035,29,7.612116
-20.06916,116,7.679803
-66.983574,56,7.742592
-50.71279,64,8.052384
-70.816284,47,8.201298
-81.531586,23,8.749237
-63.23661,40,8.937914
-66.327415,45,8.970286
-34.01509,96,9.002503
-18.53904,103,9.038813
-13.419992,108,9.040833
-13.806384,107,9.071264
