#{"t_start": 1685785767.1745842, "env_id": null}
r,l,t
-68.36097,32,0.673077
-67.90257,44,1.078102
-49.3449,47,1.17825
-65.84285,50,1.263024
-51.9768,55,1.429031
-55.343937,58,1.541627
-40.91839,64,1.736255
-71.507286,69,1.894452
-49.241043,70,1.935585
-45.38005,73,2.041842
-14.635078,78,2.210722
-27.523508,84,2.39286
-15.687723,86,2.451816
-57.91241,88,2.506327
-64.49716,46,2.574313
-46.177097,96,2.77169
29.217745,103,2.991598
-76.29814,39,2.991598
-50.036957,51,3.082182
-27.975897,67,3.394753
-82.7769,36,3.536952
-42.06707,91,3.56787
-58.9366,53,3.56787
-51.259453,58,3.668847
-26.110422,87,3.877788
-51.27459,56,4.049714
-50.75973,54,4.096254
-65.7498,51,4.238596
-46.24347,59,4.299611
-38.763115,53,4.504056
-41.6735,55,4.631426
-16.521486,89,4.797885
-68.44579,42,4.854678
-78.6408,29,4.854678
-11.968756,97,4.885895
-60.282913,50,4.951131
-29.370937,75,5.138353
8.795896,123,5.223699
-51.951202,60,5.284298
-59.71522,55,5.439413
-77.67716,35,5.490557
-80.19142,26,5.619587
-59.604,47,5.619587
-83.02981,36,5.652845
-32.038204,83,5.750147
-73.30252,31,5.750147
-44.179993,65,5.952895
-13.766644,101,6.414276
-57.252007,47,6.555151
-63.427044,45,6.7074
-22.17993,90,6.736588
-47.317883,64,6.880999
-41.60301,70,6.880999
-64.241554,44,6.93837
-71.59937,49,7.017136
-48.057384,58,7.057306
-47.691105,55,7.29141
-67.27976,42,7.626388
-70.559006,38,7.896167
-65.21271,34,8.118503
1.2671334,103,8.238325
-7.175871,88,8.581884
-45.268036,65,8.771519
9.709502,112,8.99297
-69.41581,40,9.20805
2.139569,122,9.287829
-31.431078,78,9.348612
49.775257,153,9.408422
-27.530674,81,9.478939
-48.33266,77,9.660477
-85.97044,19,9.831526
0.776176,114,9.972361
-82.99892,31,10.237357
65.067696,186,10.237357
-12.768693,110,10.350109
-28.25471,94,10.437573
-63.3307,59,10.437573
-76.658714,30,10.684136
-59.4546,54,10.770526
-83.26012,26,10.949263
32.762608,148,11.248373
-13.101127,79,11.35561
-56.839645,46,11.503864
-13.375825,114,11.814539
-52.48647,55,11.901118
-26.570162,94,12.102339
-7.744224,112,12.132419
-65.39615,53,12.274915
-30.747677,66,12.31548
-55.24006,78,12.870456
-70.20689,32,12.990949
-22.353794,72,12.990949
-48.0377,63,13.046578
26.424467,177,13.242886
16.254366,130,13.273023
-43.675137,72,13.373689
-72.16539,33,13.828956
-59.493267,35,13.928521
-35.17546,81,13.979725
-54.345592,92,14.008054
-45.355873,50,14.157164
-36.119816,73,14.179358
-52.26635,49,14.229878
-28.249779,81,14.258013
-73.355804,30,14.582607
92.51392,235,14.6128
29.113562,174,14.683133
2.3118281,117,14.962657
-58.102913,72,15.085425
-70.84891,34,15.10552
-2.1917746,109,15.10552
-70.13728,44,15.74013
-43.430775,78,16.054683
-53.60189,58,16.174505
-4.7128286,116,16.290107
-41.024036,81,16.321276
-73.27245,95,16.527082
-53.626766,58,16.735738
-90.8149,35,16.762073
-80.7913,64,16.925421
-33.83087,77,17.114999
-13.830305,142,17.167858
-60.16837,111,17.191793
193.44792,250,17.217723
-54.18639,38,17.237352
-9.186734,117,17.393581
-51.89688,51,17.694006
-83.51283,24,17.810853
-96.51151,45,17.874499
-69.890076,44,17.874499
-78.945244,28,17.946239
6.462558,160,18.183476
