#{"t_start": 1686484470.3732607, "env_id": null}
r,l,t
-76.20734,41,1.750833
-62.85754,42,1.783296
-58.725666,46,1.962411
-56.378002,49,2.103883
-68.158104,49,2.103883
-49.489056,50,2.133078
-49.409187,51,2.190166
-44.285755,52,2.219683
-50.416172,54,2.307179
-45.367706,57,2.451194
-16.245451,62,2.662969
-74.05948,24,2.820831
-82.47031,19,2.820831
-28.189615,67,2.912389
-36.480446,67,2.912389
-20.79363,69,2.994509
-21.005077,72,3.119146
-80.987656,21,3.18591
-4.034511,74,3.222583
-70.47323,26,3.372903
-72.838615,30,3.454259
-63.36176,43,3.737807
-75.87632,27,4.013357
-46.13097,45,4.117063
-84.100494,22,4.117063
-67.48806,33,4.167877
-54.07206,50,4.379244
-69.750656,37,5.28977
-55.9095,53,5.452034
-46.808044,49,5.536881
-77.24658,29,5.592572
-19.862003,62,5.592572
-63.913303,37,5.670676
-37.565975,62,5.672761
-67.750946,37,5.672761
-52.444305,58,5.699071
-34.441586,67,5.699071
-59.97547,38,5.75963
-18.526999,76,5.75963
-53.60149,58,5.85072
-24.47247,82,5.884895
-19.539629,73,6.039728
-34.880802,51,6.188509
-70.681854,21,6.188509
-90.09042,20,6.302287
-79.27008,17,6.378879
-73.10388,25,6.618105
-86.09921,21,6.764774
-78.603165,24,6.764774
-73.74501,27,6.796447
-75.62286,24,6.844474
-74.45283,31,6.844474
-77.85607,28,6.935872
-65.79206,33,7.085858
-62.04983,33,7.085858
-58.070953,37,7.122252
-60.686474,37,7.197083
-85.90212,21,7.256389
-70.223915,29,7.361971
-73.86557,27,7.408707
-85.585556,16,7.496058
-57.88008,38,7.613495
-75.51958,24,7.613495
-54.73418,37,7.70065
-80.45027,21,7.946497
-73.206345,29,7.946497
-69.630615,26,8.165098
-83.14027,18,8.358969
-89.553406,18,8.358969
-60.15181,40,8.406341
-66.23627,40,8.493677
-61.907017,48,8.938921
-68.12888,38,8.96586
-32.7134,93,10.63845
247.02518,250,17.269191
217.99867,250,17.357693
233.57506,250,17.412351
203.24744,250,17.588864
207.89516,250,17.669709
226.74556,250,17.87336
202.29608,250,18.126693
251.17267,250,18.126693
261.12326,250,18.353328
263.78296,250,18.538247
231.96481,250,18.538247
285.83304,250,18.588443
234.76173,250,18.674292
197.38667,250,19.088577
255.60803,250,19.121191
242.86198,250,20.761887
-34.794548,92,22.708176
-33.020367,87,24.155804
39.31302,173,24.288425
49.850895,169,24.320886
19.188583,147,24.411835
28.188822,184,24.670675
-72.346756,49,24.670675
11.278925,170,24.670675
27.399284,179,24.845997
94.621635,187,24.927337
-21.115368,158,24.990222
18.553967,162,25.027737
65.93611,176,25.394686
84.88259,183,25.480805
79.40104,183,25.480805
20.864868,163,25.643554
-77.646385,32,25.644589
44.118786,180,25.741498
-77.95718,35,25.801549
-72.597496,44,26.236977
-66.48171,50,26.236977
-81.74306,37,26.456347
-77.76679,42,26.567634
-80.08503,32,26.691697
-57.533535,54,26.896228
-62.800995,54,26.896228
-75.418945,32,26.947273
-65.44942,51,27.063382
-42.561527,63,27.592227
-85.20601,28,27.592227
-82.953064,23,27.81866
-83.15374,27,28.0032
-46.305157,57,28.055098
-74.34365,47,28.130981
-84.58056,28,28.169506
-43.50942,70,28.304762
-70.513084,38,28.41742
-31.55834,98,28.654167
-48.15611,72,28.708754
-43.279194,62,28.736676
-57.447952,57,28.975273
-82.30461,21,28.975273
-75.08763,30,29.025988
-85.42051,27,29.113768
-83.349846,26,29.114764
-75.54949,30,29.403545
-8.704435,99,29.483979
-77.472145,27,29.784637
-86.23995,21,29.892547
-69.685844,38,29.974809
-79.02571,26,30.046011
-81.53421,26,30.180595
-62.900494,46,30.180595
-80.40378,34,30.365761
-32.136105,71,30.452047
-30.464663,81,30.844908
-88.08341,26,30.923898
-80.6514,32,31.049654
-60.820087,47,31.361445
-82.499596,17,31.527879
-75.9889,32,31.633865
-75.22269,27,32.002224
-79.464775,22,32.511333
-64.549866,35,32.747838
-16.234682,96,32.962572
45.433846,165,33.211216
-53.47104,61,33.464746
14.223979,128,33.825237
-81.86233,25,34.173388
-64.26628,45,34.307817
-67.97614,49,34.893448
30.346327,170,35.516502
223.42444,250,35.654562
-89.31801,19,35.654562
-71.247795,31,36.739899
199.28966,250,39.324127
243.48677,250,39.880767
198.70456,250,39.957972
246.44635,250,40.068751
175.6418,250,40.068751
226.18077,250,40.301726
166.09827,250,41.209231
239.08357,250,41.603513
209.82278,250,42.228467
218.4102,250,42.821707
75.3296,242,42.864028
237.84245,250,43.41946
195.38931,250,43.529771
-11.031717,105,43.558289
231.97478,250,44.639223
242.51343,250,44.639223
-34.525597,83,44.97287
94.610405,237,45.123193
16.71297,158,45.203205
-39.682278,72,45.921298
-29.23397,82,46.22202
77.81666,211,47.042747
81.42163,220,47.547324
112.344246,233,47.607567
253.08524,250,47.705462
24.848763,137,47.939792
-49.77327,61,47.939792
-9.275081,107,48.15069
-14.463526,108,48.202026
-48.289623,64,48.332138
81.161514,216,48.332138
-46.843502,70,49.350383
-56.35399,43,49.615767
35.0586,147,49.813812
236.76439,250,49.856041
-46.851326,61,49.945678
-50.892906,51,50.016226
-39.84037,77,50.124993
44.288948,160,50.400217
126.575424,234,50.579389
-62.450397,35,50.781802
-73.767265,32,50.872579
-71.52817,33,50.933183
239.03644,250,51.065651
