#{"t_start": 1686270617.149367, "env_id": null}
r,l,t
-70.89618,45,0.621346
-47.734283,47,0.709845
-56.71094,50,0.8328
-66.66161,57,1.146761
-38.183292,68,1.670919
-17.210217,71,1.813618
-80.040825,40,2.681796
-24.024181,96,2.941615
-24.244902,98,3.034687
-57.689888,39,3.570169
-82.14102,23,3.700349
-33.39291,79,4.195101
-36.94843,70,4.32526
-20.089972,88,4.686073
-44.743416,68,4.728354
-62.705654,50,5.807371
-55.2982,58,6.288574
-63.50378,47,6.421267
-40.483738,76,6.421267
-61.07134,54,6.613511
-43.864677,66,7.632152
-1.1327193,114,8.024783
-42.94271,68,8.830574
-57.610325,52,8.913058
-68.82647,62,9.052083
-22.423773,82,10.080617
-9.804325,124,10.264727
-36.60877,89,10.405053
-58.753822,49,11.106102
-39.3347,78,11.106102
-28.016882,76,11.408922
-4.7702913,70,11.94433
-69.067116,61,12.781719
-19.875761,90,13.072986
-31.609196,75,13.609481
-27.07428,59,13.74065
-55.157658,56,13.933167
-35.16755,68,14.15633
-59.45823,34,14.325989
-21.149277,93,14.540272
-78.89369,28,14.832746
-74.19682,61,15.77965
-62.399487,50,16.1428
-66.06771,57,16.266223
-7.683604,109,16.789341
8.550085,71,17.275522
-58.67539,57,17.356159
-30.849178,80,18.081412
-64.839035,45,18.263078
-47.313023,49,18.321331
-28.790924,93,18.444857
-19.337805,61,19.48441
-39.996483,87,19.606103
-53.698322,56,19.747187
-57.08711,59,19.978388
-60.82852,52,20.733725
-56.904823,31,21.179504
-66.74966,47,21.650216
-23.36058,84,22.101634
-33.381207,85,22.101634
-26.449867,100,22.578752
-36.57308,82,23.334715
-29.725853,57,23.334715
-56.748096,38,23.77938
-70.70388,37,24.241895
-59.962414,66,24.576199
13.773036,105,24.718069
-2.22702,88,25.119514
-38.30359,82,25.707669
-53.88516,59,25.91965
-22.660675,60,25.970163
-97.29717,33,26.141678
-54.51587,56,26.232679
-87.77771,67,27.170044
-73.82397,40,27.745849
-65.71404,45,27.916333
-68.127884,44,28.197841
-47.884224,58,28.720743
-38.65817,86,28.895021
-24.119965,75,29.02326
8.007482,104,29.146612
-72.78286,34,29.407163
-82.65226,41,29.53051
-53.455944,56,29.632213
-71.42372,22,30.36649
-74.80564,52,30.447094
-48.46538,53,31.328036
-58.022633,57,31.37868
-62.017124,47,31.610953
-55.27048,71,32.316633
-18.067537,86,32.538453
-47.50262,68,32.659558
-54.81004,54,32.891465
-71.52882,37,33.315454
-58.24097,53,33.770971
-55.577232,83,34.11494
-9.000685,68,34.467697
-56.619324,57,34.850449
-60.321117,50,34.900807
-66.45335,37,34.9412
-36.43737,43,35.647723
-44.376755,71,35.68798
-69.84608,40,35.859374
-45.490704,38,36.121279
-19.876366,75,36.212399
-75.964645,29,36.212399
-39.268845,50,37.041982
-56.875587,46,38.233527
-51.384266,65,38.53595
-42.80357,59,38.707284
-39.22028,77,39.031111
-39.79801,73,39.073594
-12.1878605,68,39.191774
