#{"t_start": 1688471294.5136774, "env_id": null}
r,l,t
-47.84926,51,0.242349
-53.769833,52,0.248334
-65.74638,43,0.353051
-53.789257,53,0.376987
-83.5384,66,8.734151
-29.411339,67,11.079982
-78.66247,39,20.111059
-52.192734,62,34.550905
-1.4625925,113,35.072013
-61.774734,51,47.292442
-51.743958,53,47.292442
-59.703037,52,60.463253
-49.441513,68,64.563961
-57.65688,51,73.499785
-63.93589,38,83.241562
77.12329,101,89.680391
-54.650414,38,91.983434
-75.395004,37,100.465369
87.17228,189,147.401284
350.9303,250,150.919571
-56.1737,45,162.028602
0.58233273,80,183.389929
527.0193,250,210.754891
437.50134,250,251.759046
481.33963,250,281.793264
442.74976,250,319.439807
487.44772,250,352.357313
537.67896,250,390.887604
571.81226,250,418.324326
498.5563,250,456.898921
567.39935,250,494.612572
586.6431,250,533.273273
611.486,250,562.340065
496.19098,250,595.7646
473.3229,250,626.394637
543.9294,250,666.139691
575.7058,250,696.212029
540.3465,250,734.350471
562.6267,250,761.94268
-51.038673,31,769.312708
542.0838,250,797.8662
609.1965,250,833.990697
518.78394,250,859.397347
529.2082,250,890.806848
626.2019,250,915.799887
543.5198,250,949.951874
464.57043,250,976.901629
515.222,250,1012.027969
600.9557,250,1035.877466
441.36197,250,1066.04537
596.73926,250,1090.037978
497.72086,250,1120.046447
463.41223,250,1143.263235
580.0164,250,1173.0685
618.226,250,1196.412416
630.2571,250,1228.138382
594.37463,250,1252.782847
615.35785,250,1284.954526
640.4161,250,1309.019936
664.7242,250,1340.316438
586.24713,250,1363.21966
592.8098,250,1394.94223
644.19836,250,1417.707872
589.4785,250,1448.857986
666.7902,250,1472.042721
544.78986,250,1504.350446
581.104,250,1527.757631
585.42206,250,1558.376597
604.2529,250,1583.326109
511.42947,250,1614.275716
565.7067,250,1640.773591
584.5463,250,1677.385874
572.53174,250,1703.564712
614.62665,250,1737.796881
637.2533,250,1762.853952
533.9755,250,1795.692383
603.4332,250,1825.111996
577.3468,250,1860.027624
655.49664,250,1889.250717
634.93756,250,1923.628119
578.40216,250,1948.417723
525.14606,250,1981.847555
606.6937,250,2006.463952
609.80194,250,2038.470966
625.8932,250,2065.322364
660.1607,250,2100.496795
625.9429,250,2126.663184
575.9835,250,2161.80605
635.73,250,2189.78371
537.8901,250,2225.567264
542.74585,250,2251.732264
578.6485,250,2287.095546
633.0429,250,2313.655519
610.39655,250,2348.686398
654.61084,250,2375.454531
616.1932,250,2411.222942
648.79706,250,2437.787086
659.2998,250,2472.667805
605.28076,250,2498.914542
635.89966,250,2535.090478
595.07513,250,2561.483113
585.8345,250,2594.401505
631.7816,250,2618.859651
616.128,250,2651.544386
544.67,250,2675.637756
608.39105,250,2708.406713
640.78143,250,2732.756967
643.948,250,2765.726084
597.5765,250,2791.645648
638.89777,250,2825.003714
594.06024,250,2849.374421
667.42346,250,2882.410494
637.40106,250,2907.133438
626.27527,250,2939.517028
643.0947,250,2963.579151
634.0775,250,2995.831956
623.79663,250,3021.317917
665.9155,250,3053.697058
549.2047,250,3079.10762
645.54785,250,3111.481474
539.70264,250,3136.589756
640.6268,250,3169.713308
634.90356,250,3194.980011
594.184,250,3226.322884
636.5014,250,3251.319381
651.5698,250,3283.058535
571.0464,250,3308.374568
605.66974,250,3340.00168
625.86646,250,3364.957949
562.3822,250,3397.025484
553.45624,250,3422.71422
627.08264,250,3454.140093
662.5401,250,3478.863375
613.50867,250,3511.053749
665.0054,250,3535.220247
618.574,250,3567.729882
652.94867,250,3592.094573
655.8103,250,3625.566881
669.442,250,3649.714454
627.3904,250,3682.295096
679.2003,250,3706.619502
670.5061,250,3739.423597
640.64716,250,3763.456894
652.6043,250,3795.85204
623.8758,250,3819.893134
643.21747,250,3853.245815
602.85614,250,3876.974962
637.8557,250,3909.133946
656.0477,250,3933.117285
605.90674,250,3965.545318
616.0394,250,3991.144601
631.96155,250,4026.507686
605.3501,250,4051.204372
623.52905,250,4083.497154
666.08234,250,4107.383865
662.7553,250,4139.572212
630.37354,250,4163.285884
624.69366,250,4194.447318
627.02295,250,4219.795545
456.82388,250,4251.237442
610.80524,250,4276.139685
638.36884,250,4308.384758
680.0785,250,4333.428505
596.2051,250,4364.832346
640.62164,250,4389.717357
630.8345,250,4421.092116
639.1537,250,4445.843125
567.94525,250,4477.077575
612.9855,250,4501.598677
650.8002,250,4532.550765
569.15234,250,4556.158641
652.8743,250,4588.384426
635.61993,250,4613.869163
652.2846,250,4647.074297
587.55255,250,4671.642433
634.59174,250,4704.164719
623.2315,250,4728.118761
651.30133,250,4760.334072
687.6289,250,4784.151224
514.2466,250,4816.957666
643.9239,250,4840.897633
651.1316,250,4873.563766
625.0291,250,4897.877933
429.23996,250,4930.389386
593.9331,250,4954.216107
627.5443,250,4986.455022
9.308542,90,5007.064597
639.8332,250,5011.113938
604.2407,250,5063.80354
650.766,250,5067.74956
620.00775,250,5119.771408
639.49115,250,5123.677599
675.6439,250,5175.757765
479.91156,250,5179.895079
651.71075,250,5233.306863
616.99426,250,5237.326504
619.4678,250,5289.900731
625.3769,250,5293.923579
358.99976,250,5345.665238
642.8055,250,5349.672451
652.5289,250,5402.189475
620.0681,250,5406.318363
632.87476,250,5459.124157
589.57635,250,5463.445595
666.7338,250,5515.456086
677.97644,250,5520.015094
590.2316,250,5571.676727
669.52527,250,5575.654687
656.51056,250,5627.696838
564.6234,250,5631.634787
669.42975,250,5684.202378
569.21545,250,5688.170154
636.46686,250,5740.412825
635.58527,250,5744.45512
652.89044,250,5796.685909
619.7539,250,5800.613995
642.3468,250,5856.042535
690.6388,250,5860.066009
577.6667,250,5913.324606
663.7706,250,5917.405595
662.7277,250,5970.717619
674.55695,250,5974.76058
672.66327,250,6028.272919
664.4139,250,6032.319293
677.4359,250,6086.206528
639.0562,250,6090.210203
668.99554,250,6144.009606
670.55695,250,6148.09467
