#{"t_start": 1686046742.1379056, "env_id": null}
r,l,t
-39.469048,44,1.68219
-63.259125,48,1.916736
-50.72936,55,2.284585
-52.631634,60,2.557086
-40.56207,66,2.870679
-2.6971672,66,2.870679
-46.728325,70,3.092884
-52.257717,72,3.210937
-4.2832284,72,3.210937
-46.390278,73,3.253397
-33.919376,76,3.415051
-42.332283,76,3.415051
-65.06028,86,3.929816
-11.8575945,92,4.28211
-68.86076,54,4.632623
-20.809587,98,4.633154
-74.860245,36,4.869045
-64.11486,35,5.084193
-29.796347,105,5.084193
-48.183968,54,5.60463
-65.40373,45,5.819943
-67.340065,64,5.877435
-54.554043,55,5.987107
-66.119835,42,6.330133
-30.007696,63,6.705035
-76.758804,33,6.854737
-49.42237,65,7.019426
-48.915398,54,7.268332
-36.603046,107,7.743221
-57.524494,54,7.792457
-67.92921,39,7.893312
-61.527782,53,7.893312
-44.777702,62,8.005303
20.065044,92,8.229045
-45.845573,49,8.377019
-69.82747,27,8.701228
-75.40577,40,8.971594
-72.57444,38,9.025012
-24.341635,58,9.025012
-11.54687,108,9.318593
-10.115835,90,9.539524
-40.220974,76,9.711888
-58.407566,42,10.181504
-62.577637,70,10.237381
-63.324318,43,10.412789
-75.35886,39,10.727986
-75.934906,30,10.915894
-81.06169,31,10.984203
-50.424957,56,11.104899
-58.26722,53,11.175401
-51.08504,41,11.235451
-45.18283,69,12.374767
-34.23865,80,12.647887
-4.2887616,106,12.797977
-82.75883,44,12.858547
-49.95455,67,13.322883
-33.855083,78,13.613544
-44.372616,70,13.714326
-68.5016,48,13.807528
-53.79294,52,13.857287
-48.687527,48,13.928693
-78.76975,50,13.978385
-47.272068,70,14.190793
-25.426962,63,14.504051
-61.36302,41,14.57449
-58.157757,33,14.634917
-28.420279,87,14.736091
-29.518705,79,14.904348
-102.02306,28,15.359381
-41.120667,53,15.451164
-37.65441,90,15.7254
-72.99304,37,15.875241
-73.14364,36,16.088469
-51.720547,63,16.137809
-66.34206,46,16.137809
-26.088373,55,16.248713
-55.85208,54,16.803956
-72.1015,38,16.854305
-67.32559,45,16.91284
-44.751858,55,17.388301
-64.53579,76,17.610364
-26.744635,77,17.910771
-42.419483,49,18.095913
-71.0911,41,18.369217
-78.633606,29,18.550037
-51.264503,65,18.852773
-26.941439,78,18.903133
-68.237335,81,18.954355
-67.33399,40,19.014923
-26.435163,62,19.064441
-77.9548,61,19.16516
-57.65664,59,19.324101
-41.158745,59,19.417968
-70.13063,38,19.467624
-44.54741,71,19.8691
-71.811455,36,19.982333
-74.85908,35,20.334889
-63.252045,55,20.809883
-39.55251,76,20.901633
-75.41198,33,21.011563
-55.555904,54,21.170875
-69.08393,44,21.322236
-56.62412,47,21.374551
-49.511707,51,21.495288
-41.335907,76,21.66646
-64.4418,44,21.716772
-61.909103,53,21.938005
-58.725235,58,22.048772
-82.41869,44,22.200335
-40.823555,55,22.855987
-44.636047,75,23.370558
-60.808735,50,23.620632
-11.255803,91,23.620632
-76.24569,38,23.673182
-31.591509,64,23.673182
-78.62682,30,23.721477
-61.079136,46,23.721477
-63.776703,41,24.046322
-71.02927,41,24.137457
-37.93643,52,24.187852
-82.42408,26,24.956313
-45.37344,46,25.197123
-40.460663,88,25.357732
-38.456326,81,25.357732
-43.555145,79,25.458766
-42.0202,74,25.458766
-59.339207,47,26.206073
-56.118683,46,26.206073
-21.754894,107,26.619989
