#{"t_start": 1680085729.277498, "env_id": null}
r,l,t
-77.06302,27,0.698336
-76.084076,33,0.976942
-70.555145,39,1.237765
-69.84296,41,1.339486
-66.789116,43,1.430084
-65.89873,47,1.600225
-62.136078,52,1.81745
-47.756374,55,1.953104
-54.88484,60,2.18259
-40.94892,61,2.237897
-52.641876,62,2.286765
-55.00668,62,2.286765
-69.15187,47,2.790466
-13.120899,85,3.262393
-61.88506,52,3.514223
-59.746117,50,3.596511
-56.894703,52,3.596511
-6.1639266,95,3.685274
-23.674604,99,3.860503
-68.641884,40,3.947132
-64.29481,40,3.997506
-68.914856,40,4.496557
-2.7862012,115,4.551119
-78.59859,61,4.812811
-45.283897,70,5.005306
-55.762657,97,5.275911
-26.66441,84,5.592283
-30.93559,90,5.643241
-52.140484,75,5.650223
-65.86616,41,5.79435
-68.89976,41,5.958937
-63.04808,49,6.013793
-59.134937,57,6.336949
-63.81446,50,7.189839
-41.043556,75,7.245077
-40.79814,67,7.371306
-41.987335,77,7.507331
-66.52358,47,7.891912
-67.555374,40,8.045011
-67.010574,40,8.220032
-66.694176,45,8.916241
-31.37027,82,8.973105
-43.634132,117,9.289279
-81.60561,25,9.289279
-5.1290026,83,9.533786
-45.567196,67,9.533786
-25.18767,80,9.603137
-44.954144,72,9.863178
-65.5053,45,10.246437
-82.66475,51,11.557342
-20.75867,77,12.099668
-7.324605,109,12.211782
-40.798378,102,12.274697
-63.17042,51,12.672775
-42.885937,90,12.781241
-61.605865,44,13.010985
-45.886635,66,13.174763
-13.037793,97,13.35763
-59.096073,65,13.577681
-8.652852,69,13.818605
-74.74585,33,14.0177
-78.856766,26,14.197229
-47.199688,81,14.460606
11.919609,107,14.697729
-16.955914,92,14.697729
-65.87924,47,15.110559
-27.523514,85,15.221484
-65.14787,49,15.971667
-53.96883,56,16.427446
-27.179329,83,16.926489
-64.223335,60,17.086384
-50.177444,49,17.219532
-51.79414,56,17.345896
-14.906493,106,17.389295
-52.61716,67,17.525433
-61.675434,69,17.738467
-13.123934,92,18.299213
-0.48110652,103,18.592559
40.35661,163,18.592559
-80.36782,27,18.682399
7.8694873,120,18.888327
-14.7002735,90,18.977616
-28.865915,87,19.13074
-66.74881,46,19.167154
-62.167118,53,19.32925
4.8380065,103,19.679434
-57.312927,71,19.886416
-68.3308,47,20.464373
-82.47003,34,20.663539
-8.952044,104,20.750303
-33.781216,80,21.037084
-32.848873,89,21.090946
-1.113361,121,21.091943
-56.860195,63,21.323653
-49.123394,74,21.434539
-15.628099,62,21.536306
-83.90591,61,21.8352
-44.18587,73,22.192973
-77.98233,31,22.243411
11.198842,115,22.409714
-69.7354,41,22.511503
-53.506706,58,22.613268
-22.384447,65,22.716944
-74.31258,35,22.949118
-70.73831,36,23.316168
-20.736155,92,23.413439
-66.15292,49,23.612051
53.953262,124,24.354098
-77.36582,32,24.354098
-56.233406,52,24.500199
-49.990513,63,24.549066
-63.574615,51,24.765351
-59.909912,54,24.930275
-43.773594,71,25.06396
-39.744396,59,25.373262
-28.99901,86,25.373262
-23.03178,103,25.809297
-52.31964,47,26.471242
-24.362516,83,26.624074
-36.03063,87,26.624074
-43.89775,65,26.687899
-44.948994,47,26.736333
-71.030685,38,26.736333
-58.33616,56,26.956191
-59.022682,58,27.176642
-30.529398,82,27.176642
-23.962574,102,27.73137
-59.859528,52,27.773765
-74.8506,46,27.95591
-53.30575,60,28.131893
-73.04681,28,28.17677
-45.669945,75,28.17677
-33.85614,68,28.17677
-69.20991,39,28.269575
-36.710888,42,28.515534
-48.177788,44,28.552288
-59.722927,34,28.636839
-64.5058,48,28.795382
