#{"t_start": 1679401020.882077, "env_id": null}
r,l,t
-72.78485,37,0.113208
-53.386158,38,0.11723
-59.169884,49,0.157219
-48.807922,67,0.294366
-52.15694,48,0.77546
-68.241585,38,0.800392
-76.47853,52,0.852422
-67.4087,39,1.812966
-71.12537,44,1.895744
-47.684536,68,2.019727
-36.374428,63,2.413301
-78.59226,24,2.478001
-72.81623,34,2.83339
-57.919662,52,3.054933
-19.897133,85,4.696605
-27.427912,89,4.758439
-58.437416,76,5.176982
-36.45449,99,5.620258
-62.22266,51,6.14884
-40.07064,59,6.425822
-45.302418,67,6.969872
-11.048906,66,7.791759
-64.66661,48,8.093981
-11.950695,94,8.643522
-76.58689,29,8.74525
-49.57459,63,9.212283
-74.24467,35,9.41797
-66.032524,40,9.633343
-73.38856,38,10.053255
92.474686,238,11.477318
1.5581543,97,12.022356
-2.9006634,106,12.446218
-66.78168,42,12.542958
-5.3490686,94,12.627729
-54.988487,50,13.265982
-79.01728,38,13.507731
-61.87795,47,13.632396
-25.424578,72,14.46174
-62.224445,36,15.439074
-31.716505,71,15.524812
-21.399982,100,15.90782
-74.79145,34,16.349633
-23.519562,118,16.67388
-12.517134,80,18.591017
-4.8796525,122,18.591017
-83.51045,34,19.371938
79.11737,143,19.398909
74.19624,134,19.583977
-44.35503,46,19.646809
-81.42797,22,19.880215
-79.44495,25,20.267
-65.878006,43,21.489938
-16.521404,89,21.758342
-15.413358,89,22.263964
-66.81801,43,22.52777
43.573154,142,23.197707
-46.540325,50,23.811101
-52.38186,64,24.951263
54.57137,154,25.616056
21.18203,135,25.669911
-9.10429,99,26.252459
-30.62077,83,26.883637
-48.080425,67,27.262851
-29.586733,94,27.923497
-26.210924,80,28.253686
-50.520226,63,29.589032
46.178707,127,30.603066
34.87226,148,30.785358
26.434881,130,31.826048
-72.18392,36,32.958906
-22.767292,81,33.085002
16.830229,120,33.085002
-20.179018,78,33.19193
-83.795425,22,33.691661
-57.64751,50,34.72042
-39.04118,79,35.429959
-12.595449,107,36.174957
-14.067608,93,36.329695
-44.58897,62,36.408306
-59.688538,48,36.759006
-85.31363,22,36.991385
-84.08101,21,37.053895
-62.717125,53,38.487675
-34.395332,84,38.544523
-67.156136,41,39.61339
51.464546,132,40.437289
-4.0487823,74,40.565434
99.17287,207,42.629386
16.41018,121,44.01663
222.10423,250,46.919152
256.72815,250,47.711378
70.873474,177,47.974668
-55.834084,63,49.548579
281.12915,250,51.40006
109.5667,192,53.568119
